# Scene Analysis Report
# Format: start_time - end_time : blocks=N, lines=N

00:00:01,380 - 00:00:14,319 : blocks=2, lines=5, header=visible
00:00:14,320 - 00:00:34,989 : blocks=3, lines=8, header=visible
00:00:34,990 - 00:00:47,309 : blocks=3, lines=4, header=visible
00:00:47,310 - 00:00:49,449 : blocks=1, lines=1, header=hidden
00:00:49,450 - 00:01:00,450 : blocks=2, lines=5, header=hidden
00:01:01,630 - 00:01:24,449 : blocks=4, lines=7, header=visible
00:01:24,450 - 00:01:28,380 : blocks=1, lines=1, header=visible
00:01:29,580 - 00:01:47,779 : blocks=3, lines=7, header=visible
00:01:47,780 - 00:01:56,720 : blocks=1, lines=3, header=visible
00:01:57,900 - 00:02:12,279 : blocks=4, lines=5, header=visible
00:02:12,280 - 00:02:25,220 : blocks=2, lines=5, header=visible
00:02:26,400 - 00:02:48,579 : blocks=3, lines=8, header=visible
00:02:48,580 - 00:02:51,920 : blocks=1, lines=1, header=visible
00:02:53,300 - 00:03:17,810 : blocks=4, lines=7, header=visible
00:03:18,320 - 00:03:40,769 : blocks=4, lines=8, header=visible
00:03:40,770 - 00:03:44,100 : blocks=1, lines=1, header=visible
00:03:45,470 - 00:04:03,449 : blocks=3, lines=6, header=visible
00:04:03,450 - 00:04:10,780 : blocks=1, lines=3, header=visible
00:04:12,090 - 00:04:32,520 : blocks=3, lines=7, header=visible
00:04:33,790 - 00:04:52,379 : blocks=2, lines=6, header=visible
00:04:52,380 - 00:05:00,470 : blocks=1, lines=3, header=visible
00:05:02,080 - 00:05:27,100 : blocks=4, lines=8, header=visible
00:05:28,540 - 00:05:48,739 : blocks=4, lines=8, header=visible
00:05:48,740 - 00:05:52,880 : blocks=1, lines=1, header=visible
00:05:54,360 - 00:06:13,780 : blocks=3, lines=8, header=visible
00:06:15,260 - 00:06:33,350 : blocks=3, lines=5, header=visible
00:06:34,790 - 00:06:55,840 : blocks=3, lines=8, header=visible
00:06:57,550 - 00:07:17,300 : blocks=3, lines=7, header=visible
00:07:18,910 - 00:07:33,629 : blocks=4, lines=6, header=visible
00:07:33,630 - 00:07:40,290 : blocks=2, lines=2, header=visible
00:07:41,890 - 00:08:05,849 : blocks=3, lines=8, header=visible
00:08:05,850 - 00:08:22,500 : blocks=3, lines=7, header=visible
00:08:23,900 - 00:08:46,030 : blocks=4, lines=7, header=visible
00:08:47,780 - 00:09:05,240 : blocks=3, lines=5, header=visible
00:09:06,880 - 00:09:20,289 : blocks=2, lines=6, header=visible
00:09:20,290 - 00:09:28,600 : blocks=1, lines=3, header=visible
00:09:30,240 - 00:09:47,540 : blocks=3, lines=6, header=visible
00:09:49,330 - 00:10:05,179 : blocks=4, lines=6, header=visible
00:10:05,180 - 00:10:09,850 : blocks=1, lines=2, header=visible
00:10:11,420 - 00:10:30,180 : blocks=4, lines=6, header=visible
00:10:31,920 - 00:10:47,250 : blocks=3, lines=6, header=visible
00:10:49,010 - 00:11:06,180 : blocks=4, lines=6, header=visible
00:11:08,160 - 00:11:24,760 : blocks=4, lines=7, header=visible
00:11:26,460 - 00:11:41,140 : blocks=3, lines=7, header=visible
00:11:42,660 - 00:12:06,869 : blocks=4, lines=8, header=visible
00:12:06,870 - 00:12:23,349 : blocks=3, lines=6, header=visible
00:12:23,350 - 00:12:43,360 : blocks=3, lines=7, header=visible

# Header suppress intervals
00:00:47,310 - 00:00:49,449
00:00:49,450 - 00:01:00,450
