No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
1,CH10,1,CH10-001,CH10-001,【ニコラ・テスラ流】力を抜いて結果を引き寄せる思考術,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/001/content/assembled.md,未着手,5936,2025-12-04 12:00:00,【ニコラ・テスラ流】力を抜いて結果を引き寄せる思考術,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【ニコラ・テスラ流】力を抜いて結果を引き寄せる思考術 の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【ニコラテスラ流】考えない時間が現実を変える理由を手がかりに静かにお話しします。,,,,,,【ニコラ・テスラ流】力を抜いて結果を引き寄せる思考術,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【ニコラテスラ流】考えない時間が現実を変える理由 をテーマに、考えない時間をわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/001/content/assembled.md,,,,考えすぎ,仕事の不安,夜寝る前,考えない時間,夜が少し静かになる,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
2,CH10,2,CH10-002,CH10-002,【ショーペンハウアー流】年齢を重ねるほど孤独が幸福をもたらす理由,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/002/content/assembled.md,未着手,5375,2025-12-04 12:00:00,【ショーペンハウアー流】年齢を重ねるほど孤独が幸福をもたらす理由,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【ショーペンハウアー流】年齢を重ねるほど孤独が幸福をもたらす理由 の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【岡潔流】悩みが勝手に整理される心の置き場所を手がかりに静かにお話しします。,,,,,,【ショーペンハウアー流】年齢を重ねるほど孤独が幸福をもたらす理由,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【岡潔流】悩みが勝手に整理される心の置き場所 をテーマに、感じる心と考える頭をわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/002/content/assembled.md,,,,悩みが多い,感情の整理,夜寝る前,感じる心と考える頭,悩みがほどける,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
3,CH10,3,CH10-003,CH10-003,【ニコラ・テスラ流】369の周波数で夢を叶える,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/003/content/assembled.md,未着手,6068,2025-12-04 12:00:00,【ニコラ・テスラ流】369の周波数で夢を叶える,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【ニコラ・テスラ流】369の周波数で夢を叶える の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【ショーペンハウアー流】一人の時間が人生の質を決める理由を手がかりに静かにお話しします。,,,,,,【ニコラ・テスラ流】369の周波数で夢を叶える,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【ショーペンハウアー流】一人の時間が人生の質を決める理由 をテーマに、孤独と自由をわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/003/content/assembled.md,,,,孤独感,人間関係の疲れ,夜寝る前,孤独と自由,一人時間が味方になる,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
4,CH10,4,CH10-004,CH10-004,【ニコラ・テスラ流】未来を引き寄せる7つの教え,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/004/content/assembled.md,未着手,5993,2025-12-04 12:00:00,【ニコラ・テスラ流】未来を引き寄せる7つの教え,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【ニコラ・テスラ流】未来を引き寄せる7つの教え の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【岡本太郎流】未完成なまま動く人がすべてを手にする理由を手がかりに静かにお話しします。,,,,,,【ニコラ・テスラ流】未来を引き寄せる7つの教え,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【岡本太郎流】未完成なまま動く人がすべてを手にする理由 をテーマに、未完成で動くをわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/004/content/assembled.md,,,,完璧主義,行動できない,夜寝る前,未完成で動く,一歩が軽くなる,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
5,CH10,5,CH10-005,CH10-005,【岡潔流】本当に頭がいい人は速さより深さを選ぶ理由,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/005/content/assembled.md,未着手,5957,2025-12-04 12:00:00,【岡潔流】本当に頭がいい人は速さより深さを選ぶ理由,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【岡潔流】本当に頭がいい人は速さより深さを選ぶ理由 の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【セネカ流】人生の短さに気づいた人が後悔しない理由を手がかりに静かにお話しします。,,,,,,【岡潔流】本当に頭がいい人は速さより深さを選ぶ理由,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【セネカ流】人生の短さに気づいた人が後悔しない理由 をテーマに、時間の濃さをわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/005/content/assembled.md,,,,時間の使い方,将来への不安,夜寝る前,時間の濃さ,今日を味わえる,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
6,CH10,6,CH10-006,CH10-006,【ニコラ・テスラ流】少ない行動で結果を出す思考術,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/006/content/assembled.md,未着手,5877,2025-12-04 12:00:00,【ニコラ・テスラ流】少ない行動で結果を出す思考術,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【ニコラ・テスラ流】少ない行動で結果を出す思考術 の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【ラッセル流】忙しさの中で心を休ませる技術を手がかりに静かにお話しします。,,,,,,【ニコラ・テスラ流】少ない行動で結果を出す思考術,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【ラッセル流】忙しさの中で心を休ませる技術 をテーマに、余白を作るをわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/006/content/assembled.md,,,,疲れが取れない,仕事ストレス,夜寝る前,余白を作る,休む罪悪感がほどける,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
7,CH10,7,CH10-007,CH10-007,【ニコラ・テスラ流】常識を超えて考える力,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/007/content/assembled.md,未着手,3674,2025-12-04 12:00:00,【ニコラ・テスラ流】常識を超えて考える力,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【ニコラ・テスラ流】常識を超えて考える力 の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【カミュ流】人生に意味がなくても生きていい理由を手がかりに静かにお話しします。,,,,,,【ニコラ・テスラ流】常識を超えて考える力,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【カミュ流】人生に意味がなくても生きていい理由 をテーマに、不条理をわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/007/content/assembled.md,,,,生きる意味,虚無感,夜寝る前,不条理,意味探しの圧が緩む,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
8,CH10,8,CH10-008,CH10-008,【岡潔流】考える量と賢さは無関係である理由,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/008/content/assembled.md,未着手,5968,2025-12-04 12:00:00,【岡潔流】考える量と賢さは無関係である理由,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【岡潔流】考える量と賢さは無関係である理由 の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【宮沢賢治流】力を抜いた人が最後に報われる理由を手がかりに静かにお話しします。,,,,,,【岡潔流】考える量と賢さは無関係である理由,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【宮沢賢治流】力を抜いた人が最後に報われる理由 をテーマに、力を抜くをわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/008/content/assembled.md,,,,がんばりすぎ,自己犠牲,夜寝る前,力を抜く,肩の力が抜ける,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
9,CH10,9,CH10-009,CH10-009,【周波数は嘘をつかない】現実を作る意識の法則（ホーキンズ）,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/009/content/assembled.md,未着手,5813,2025-12-04 12:00:00,【周波数は嘘をつかない】現実を作る意識の法則（ホーキンズ）,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【周波数は嘘をつかない】現実を作る意識の法則（ホーキンズ） の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【老子流】何もしない人がすべてを成す理由を手がかりに静かにお話しします。,,,,,,【周波数は嘘をつかない】現実を作る意識の法則（ホーキンズ）,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【老子流】何もしない人がすべてを成す理由 をテーマに、無為自然をわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/009/content/assembled.md,,,,力みすぎ,コントロール欲,夜寝る前,無為自然,流れに乗れる,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
10,CH10,10,CH10-010,CH10-010,【岡潔流】賢さの本質は『感じながら考える』にある,topic_research: pending,,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/010/content/assembled.md,未着手,6188,2025-12-04 12:00:00,【岡潔流】賢さの本質は『感じながら考える』にある,,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",偉人の名言と背景を軸に、思考術・周波数・孤独・深さ/スロー思考で成果を出す方法を解説。強いフックと具体ステップで日常に落とし込む長尺構成。,30〜60代。考えすぎ・仕事の不安・孤独を抱え、偉人の言葉で静かに思考を整えたい層。,導入: 【岡潔流】賢さの本質は『感じながら考える』にある の疑問/魅力を提示→本編: 偉人の名言と背景、思考モデルや周波数・孤独の価値を分解→実践: 1〜3ステップの問い/行動/呼吸法→締め: 静かに続けるための注意点と希望。,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",こんばんは 深夜の偉人ラジオへようこそ。今日は【デヴィッド・R・ホーキンズ流】周波数は嘘をつかないを手がかりに静かにお話しします。,,,,,,【岡潔流】賢さの本質は『感じながら考える』にある,night library blue gold light,左に黒帯テキスト 右に偉人シルエット ゴシック体,"night library with blue and gold light, hero silhouette, cinematic lighting, high contrast, 16:9, no text",夜に聴ける偉人ラジオで悩みをほぐす,図書館の外観/本棚/手帳/窓辺/星空/懐中時計/ランプ/ノート/森の小道/朝日の部屋,【デヴィッド・R・ホーキンズ流】周波数は嘘をつかない をテーマに、感情の地図をわかりやすく解説し、今日からの一歩を提案する回。,/Users/dd/10_YouTube_Automation/factory_commentary/script_pipeline/data/CH10/010/content/assembled.md,,,,ネガティブ思考,自己否定,夜寝る前,感情の地図,感情を上げる,静かな湖が澄んでいく,眠れない夜に そっと開く 本のように。,"・偉人の背景と名言
・今日から試せる一歩"
