職場でも友人関係でも、頼まれごとが多い人がいます。 [1:0.30s]
呼ばれたら断れない、場を和ませる役を引き受ける、誰かの愚痴の受け皿になる。 [2:0.30s]
周囲からはいい人と言われることが多いのに、本人は妙な孤独を感じることがあります。 [3:0.30s]
なぜ、いい人ほど孤独を抱えやすいのか。 [4:0.30s]
慰めではなく、心理や哲学の好奇心として掘ります。 [5:0.30s]
人には「嫌われたくない」という社会的恐怖が備わっています。 [6:0.30s]
脳は拒絶のサインに敏感で、前帯状皮質は肉体的な痛みと似た反応を示すという研究があります。 [7:0.30s]
嫌われる痛みを避けようとして、過剰に同調し、頼まれごとを引き受ける。 [8:0.30s]
引き受けた後は、断れなかった自分への苛立ちと、相手への静かな不満が同居します。 [9:0.30s]
言葉にできない不満は、孤独の温床になります。 [10:0.30s]
文化も影響します。 [11:0.30s]
日本では和を乱さないことが美徳とされ、空気を読む能力が評価されます。 [12:0.30s]
評価の裏返しとして、境界線を引く行為が冷たいと解釈されやすい。 [13:0.30s]
心理学でいう「Agreeableness（協調性）」が高い人は好かれやすい一方で、搾取されやすいというデータもあります。 [14:0.30s]
協調性の高さが、関係の質を保証するわけではないという点が皮肉です。 [15:0.30s]
いい人が孤独になるメカニズムの一つは、自己開示の非対称です。 [16:0.30s]
相手の話はよく聞くが、自分の弱みや本音は出さない。 [17:0.30s]
相手は優しい人としか認識せず、深い関係に必要な相互の開示が成立しない。 [18:0.30s]
量は多いが深さがないつながりが増え、内側では飢えが残る。 [19:0.30s]
親切がコミュニケーションの遮蔽になってしまう現象です。 [20:0.30s]
もう一つは境界の曖昧さです。 [21:0.30s]
頼まれたら断らない、相手の都合を優先する。 [22:0.30s]
境界を引かないと、相手はどこまで踏み込んでいいかを学習し、踏み込みが加速します。 [23:0.30s]
踏み込まれるほど、自分の領域が侵食されている感覚が強まり、孤立感が増す。 [24:0.30s]
心理学の「パーソナルスペース」が侵されるとストレス反応が出ますが、いい人はそれを我慢で抑えるため、身体にも疲労が溜まります。 [25:0.30s]
承認欲求と自己肯定感の違いも鍵です。 [26:0.30s]
承認欲求は外部評価に依存し、自己肯定感は自分の評価軸に依存します。 [27:0.30s]
いい人は外部評価に強く寄せる傾向があり、評価が途切れた瞬間に自分の価値を見失います。 [28:0.30s]
ありがとうがないと不安になり、孤立しているように感じる。 [29:0.30s]
承認の中毒性が、孤独の幻覚を生むとも言えます。 [30:0.30s]
善意にはコストがあります。 [31:0.30s]
時間、労力、感情。 [32:0.30s]
コストを計算せずに出し続けると、「ここまでしているのに」という負債感が生まれます。 [33:0.30s]
負債感は相手に直接伝えられず、内側に蓄積し、やがて関係全体が重く感じられる。 [34:0.30s]
親切の分配が偏ると、交換のバランスが崩れ、見えない帳簿が孤独感を膨らませます。 [35:0.30s]
いい人を利用する側の存在も無視できません。 [36:0.30s]
マキャベリ的な人や自己愛傾向の強い人は、境界が薄い相手を察知して近づきます。 [37:0.30s]
頼み事を繰り返し、断らない相手に仕事や感情の負担を流す。 [38:0.30s]
流された側は、善意が使われていると気づきながら、正面から言えずに孤立を深めます。 [39:0.30s]
搾取構造に気づく視点がないと、優しさが罠になる。 [40:0.30s]
哲学的に見ると、「いい人であること」を本質だと錯覚する危険があります。 [41:0.30s]
ハンナ・アーレントは凡庸な悪を語りましたが、そこでは思考停止が問題でした。 [42:0.30s]
いい人が自動的に善いわけではなく、「いい人であるべき」という固定観念に従うだけでは、判断停止に陥ることがあります。 [43:0.30s]
考えることをやめた優しさは、他者との距離を測る力も失い、孤独を深めるだけです。 [44:0.30s]
心理学の感情労働も関連します。 [45:0.30s]
看護、接客、教育など、相手の感情を扱う職業では、笑顔や共感が仕事の一部です。 [46:0.30s]
感情労働の継続は情動的消耗を引き起こし、共感疲労や共感麻痺が起きます。 [47:0.30s]
いい人は仕事でもプライベートでも同じ役割を担いがちで、休む場所がなくなります。 [48:0.30s]
休めない共感は、やがて孤立感に変わります。 [49:0.30s]
社会心理学では「プライベートな本音」と公共の建前を使い分けることが知られています。 [50:0.30s]
日本語の建前と本音はそのままです。 [51:0.30s]
いい人は建前を長時間維持し、本音を内に押し込むため、自己一致感が低下します。 [52:0.30s]
自己一致感が低いと、他者とのつながりも表面的になりやすい。 [53:0.30s]
表情や発話は穏やかでも、内側では乖離が進む。 [54:0.30s]
この乖離が孤独を増幅します。 [55:0.30s]
進化心理学の視点では、協力と裏切りのバランスが常に揺れています。 [56:0.30s]
過剰に協力する個体は群れの利益に貢献しますが、フリーライダーが得をするというジレンマが発生します。 [57:0.30s]
いい人はしばしばフリーライダーの標的になり、協力のコストを一人で背負う形になります。 [58:0.30s]
フリーライダーに気づく感度を上げることは、孤独を防ぐだけでなく、公平性を守る行為でもあります。 [59:0.30s]
感情を抑えることは、暴発や受動攻撃にもつながります。 [60:0.30s]
いつもニコニコしている人が、ある日突然連絡を絶つケースは珍しくありません。 [61:0.30s]
怒りを適切に表現できないと、関係を一気に断つことでしか自分を守れなくなる。 [62:0.30s]
マイルドな怒りの表現を学ぶことは、関係を切らずに済むための技術です。 [63:0.30s]
道徳心理学の「道徳的ライセンシング」も興味深いです。 [64:0.30s]
良い行いをした後、人は少し悪い行いを正当化しやすくなるという現象です。 [65:0.30s]
いい人は日々善行を積んでいるため、「これくらいは許される」と境界を曖昧にしがちです。 [66:0.30s]
曖昧さが積もると、自己評価と行動のズレが生まれ、自己嫌悪と孤独が増します。 [67:0.30s]
ネットワーク理論では、弱い紐帯と強い紐帯が区別されます。 [68:0.30s]
いい人は弱い紐帯を大量に維持する傾向があり、強い紐帯（深い関係）が少ない場合があります。 [69:0.30s]
弱い紐帯の豊富さは情報には強いが、情緒的な支えには弱い。 [70:0.30s]
紐帯の構造を意識すると、孤独の質が理解しやすくなります。 [71:0.30s]
家庭環境も影響します。 [72:0.30s]
幼い頃からいい子でいることで家族の安定を保った人は、親の感情を先回りする親役割を引き受けがちです。 [73:0.30s]
これを「親化（parentification）」と呼びます。 [74:0.30s]
親化の癖は大人になっても続き、他者の感情管理を自動的に担おうとします。 [75:0.30s]
感情管理の代行は、他者に自律の機会を与えず、自分の負担だけを増やし、孤独を強めます。 [76:0.30s]
