「自分らしく生きて」と何度も言われると、少し息苦しくなりませんか。 [1:0.30s]
SNSでも本でも広告でも、同じ言葉が並びます。 [2:0.30s]
言葉は優しく聞こえるのに、守れないときにだけ重くのしかかる。 [3:0.30s]
今日は、この自分らしさの圧力をほどきます。 [4:0.30s]
哲学の話も出てきますが、難しい言葉は使いません。 [5:0.30s]
日常の場面で考えます。 [6:0.30s]
自分らしくという言葉が流行した背景には、近代の自己決定の思想があります。 [7:0.30s]
誰かに決められるのではなく、自分で選ぶ自由。 [8:0.30s]
それ自体は大切です。 [9:0.30s]
ただ、現代の私たちは自分という一つの固い核がある前提で話しがちです。 [10:0.30s]
実際の私たちはもっと揺れています。 [11:0.30s]
朝と夜で気分が違い、会社と家で言葉が違い、友人と親の前で態度が違う。 [12:0.30s]
揺れるのが自然なのに、本当の自分を一つに決めようとすると、揺れた瞬間に「自分らしくない」と責めてしまいます。 [13:0.30s]
哲学者ハンナ・アーレントは、人は関係の中でしか自分を表せないと言いました。 [14:0.30s]
文脈や相手によって、表れる顔が変わるのが人間です。 [15:0.30s]
流動的なものをこれが本当と固定しようとすると、こぼれ落ちます。 [16:0.30s]
こぼれ落ちた部分を偽物と呼んでしまうと、心の一部を切り捨てることになります。 [17:0.30s]
切り捨てられた部分は、罪悪感や恥として戻ってきます。 [18:0.30s]
自分探しに疲れたときは、探す対象が間違っているかもしれません。 [19:0.30s]
本当の自分はどこかに隠れている宝物ではなく、今ここで関わっているときに立ち上がるものです。 [20:0.30s]
会議で真剣に聞いている自分、家で力を抜いて笑っている自分、電車で眠い自分。 [21:0.30s]
全部が自分です。 [22:0.30s]
場面ごとの自分を否定せず、「今の自分はこうしている」と認めるだけで、苦しさは和らぎます。 [23:0.30s]
SNSは自分らしさを競争に変えがちです。 [24:0.30s]
日常の一瞬を切り取って並べると、「私ももっと個性を出さないと」という焦りが生まれます。 [25:0.30s]
自分らしさが、フォロワーやいいねの数で測られるように錯覚し、外側の評価に心が引っ張られます。 [26:0.30s]
アーレントが言うように、他者の視線は避けられませんが、その視線だけで自分を決めると疲れます。 [27:0.30s]
内側にも基準を置いておく必要があります。 [28:0.30s]
内側の基準とは、大げさな理念ではなく、短い問いで十分です。 [29:0.30s]
「これは誰かを傷つけていないか」「終わったあとに恥ずかしくないか」。 [30:0.30s]
問いを持っておくと、発信を決めるときに立ち止まれます。 [31:0.30s]
問いを自分に返す習慣があると、数字に振り回されにくくなります。 [32:0.30s]
問いがないと、外の反応だけで行動を決めがちです。 [33:0.30s]
「表現しない自由」も、忘れがちな選択肢です。 [34:0.30s]
自分を発信することが自分らしさと同義になってしまうと、内向的な人や静かな人が不当に責められます。 [35:0.30s]
哲学者ヴィトゲンシュタインは「語れないことは沈黙しなければならない」と言いました。 [36:0.30s]
沈黙を選ぶのは逃げではなく、選択です。 [37:0.30s]
話さない日があってもいいし、見せない場所を持ってもいい。 [38:0.30s]
沈黙があると、発信する言葉も整います。 [39:0.30s]
自分らしくという言葉の副作用は、失敗への恐れも強くすることです。 [40:0.30s]
本当の自分を表現しなければならないと思うほど、間違いや迷いが「自分らしくない」と感じられます。 [41:0.30s]
ストア派の哲学は、失敗や不快を避けずに受け入れる練習を重んじました。 [42:0.30s]
「コントロールできるものとできないものを分ける」。 [43:0.30s]
人の評価や偶然は変えられませんが、態度や次の行動は選べます。 [44:0.30s]
失敗しても「次にどう選ぶか」に意識を移すと、失敗が自分らしさの敵ではなく、材料になります。 [45:0.30s]
商業も自分らしさを商品化します。 [46:0.30s]
洋服も学びもサービスもあなたらしくと歌います。 [47:0.30s]
選ぶ自由が増えるのは良いことですが、選択肢が多すぎると、選ばない自分に罪悪感が生まれます。 [48:0.30s]
選ばないと損をする気がして、本当は不要なものまで手に取ってしまう。 [49:0.30s]
選ぶときに何のために誰のためにを一行で書いてみてください。 [50:0.30s]
理由が書けないものは、一度置いても構いません。 [51:0.30s]
理由があるものを選ぶと、選ばなかったものへの罪悪感が減ります。 [52:0.30s]
本当の自分という言葉を使うとき、心理学では「物語としての自分」という考え方があります。 [53:0.30s]
脳は一貫した物語を好みます。 [54:0.30s]
だから、過去の出来事をつないで「私はこういう人」と語りたがります。 [55:0.30s]
でも、物語は編集できます。 [56:0.30s]
新しい場面に出会ったら、物語を更新しても構いません。 [57:0.30s]
過去のラベルに縛られて「私は内向的だから挑戦しない」「私は明るいから弱音を吐かない」と決めつけるのは、物語の貧しさです。 [58:0.30s]
ラベルを暫定にし、場面ごとに書き換えても良いと許すだけで、動きやすくなります。 [59:0.30s]
では、自分らしさは全く不要なのでしょうか。 [60:0.30s]
そうではありません。 [61:0.30s]
自分の大切にしたい基準や好き嫌いを知ることは、進む方向を決める助けになります。 [62:0.30s]
ただし、それを固めすぎないことが大切です。 [63:0.30s]
方向はコンパスのようなものです。 [64:0.30s]
北を指し示しつつ、道は状況で変えていい。 [65:0.30s]
