沈黙は、弱さではありません。 [1:0.30s]
多くの人が、沈黙を恐れています。 [2:0.30s]
沈黙があると、何か言わなければと焦る。 [3:0.30s]
反論されたら、すぐに反論し返す。 [4:0.30s]
意見を求められたら、すぐに答えなければと思う。 [5:0.30s]
会話の間が空くと、居心地が悪くなる。 [6:0.30s]
しかし、古代の賢者たちは、沈黙の中に途方もない力があることを知っていました。 [7:0.30s]
古代ギリシャの哲学者ピタゴラスは、弟子たちに五年間の沈黙を課したと言われています。 [8:0.30s]
五年間、発言を禁じられた弟子たちは、聴くこと、観察すること、内省することを学びました。 [9:0.30s]
沈黙の期間を終えた弟子だけが、真の学びを始める資格を得たのです。 [10:0.30s]
今回の動画では、戦略的沈黙の五つの術と、沈黙を力に変える方法についてお伝えします。 [11:0.30s]
この内容を理解すれば、人間関係、仕事、あらゆる場面であなたの影響力は増すでしょう。 [12:0.30s]
まず、なぜ沈黙には力があるのかを理解しましょう。 [13:0.30s]
言葉を発するたびに、私たちはエネルギーを消費します。 [14:0.30s]
そして、言葉は一度発すると取り消せません。 [15:0.30s]
不用意な言葉は関係を壊し、機会を失い、自分を傷つけます。 [16:0.30s]
歴史上、一言で人生を台無しにした人は数えきれません。 [17:0.30s]
政治家の失言、経営者の不適切な発言、芸能人の軽率なコメント。 [18:0.30s]
一度口にした言葉は、取り消すことができません。 [19:0.30s]
一方、沈黙は何も失いません。 [20:0.30s]
沈黙は観察の時間を与え、思考を整理する時間を与え、相手の本音を引き出す時間を与えます。 [21:0.30s]
沈黙している間、あなたは情報を収集しています。 [22:0.30s]
相手の言葉、表情、しぐさ、声のトーン。 [23:0.30s]
話しているときには見逃してしまう情報を、沈黙しているときには捉えることができます。 [24:0.30s]
古代中国の思想家、老子は言いました。 [25:0.30s]
「知る者は言わず、言う者は知らず」と。 [26:0.30s]
真に賢い者は軽々しく語らない。 [27:0.30s]
語りすぎる者は、まだ理解が浅い。 [28:0.30s]
孔子も言いました。 [29:0.30s]
「言葉を慎むことは、知恵の始まりである」と。 [30:0.30s]
ヨガナンダも言いました。 [31:0.30s]
「沈黙の中にこそ、宇宙の声が聞こえる。 [32:0.30s]
言葉の洪水の中では、その声は消えてしまう」と。 [33:0.30s]
一つ目の術は「反応しない沈黙」です。 [34:0.30s]
誰かに批判されたとき、侮辱されたとき、挑発されたとき。 [35:0.30s]
多くの人は即座に反応し、反論したり、弁解したりします。 [36:0.30s]
しかし、感情的になった状態での反応は、ほとんどの場合、状況を悪化させます。 [37:0.30s]
