あの人が嫌いなのは、あなたが自分を嫌いだからかもしれません。 [1:0.30s]
驚きましたか。 [2:0.30s]
嫌いな人がいるのは普通のことです。 [3:0.30s]
しかし、その嫌いの裏には、あなた自身の隠れた部分が投影されていることがあります。 [4:0.30s]
これは、千二百年前に空海が説いた身口意の教えと深く関連します。 [5:0.30s]
今回の動画では、この古代の智慧を人間関係に応用し、嫌いな人を鏡として自己理解を深める方法についてお伝えします。 [6:0.30s]
この内容を理解すれば、人間関係の悩みが激減し、同時に自己成長が加速するでしょう。 [7:0.30s]
まず、空海の身口意について理解しましょう。 [8:0.30s]
空海（弘法大師）は、人間の行動を三つの次元で捉えました。 [9:0.30s]
身は肉体の行動、口は言葉、意は心の動きです。 [10:0.30s]
この三つが一致しているとき、私たちは調和の中にいます。 [11:0.30s]
思っていること、言っていること、やっていることが一致している状態。 [12:0.30s]
これを三密と呼び、仏と一体になる道だと空海は説きました。 [13:0.30s]
例えば、心の中で感謝を感じながら、感謝の言葉を発し、感謝の行動をする。 [14:0.30s]
このとき、三つが一致しており、強力なエネルギーが生まれます。 [15:0.30s]
願いも叶いやすくなると言われています。 [16:0.30s]
しかし、多くの人はこの三つが不一致です。 [17:0.30s]
心では思っていても口に出さない、口では言っても行動しない、行動していても心は別のことを考えている。 [18:0.30s]
この不一致が、苦しみや人間関係の問題を生み出します。 [19:0.30s]
職場で上司に分かりましたと言いながら、心の中では反発している。 [20:0.30s]
友人に大丈夫と言いながら、本当は辛い。 [21:0.30s]
パートナーに愛していると言いながら、行動が伴っていない。 [22:0.30s]
こうした不一致は、エネルギーを消耗させ、関係を蝕み、自分自身との信頼を損ないます。 [23:0.30s]
ヨガナンダは言いました。 [24:0.30s]
「内なる矛盾が、外なる矛盾を生み出す。 [25:0.30s]
内側を整えることが、人生を整える第一歩である」と。 [26:0.30s]
では、これが人間関係とどう関係するのでしょうか。 [27:0.30s]
心理学では投影という概念があります。 [28:0.30s]
自分の中に認めたくない部分を、他者に見出すこと。 [29:0.30s]
自分の中の怒りを、他者の怒りとして非難する。 [30:0.30s]
自分の中の弱さを、他者の弱さとして軽蔑する。 [31:0.30s]
これは防衛機制の一つです。 [32:0.30s]
自分の中にネガティブな側面を認めることは、自己イメージを脅かします。 [33:0.30s]
だから、その側面を自分の外に投影し、他者の問題として扱う。 [34:0.30s]
そうすることで、自己イメージを守っているのです。 [35:0.30s]
興味深いことに、私たちが最も嫌う他者の特質は、しばしば自分自身の中に抑圧されている特質です。 [36:0.30s]
例えば、自己主張が強い人が嫌いな人は、自分の中の自己主張を抑圧しているかもしれません。 [37:0.30s]
本当は自分も主張したいのに、それが許されなかったから抑圧している。 [38:0.30s]
その結果、自己主張が強い人を見ると、無性にイライラする。 [39:0.30s]
嘘つきが嫌いな人は、自分の中の嘘、つまり自分を偽っている部分を認めたくないのかもしれません。 [40:0.30s]
他者の嘘を非難することで、自分の嘘から目を逸らしている。 [41:0.30s]
ワガママな人が嫌いな人は、自分の中のワガママを抑圧しているかもしれません。 [42:0.30s]
子供の頃から「ワガママを言ってはいけない」と教えられ、そのニーズを封印してきた。 [43:0.30s]
だから、ワガママな人を見ると腹が立つ。 [44:0.30s]
怠け者が嫌いな人は、自分の中の休みたい気持ちを否定しているかもしれません。 [45:0.30s]
休むことを許可できず、常に働くべきだと自分を追い込んでいる。 [46:0.30s]
だから、のんびりしている人を見ると、不公平に感じる。 [47:0.30s]
これはユングがシャドウと呼んだものです。 [48:0.30s]
自分の影、認めたくない自分の一面。 [49:0.30s]
シャドウは、他者という鏡を通じて、私たちの前に現れます。 [50:0.30s]
仏陀は言いました。 [51:0.30s]
「他者を見るとき、あなたは自分を見ている。 [52:0.30s]
他者を裁くとき、あなたは自分を裁いている」と。 [53:0.30s]
ある男性の話をしましょう。 [54:0.30s]
彼には、どうしても許せない同僚がいました。 [55:0.30s]
その同僚は常に自分の成果をアピールし、他者を押しのけてでも前に出る。 [56:0.30s]
自己中心的だ厚かましい謙虚さがないと、彼はその同僚を嫌っていました。 [57:0.30s]
会議で同僚が発言するたびにイライラする。 [58:0.30s]
同僚の成功を聞くと不快になる。 [59:0.30s]
なるべく関わらないようにしていましたが、それでもストレスは溜まる一方でした。 [60:0.30s]
あるとき、彼は内省の機会を得ました。 [61:0.30s]
