時間が止まった経験はありますか。 [1:0.30s]
スポーツ選手がゾーンに入り、すべてがスローモーションに見える。 [2:0.30s]
芸術家が創作に没頭し、何時間も経っていることに気づかない。 [3:0.30s]
仕事に完全に集中し、周りの世界が消える。 [4:0.30s]
バスケットボール選手のマイケル・ジョーダンは、ある試合でこう語っています。 [5:0.30s]
「ゴールが通常の二倍の大きさに見えた。 [6:0.30s]
どこにシュートしても入ると分かっていた」と。 [7:0.30s]
ミュージシャンのジョン・コルトレーンは演奏中に「自分が演奏しているのではなく、何かが自分を通じて演奏している」と語りました。 [8:0.30s]
この状態を心理学ではフロー状態と呼びます。 [9:0.30s]
最高のパフォーマンスが発揮され、最高の幸福感を感じる状態です。 [10:0.30s]
今回の動画では、このフロー状態を意識的に作り出す方法と、その背後にあるスピリチュアルな意味についてお伝えします。 [11:0.30s]
この内容を理解すれば、あなたの日常は今までと全く違ったものになるでしょう。 [12:0.30s]
まず、フロー状態とは何かを理解しましょう。 [13:0.30s]
心理学者ミハイ・チクセントミハイは、何千人もの人々にインタビューした結果、文化や職業を超えて、人々が最も幸福を感じる状態に共通点があることを発見しました。 [14:0.30s]
それは、活動に完全に没頭している状態でした。 [15:0.30s]
彼はこの状態をフローと名付けました。 [16:0.30s]
川の流れに乗っているような感覚から、この名前がつけられました。 [17:0.30s]
フロー状態の特徴はいくつかあります。 [18:0.30s]
完全な集中があります。 [19:0.30s]
他のことが意識から消え、目の前のことだけに没頭している。 [20:0.30s]
周囲の騒音が聞こえなくなり、空腹や疲労も感じない。 [21:0.30s]
すべての注意が一点に向けられる。 [22:0.30s]
時間の感覚が変化します。 [23:0.30s]
長い時間があっという間に過ぎたり、逆に一瞬が引き伸ばされたように感じたりする。 [24:0.30s]
三時間が三十分のように感じることもあれば、一秒が数秒に感じることもある。 [25:0.30s]
自意識が消えます。 [26:0.30s]
「自分がどう見られているか」「うまくやれているか」という自己評価の声が静まる。 [27:0.30s]
普段は頭の中で常に回っている内なる批評家がいなくなる。 [28:0.30s]
行動と意識が一体化します。 [29:0.30s]
考えてから動くのではなく、考えることと動くことが同時に起きる。 [30:0.30s]
反応は自動的で、しかし完全に意識的。 [31:0.30s]
そして、活動そのものが報酬になります。 [32:0.30s]
結果のために行っているのではなく、活動そのものが楽しく、意味がある。 [33:0.30s]
外的な報酬がなくても、その行為自体が満足をもたらす。 [34:0.30s]
コントロール感があります。 [35:0.30s]
状況を完全にコントロールしている感覚。 [36:0.30s]
しかし、力んでコントロールしているのではなく、自然と流れに乗っている。 [37:0.30s]
フロー状態にいるとき、私たちは最高のパフォーマンスを発揮します。 [38:0.30s]
スポーツ選手は記録を更新し、音楽家は神がかった演奏をし、科学者は画期的な発想を得ます。 [39:0.30s]
外科医は複雑な手術を完璧にこなし、作家は言葉が泉のように湧いてくる。 [40:0.30s]
しかし、フロー状態はパフォーマンスのためだけではありません。 [41:0.30s]
チクセントミハイの研究によれば、フロー状態こそが真の幸福の源泉なのです。 [42:0.30s]
