あなたは、誰かに「必要とされすぎて」いませんか。 [1:0.30s]
「あの人がいないと私は生きていけない」「私がいないとあの人はダメになる」。 [2:0.30s]
こうした思いを抱いていませんか。 [3:0.30s]
一見すると、これは深い愛情のように見えます。 [4:0.30s]
しかし、その裏には共依存という不健全なパターンが隠れているかもしれません。 [5:0.30s]
今回の動画では、共依存の正体と、そこから解放される方法について、心理学とスピリチュアルの両面からお伝えします。 [6:0.30s]
まず、共依存とは何かを理解しましょう。 [7:0.30s]
共依存とは、他者との関係に過度に依存し、自分のアイデンティティ、自己価値、幸福を相手に委ねてしまう状態です。 [8:0.30s]
一般的な依存とは異なります。 [9:0.30s]
アルコール依存や薬物依存が物質への依存であるのに対し、共依存は関係への依存です。 [10:0.30s]
相手がいないと自分を保てない、相手を助けることが自分の存在意義になっている、相手の問題を自分の問題として引き受けてしまう。 [11:0.30s]
共依存者は、しばしば世話役救済者犠牲者の役割を演じます。 [12:0.30s]
相手のために自分を犠牲にし、相手を助けることに全エネルギーを注ぎます。 [13:0.30s]
しかし、その動機は純粋な愛情ではなく、「相手に必要とされることで、自分の価値を感じたい」という無意識の欲求です。 [14:0.30s]
共依存の反対側には、しばしば依存者がいます。 [15:0.30s]
アルコール依存症、ギャンブル依存症、感情的に不安定な人、ナルシストなど。 [16:0.30s]
共依存者は、こうした人々を助けなければと感じ、引き寄せられます。 [17:0.30s]
しかし、この助けは本当の助けではありません。 [18:0.30s]
問題を持つ人が自立する機会を奪い、依存を可能にしてしまう。 [19:0.30s]
これを「イネーブリング」と呼びます。 [20:0.30s]
ヨガナンダは言いました。 [21:0.30s]
「真の愛は、相手を自由にする。 [22:0.30s]
縛る愛は、愛ではなく恐れである」と。 [23:0.30s]
共依存の特徴をより詳しく見てみましょう。 [24:0.30s]
まず、自己価値が外部に依存しています。 [25:0.30s]
相手に必要とされること、感謝されること、評価されることで、自分の価値を感じます。 [26:0.30s]
相手からの反応がないと、不安になり、自己価値が崩れます。 [27:0.30s]
境界線が曖昧です。 [28:0.30s]
どこまでが自分で、どこからが相手か、区別がつかなくなります。 [29:0.30s]
相手の感情を自分の感情として感じ、相手の問題を自分の問題として引き受けます。 [30:0.30s]
相手をコントロールしようとします。 [31:0.30s]
相手の行動、感情、選択をコントロールしたがります。 [32:0.30s]
あなたのためと言いながら、実は自分の不安を和らげるためにコントロールしています。 [33:0.30s]
自分のニーズを無視します。 [34:0.30s]
相手のニーズを優先し、自分のニーズは後回し。 [35:0.30s]
いつの間にか、自分が何を望んでいるのか分からなくなってしまいます。 [36:0.30s]
相手の問題を自分のせいにします。 [37:0.30s]
相手が機嫌が悪いと「私が何かしたのか」、相手が失敗すると「私がもっとサポートすべきだった」と考えます。 [38:0.30s]
仏陀は言いました。 [39:0.30s]
「執着は苦しみを生む」と。 [40:0.30s]
共依存は、関係への過度な執着の形なのです。 [41:0.30s]
では、なぜ共依存になるのでしょうか。 [42:0.30s]
多くの場合、幼少期の経験が関係しています。 [43:0.30s]
不安定な家庭環境、親がアルコール依存や薬物依存だった、感情的に不在の親、虐待やネグレクト。 [44:0.30s]
こうした環境で育つと、子供は生き延びるために「周囲の世話をする」ことを学びます。 [45:0.30s]
「良い子でいれば愛される」「問題を起こさなければ安全」「親の機嫌を取れば大丈夫」。 [46:0.30s]
こうした学習が、大人になっても続きます。 [47:0.30s]
また、社会的なメッセージも影響します。 [48:0.30s]
「自己犠牲は美徳」「相手のために尽くすのが愛」「自分より他者を優先すべき」。 [49:0.30s]
こうしたメッセージが、不健全な自己犠牲を正当化してしまいます。 [50:0.30s]
ある女性の話をしましょう。 [51:0.30s]
彼女はアルコール依存症の父親のもとで育ちました。 [52:0.30s]
幼い頃から、酔った父親の世話をし、家族の平和を維持するために自分を犠牲にしてきました。 [53:0.30s]
大人になった彼女は、なぜか問題を抱えた男性に惹かれました。 [54:0.30s]
「この人は私がいないとダメになる」と感じる相手。 [55:0.30s]
彼氏はアルコール依存、仕事が続かない、感情的に不安定。 [56:0.30s]
彼女は献身的に支え続けました。 [57:0.30s]
しかし、状況は良くなりませんでした。 [58:0.30s]
彼女がサポートすればするほど、彼は依存し、自立しなくなった。 [59:0.30s]
彼女は疲弊し、自分の人生を生きている感覚がなくなった。 [60:0.30s]
あるとき、彼女はセラピーを受け、自分が共依存であることに気づきました。 [61:0.30s]
父親との関係パターンを、恋愛で繰り返していたのです。 [62:0.30s]
彼女は言いました。 [63:0.30s]
「助けていると思っていたけど、実は自分のためだった。 [64:0.30s]
彼を助けることで、自分の価値を感じていた。 [65:0.30s]
彼が私を必要としていることで、自分の存在意義を感じていた」と。 [66:0.30s]
共依存から解放される方法をお伝えします。 [67:0.30s]
まず、自分が共依存であることを認識してください。 [68:0.30s]
これが最も難しいステップかもしれません。 [69:0.30s]
愛情深い献身的と思っていたことが、実は不健全なパターンだったと認めるのは辛いことです。 [70:0.30s]
境界線を引く練習をしてください。 [71:0.30s]
「ここまでは私の責任、ここからは相手の責任」と区別する。 [72:0.30s]
