なぜ、あの人は愛されるのでしょうか。 [1:0.30s]
特別に美しいわけでもない、特別な才能があるわけでもない、特別なことをしているわけでもない。 [2:0.30s]
なのに、周囲から大切にされ、愛され、尊重されている。 [3:0.30s]
その一方で、どんなに努力しても、どんなに尽くしても、軽く扱われる人がいます。 [4:0.30s]
自分の価値を証明しようと必死になればなるほど、逆に価値を疑われてしまう。 [5:0.30s]
この違いは、何から来ているのでしょうか。 [6:0.30s]
今回の動画では、「大切にされる人」になるための心理術と、その背景にあるスピリチュアルな法則についてお伝えします。 [7:0.30s]
これは表面的なテクニックの話ではありません。 [8:0.30s]
あなたの存在そのものの価値と、それを世界に示す方法についての深い話です。 [9:0.30s]
まず、ショッキングな真実をお伝えすることから始めましょう。 [10:0.30s]
他者があなたをどう扱うかは、あなた自身がどう自分を扱っているかの反映です。 [11:0.30s]
これは厳しく聞こえるかもしれません。 [12:0.30s]
「私のせいだというのか」と思うかもしれません。 [13:0.30s]
しかし、ここに変化の鍵があります。 [14:0.30s]
他者を変えることはできませんが、自分を変えることはできるからです。 [15:0.30s]
周囲があなたを軽く扱うなら、あなた自身がどこかで自分を軽く扱っている可能性があります。 [16:0.30s]
周囲があなたを大切にしないなら、あなた自身が自分を大切にしていない可能性があります。 [17:0.30s]
人々は、あなたが自分自身をどう扱うかを観察し、それに合わせて扱い方を決めています。 [18:0.30s]
これは無意識のプロセスです。 [19:0.30s]
しかし、非常に正確なプロセスでもあります。 [20:0.30s]
例えば、自分の意見を言わない人は「意見を聞かなくてもいい人」として扱われます。 [21:0.30s]
自分の時間を守らない人は「時間を奪ってもいい人」として扱われます。 [22:0.30s]
自分を犠牲にし続ける人は「犠牲にしてもいい人」として扱われます。 [23:0.30s]
これは不公平に思えるかもしれません。 [24:0.30s]
しかし、これが現実の仕組みなのです。 [25:0.30s]
そして、この仕組みを理解すれば、変えることができます。 [26:0.30s]
ヨガナンダは言いました。 [27:0.30s]
「外側の世界は、内側の世界の鏡である。 [28:0.30s]
他者の扱いを変えたければ、まず自分の扱いを変えよ」と。 [29:0.30s]
では、なぜ自分を軽く扱ってしまうのでしょうか。 [30:0.30s]
多くの場合、幼少期の経験が関係しています。 [31:0.30s]
親から条件付きの愛を受けた人は、「自分は無条件では愛される価値がない」というプログラムを持ちやすいです。 [32:0.30s]
「良い子でいれば愛される」「親の期待に応えれば認められる」「失敗すれば見捨てられる」。 [33:0.30s]
こうした条件付きの愛は、「ありのままの自分には価値がない」という信念を植え付けます。 [34:0.30s]
子供は生き延びるために、環境に適応します。 [35:0.30s]
親に愛されるために、自分を抑え、親が求める姿を演じる。 [36:0.30s]
そうして身につけたいい子の仮面は、大人になっても外れないことがあります。 [37:0.30s]
学校でのいじめ、社会からの拒絶、人間関係での裏切り。 [38:0.30s]
こうした経験も、自己価値を傷つけます。 [39:0.30s]
「自分は大切にされる価値がない」という信念が、経験によって強化されていきます。 [40:0.30s]
傷ついた自己価値は、自分を軽く扱うパターンを生み出します。 [41:0.30s]
自分を守ることができない、境界線を引けない、すべてを引き受けてしまう、ノーと言えない。 [42:0.30s]
