あなたの周りに、いい人の仮面を被った危険な人物はいませんか。 [1:0.30s]
表向きは優しく、親切で、誰からも好かれている。 [2:0.30s]
しかし、その裏で人を操り、利用し、心を破壊する。 [3:0.30s]
そんな人物がいることを、あなたは知っていますか。 [4:0.30s]
これは「隠れナルシスト」または「カバートナルシスト」と呼ばれる人格類型です。 [5:0.30s]
表のナルシストが傲慢さを隠さないのに対し、隠れナルシストは善人を装います。 [6:0.30s]
だからこそ、見抜くのが難しく、被害に気づいたときには心が深く傷ついている。 [7:0.30s]
今回の動画では、このいい人の仮面を被った邪悪なナルシストから、あなたの魂を守る方法についてお伝えします。 [8:0.30s]
まず、ナルシシスティック・パーソナリティとは何かを理解しましょう。 [9:0.30s]
ナルシシズムとは、自己愛が過剰で、共感能力が欠如し、他者を利用して自己価値を満たそうとする傾向を指します。 [10:0.30s]
程度の差はあれ、誰にでもナルシシスティックな側面はあります。 [11:0.30s]
しかし、それが極端になると、周囲の人々に深刻な被害を与えます。 [12:0.30s]
古典的なナルシストは、自分が優れていることを公言し、注目を集めようとします。 [13:0.30s]
傲慢でプライドが高く、他者を見下す態度をあからさまに示します。 [14:0.30s]
こうした人物は、見抜きやすいです。 [15:0.30s]
しかし、隠れナルシストは違います。 [16:0.30s]
彼らはいい人優しい人「助けてくれる人」として現れます。 [17:0.30s]
初対面では、非常に魅力的に見えることも多いです。 [18:0.30s]
隠れナルシストの特徴をお伝えします。 [19:0.30s]
まず、被害者意識が強いこと。 [20:0.30s]
彼らは常に「自分は傷つけられた」「自分は不当に扱われた」「自分は理解されていない」と主張します。 [21:0.30s]
これによって同情を集め、操作の土台を作ります。 [22:0.30s]
繊細さを武器にします。 [23:0.30s]
「私は傷つきやすいから」「そんなこと言われると悲しい」と言って、周囲をコントロールしようとします。 [24:0.30s]
あなたが何か意見を言うと、彼らは傷ついたふりをして、あなたを罪悪感で縛ります。 [25:0.30s]
受動的攻撃性があります。 [26:0.30s]
直接的に攻撃するのではなく、ほのめかし、無視、皮肉、冗談の形で攻撃します。 [27:0.30s]
指摘すると「そんなつもりはなかった」被害妄想だと否定します。 [28:0.30s]
助けることで支配します。 [29:0.30s]
あなたを助け、支援し、与えることで、あなたを依存させます。 [30:0.30s]
そして、あなたが依存したところで、コントロールを始めます。 [31:0.30s]
「私がこれだけしてあげたのに」「あなたは恩知らずだ」と。 [32:0.30s]
人によって態度を変えます。 [33:0.30s]
ある人の前では善人、別の人の前では被害者、また別の人の前では批判者。 [34:0.30s]
状況に応じて仮面を変え、その場で最も有利なポジションを取ります。 [35:0.30s]
あなたを孤立させようとします。 [36:0.30s]
「あの人はあなたに良くない」「あの人は信頼できない」と吹き込み、あなたの人間関係を狭めていきます。 [37:0.30s]
孤立したあなたは、より支配しやすくなります。 [38:0.30s]
ある女性の話をしましょう。 [39:0.30s]
彼女は長年、献身的な友人だと思っていた人物に心を破壊されました。 [40:0.30s]
その友人は、いつも彼女の話を聞いてくれました。 [41:0.30s]
困ったときには助けてくれました。 [42:0.30s]
周囲からは「なんていい友達を持っているの」と羨ましがられました。 [43:0.30s]
しかし、振り返ってみると、おかしなことがたくさんありました。 [44:0.30s]
彼女が嬉しいことがあると、友人は体調が悪くなった。 [45:0.30s]
彼女が他の人と仲良くすると、友人は拗ねた。 [46:0.30s]
彼女が成功すると、友人は「私はうまくいかないのに」と被害者になった。 [47:0.30s]
彼女は常に友人の機嫌を取り、友人の気分を優先し、友人を傷つけないように神経を使っていました。 [48:0.30s]
自分の喜びを抑え、自分の成功を隠し、自分を小さくしていたのです。 [49:0.30s]
何年もかけて、彼女の自己価値は削られていきました。 [50:0.30s]
「私はダメな人間だ」「私は他人を傷つける」「私は幸せになってはいけない」という信念が形成されていきました。 [51:0.30s]
ある日、彼女はカウンセリングを受けて気づきました。 [52:0.30s]
その友人は隠れナルシストだったのです。 [53:0.30s]
いい人の仮面の下に、支配欲と嫉妬心を隠していた。 [54:0.30s]
気づいてから、彼女は距離を取り始めました。 [55:0.30s]
すると、友人の本性が現れました。 [56:0.30s]
「私がこれだけしてあげたのに」「あなたには失望した」「みんなに言いふらしてやる」。 [57:0.30s]
脅しにも耐え、彼女はその関係から離れました。 [58:0.30s]
何年かかって、彼女は自己価値を取り戻しました。 [59:0.30s]
彼女は言いました。 [60:0.30s]
「見抜けなかった自分を責めた時期もあった。 [61:0.30s]
でも、彼らは見抜かれないようにしているのだから、見抜けなくて当然だった」と。 [62:0.30s]
仏陀は言いました。 [63:0.30s]
「邪悪を認識することは、智慧の一部である」と。 [64:0.30s]
隠れナルシストから身を守る方法をお伝えします。 [65:0.30s]
まず、境界線を設定してください。 [66:0.30s]
「ここまではOK、ここからはNG」という明確な線を引く。 [67:0.30s]
ナルシストは境界線を嫌います。 [68:0.30s]
境界線があることで、初めてあなたを支配できなくなるからです。 [69:0.30s]
「この話題は話したくない」「その言い方は受け入れられない」「そのお願いは断る」。 [70:0.30s]
明確に、感情的にならずに、境界線を伝えてください。 [71:0.30s]
ガスライティングに注意してください。 [72:0.30s]
ガスライティングとは、相手の現実認識を歪ませる操作です。 [73:0.30s]
「そんなこと言ってない」「あなたの記憶違いでは」被害妄想だ。 [74:0.30s]
こうした言葉で、あなたの正気を疑わせようとします。 [75:0.30s]
自分の感覚を信じてください。 [76:0.30s]
おかしいと感じたら、おかしいのです。 [77:0.30s]
違和感を感じたら、その違和感は正しいのです。 [78:0.30s]
自分の感覚を否定しないでください。 [79:0.30s]
記録を取ることも効果的です。 [80:0.30s]
何を言われたか、何をされたか、日記に書いておく。 [81:0.30s]
ガスライティングされたときに、自分の記憶を確認できます。 [82:0.30s]
信頼できる人に話してください。 [83:0.30s]
ナルシストはあなたを孤立させようとします。 [84:0.30s]
だからこそ、信頼できる友人、家族、カウンセラーとのつながりを保ってください。 [85:0.30s]
客観的な視点が、あなたの正気を支えます。 [86:0.30s]
距離を取ることが最善の場合もあります。 [87:0.30s]
ナルシストを直すことはできません。 [88:0.30s]
彼らは自分に問題があるとは思っていないからです。 [89:0.30s]
関係を続けると、あなたが消耗するだけの場合、離れることが最善です。 [90:0.30s]
罪悪感を手放してください。 [91:0.30s]
「こんなに助けてもらったのに」「あの人は傷つくだろう」。 [92:0.30s]
こうした罪悪感こそ、彼らがあなたを縛るために仕込んだものです。 [93:0.30s]
