封印された知識が、ここにあります。 [1:0.30s]
二千年前、ある福音書が異端として焚書され、歴史から消し去られました。 [2:0.30s]
しかし一九四五年、エジプトのナグ・ハマディで、その失われた福音書が発見されました。 [3:0.30s]
グノーシス派の福音書です。 [4:0.30s]
初期キリスト教の中で異端とされ、抹殺されたこの思想には、驚くべき教えが含まれていました。 [5:0.30s]
この世界は牢獄であり、あなたの魂は本当は別の次元から来ている。 [6:0.30s]
そして、「知識（グノーシス）」を得ることで、この牢獄から解放され、本来の自分に戻ることができる、と。 [7:0.30s]
今回の動画では、グノーシスの禁断の教えを現代の視点から解釈し、人生のOSを書き換える方法を探っていきます。 [8:0.30s]
これは歴史の話であると同時に、あなたの意識を覚醒させる実践的な智慧でもあります。 [9:0.30s]
まず、グノーシス主義とは何かを理解しましょう。 [10:0.30s]
グノーシス（ギリシャ語で知識の意）主義は、紀元一世紀から三世紀頃に栄えた思想運動です。 [11:0.30s]
キリスト教の一派として始まりましたが、その教えは正統派キリスト教とは大きく異なっていました。 [12:0.30s]
正統派が信仰を重視したのに対し、グノーシス派は知識を重視しました。 [13:0.30s]
ただの知識ではありません。 [14:0.30s]
魂の本質についての直接的な認識、霊的な真実への目覚め。 [15:0.30s]
これをグノーシスと呼びました。 [16:0.30s]
グノーシス派によれば、この物質世界は不完全な創造者（デミウルゴス）によって作られた牢獄です。 [17:0.30s]
私たちの魂は、本来は神聖な光の領域から来ているが、この物質世界に閉じ込められている。 [18:0.30s]
肉体という殻に入れられ、本当の自分を忘れさせられている。 [19:0.30s]
この忘却から目覚めること、自分が本当は誰であるかを思い出すこと。 [20:0.30s]
それがグノーシスであり、救済への道でした。 [21:0.30s]
グノーシスの福音書には、正典聖書には含まれなかった教えが記されています。 [22:0.30s]
トマス福音書は、イエスの秘密の言葉を集めたものとされます。 [23:0.30s]
ピリポ福音書は、より神秘的な教えを含みます。 [24:0.30s]
真理の福音は、宇宙の起源と魂の本質を語ります。 [25:0.30s]
これらの文書が示すのは、外側の権威に従うのではなく、内側の真実に目覚めることの重要性です。 [26:0.30s]
