深夜の通知音に指先が跳ねた。 [1:0.30s]
夫を見送って七年、六十七歳の田中美和子は布団の中でマッチングアプリに登録する自分に驚いていた。 [2:0.30s]
スマートフォンの青白い光が天井に揺れる。 [3:0.30s]
隣で眠る人がいなくなってから、この時間だけは妙に目が冴える。 [4:0.30s]
枕に顔を埋めても、夫の匂いはもうどこにもない。 [5:0.30s]
その代わりに残っているのは、手帳の奥に挟んだ夫の走り書きだった。 [6:0.30s]
「もう一度、誰かを頼れ」と書かれたその紙切れが、枕元の暗がりで微かに光って見えた。 [7:0.30s]
あの人は最期まで私のことを心配していた。 [8:0.30s]
病室のベッドで、細くなった指で私の手を握りながら、「お前は強いから、一人でも大丈夫だ」と言った。 [9:0.30s]
でもその次の瞬間、「でも、強がるなよ」と付け足した。 [10:0.30s]
その言葉が今になって胸に刺さる。 [11:0.30s]
七年間、私は強がってきた。 [12:0.30s]
娘たちの前でも、友人たちの前でも。 [13:0.30s]
でも深夜の布団の中では、いつも泣いていた。 [14:0.30s]
写真を選び、震える指でプロフィールを打ち込む。 [15:0.30s]
「趣味は読書と散歩、好きな季節は秋」。 [16:0.30s]
ありきたりな言葉しか浮かばない自分がもどかしい。 [17:0.30s]
六十七年も生きてきたのに、自分を表現する言葉を持っていない。 [18:0.30s]
香水をひと吹きして気持ちを落ち着かせた。 [19:0.30s]
夫が最後に贈ってくれた香水。 [20:0.30s]
もうほとんど残っていないけれど、大切な夜だけに使うと決めている。 [21:0.30s]
送信ボタンを押した瞬間、胸の奥が熱くなる。 [22:0.30s]
これでいいのか分からない。 [23:0.30s]
でも、何かを始めなければ、私はこのまま枯れてしまう気がした。 [24:0.30s]
数分後、見覚えのある名前が画面に弾んだ。 [25:0.30s]
四十年前の初恋、修一。 [26:0.30s]
高校の文化祭で一緒に歌った、あの修一。 [27:0.30s]
心臓が喉まで飛び上がるかと思った。 [28:0.30s]
通知に「いいね、押してしまったよ。 [29:0.30s]
もしかして美和子？ [30:0.30s]
」と表示され、喉がきゅっと鳴った。 [31:0.30s]
指先が震える。 [32:0.30s]
高校時代、彼とは同じ合唱部だった。 [33:0.30s]
文化祭のステージで二人でデュエットを歌い、終わった瞬間に目が合って、世界が止まったように感じた。 [34:0.30s]
あの日から四十年。 [35:0.30s]
私は別の人と結婚し、子供を育て、孫もできた。 [36:0.30s]
彼も家庭を持ち、人生を歩んできたはずだ。 [37:0.30s]
それなのに今、こんな形で再会するなんて。 [38:0.30s]
「会いたい」と打つまでに長い呼吸を三つ重ねた。 [39:0.30s]
指が震えて、何度も打ち間違える。 [40:0.30s]
送信してから布団を頭まで被り、心臓の音を聞いた。 [41:0.30s]
ドクン、ドクンと脈打つリズムが、四十年前の放課後と同じだった。 [42:0.30s]
あの頃は、彼と目が合うだけで頬が熱くなった。 [43:0.30s]
廊下ですれ違うたびに、わざと視線を逸らしながら、心の中では彼の名前を呼んでいた。 [44:0.30s]
そんな気持ちを、この歳になって思い出すとは。 [45:0.30s]
翌日、駅前の喫茶店。 [46:0.30s]
約束の時間より十五分も早く着いてしまい、窓際の席で何度もメニューを開いては閉じた。 [47:0.30s]
何を頼めばいいのか決められない。 [48:0.30s]
いや、そもそも何を話せばいいのか分からない。 [49:0.30s]
四十年ぶりに会う初恋の人に、「お元気でしたか」なんて他人行儀すぎる。 [50:0.30s]
