市民大学の教室で赤ペンが走る音がした。 [1:0.30s]
「行間が詰まりすぎだ。 [2:0.30s]
息ができないぞ」元教頭の島田先生の低い声が、紙よりも柔らかく胸に落ちた。 [3:0.30s]
田中美和子は六十七歳、夫を見送って七年。 [4:0.30s]
心理学を学び直すために週に二回、この大学に通っている。 [5:0.30s]
娘たちは遠方に嫁ぎ、広い家には私一人。 [6:0.30s]
静かすぎる日常に耐えられなくなって、この大学の門を叩いた。 [7:0.30s]
「私は生徒じゃないわ」と小さく返すと、「学ぶ姿勢は同じだろう」と眼鏡越しの視線が返ってきた。 [8:0.30s]
その視線に、頬がじんわりと熱を帯びる。 [9:0.30s]
島田先生は七十二歳。 [10:0.30s]
定年まで高校の教頭を務め、今は市民大学で心理学入門を教えている。 [11:0.30s]
白髪が多くなったけれど、背筋はまっすぐで、声には若い頃と変わらない張りがあった。 [12:0.30s]
厳しいけれど、決して高圧的ではない。 [13:0.30s]
叱るときでさえ、どこか温かい。 [14:0.30s]
赤ペンの音と彼の呼吸が重なり、指先が温まる感覚がした。 [15:0.30s]
教室には十五人ほどの受講生がいるのに、先生の視線は私のノートに集中しているように見える。 [16:0.30s]
「ここ、もう一度書き直してごらん」と先生が私のノートを指さす。 [17:0.30s]
その指が私の手に触れそうになって、思わず引っ込めてしまった。 [18:0.30s]
慌てた自分が恥ずかしい。 [19:0.30s]
「すみません、失礼しました」と先生が言う。 [20:0.30s]
「いいえ、私こそ」言い訳のように顔を伏せると、赤ペンのインクの匂いが鼻をくすぐった。 [21:0.30s]
講義が終わり、他の受講生たちが帰り支度を始める中、私はノートを見つめていた。 [22:0.30s]
赤い線がたくさん引かれている。 [23:0.30s]
直すべきところ、考え直すべきところ。 [24:0.30s]
辛辣な指摘かもしれないけれど、それは期待の裏返しだと感じた。 [25:0.30s]
「田中さん」と声をかけられ、顔を上げると先生が立っていた。 [26:0.30s]
「今日の発表、要点はまとまっていた。 [27:0.30s]
あとは、もう少し自分の言葉で語れるといい」「はい」「焦らなくていい。 [28:0.30s]
学びは時間をかけるものだ」その言葉に、胸が温かくなった。 [29:0.30s]
雨の日の放課後。 [30:0.30s]
講義が終わって廊下に出ると、窓の外は本降りになっていた。 [31:0.30s]
天気予報を確認しなかった自分を呪う。 [32:0.30s]
傘を忘れたことに気づき、玄関で途方に暮れていると、背後から声がした。 [33:0.30s]
「困っているのかね」振り返ると、島田先生がそこにいた。 [34:0.30s]
黒い傘を手に持ち、こちらを見ている。 [35:0.30s]
「傘を忘れてしまって」と答えると、無言で自分の傘を差し出される。 [36:0.30s]
「先生、でも」「構わん。 [37:0.30s]
駅まで歩幅を合わせよう」 [38:0.25s]
傘の中に入ると、先生の体温が近くに感じられた。 [39:0.30s]
