夜十時、壁を震わせるバイオリンの音に耐えかねて、田中美和子は隣室のドアを叩いた。 [1:0.30s]
六十七歳、夫を見送って七年。 [2:0.30s]
静かな夜を欲していたのに、毎晩のように響くバイオリンの音が安眠を妨げていた。 [3:0.30s]
この一週間、毎晩十時を過ぎてから始まる演奏に、私の神経は限界に達していた。 [4:0.30s]
今夜こそ文句を言ってやろうと、怒りに任せてドアを叩く。 [5:0.30s]
「うるさいわよ！ [6:0.30s]
」声が廊下に響いた。 [7:0.30s]
扉が開くと、そこには白髪を撫で付けた男が立っていた。 [8:0.30s]
斎藤俊介。 [9:0.30s]
七十三歳。 [10:0.30s]
後で知ったことだが、元オーケストラの指揮者だった。 [11:0.30s]
ロジンの甘い匂いが漂ってくる。 [12:0.30s]
バイオリンの弦を滑らかにするための松脂の匂い。 [13:0.30s]
夫もクラシック音楽が好きだったから、この匂いには覚えがあった。 [14:0.30s]
「申し訳ない。 [15:0.30s]
耳が鈍っていて、音量がわからなくなっていたんです」と低く謝る声に、怒りの熱が別の熱に変わっていくのを感じた。 [16:0.30s]
彼の目元には深い皺が刻まれていて、でもその奥の瞳は若々しく輝いていた。 [17:0.30s]
音楽に人生を捧げてきた人の目だと思った。 [18:0.30s]
「今後は気をつけます。 [19:0.30s]
本当に申し訳ない」頭を下げる彼の姿に、怒りは急速に萎んでいった。 [20:0.30s]
「もう十時を過ぎていますから、せめて九時までにしてください」そう言うのが精一杯だった。 [21:0.30s]
自分でも驚くほど、声が柔らかくなっていた。 [22:0.30s]
翌夕方、玄関のドアの隙間からメモが差し込まれていた。 [23:0.30s]
万年筆で書かれた丁寧な文字。 [24:0.30s]
「謝りたい。 [25:0.30s]
短く一曲だけ、あなたのために弾かせてください。 [26:0.30s]
お時間があれば、今夜七時に私の部屋へ」と書かれている。 [27:0.30s]
馬鹿馬鹿しい。 [28:0.30s]
そう思いながらも、断る気が起きなかった。 [29:0.30s]
何か、この人の音楽を聴いてみたいという気持ちが芽生えていた。 [30:0.30s]
