倉庫の冷たい空気に、低い声が響いた。 [1:0.30s]
「そのテープの貼り方、甘いな」その指摘に、私は思わず手元を止めた。 [2:0.30s]
シルバー人材センターで紹介された、初めての軽作業の現場。 [3:0.30s]
田中美和子、六十七歳。 [4:0.30s]
夫を七年前に見送り、子供たちも独立して久しい。 [5:0.30s]
静かすぎる毎日に少しばかりの風を吹かせたくて、市民大学で心理学を学び直したりしていたが、ふと「身体を動かすのも悪くない」と思い立って登録したのが、この倉庫での梱包作業だった。 [6:0.30s]
段ボールを組む手を止めて振り返ると、隣に立っていたのは、どこか見覚えのある初老の男性だった。 [7:0.30s]
村上健二、七十歳。 [8:0.30s]
眉間には深い皺が刻まれ、白髪交じりの短髪が蛍光灯の下で銀色に光っている。 [9:0.30s]
作業着姿だが、その立ち居振る舞いには隠せない威厳があった。 [10:0.30s]
そして、梱包作業をこなす手つきは、妙に洗練されていて無駄がない。 [11:0.30s]
梱包テープが、彼の手によって「ビーッ」と鋭い音を立てて引き出され、ぴたりと段ボールに吸い付くように貼られる。 [12:0.30s]
その一連の動作の完璧さと、私の作業を否定された苛立ちが混ざり合い、胸の奥で小さく火が灯るのを感じた。 [13:0.30s]
「私は私のやり方でやりますから」努めて冷静に返すと、彼は口角をわずかに上げた。 [14:0.30s]
その皮肉めいた笑みを見て、記憶の蓋が開いた。 [15:0.30s]
「現役時代、君の会社には散々煮え湯を飲まされたからな。 [16:0.30s]
あの強引とも言える営業力には、正直敵わなかったよ」 [17:0.25s]
火花が散るような言葉。 [18:0.30s]
でも、不思議と嫌な気分ではなかった。 [19:0.30s]
むしろ、錆びついていた歯車が急に回り出したような高揚感を覚えた。 [20:0.30s]
この人を知っている。 [21:0.30s]
名前は失念していたが、かつて業界で名を轟かせた「鬼の村上」だ。 [22:0.30s]
競合他社の営業部長として、何度もコンペでぶつかり合った相手。 [23:0.30s]
まさか、三十年の時を経て、こんな倉庫の片隅で再会するなんて。 [24:0.30s]
午前中は、ひたすら段ボールを組み立てる作業が続いた。 [25:0.30s]
単純作業だが、リズムが掴めないと意外に体力を消耗する。 [26:0.30s]
しかし、村上の動きは精密機械のようだった。 [27:0.30s]
彼の手が段ボールの折り目を撫でるたび、硬い紙がしなる音が、どこか艶めいて聞こえるのは気のせいだろうか。 [28:0.30s]
「角はこうやって立たせるんだ。 [29:0.30s]
指の腹を使って、圧をかけるように」見かねたのか、彼が私の後ろに回り込み、手を添えてきた。 [30:0.30s]
「ちょっ、近いです」と言いかけた言葉を飲み込む。 [31:0.30s]
彼のごつごつした指が、私の指を覆うようにして段ボールに押し付けられる。 [32:0.30s]
