万国旗が秋晴れの空にはためき、子供たちの歓声が校庭に響き渡る。 [1:0.30s]
乾いた砂埃の匂いと、どこか懐かしい運動会特有の高揚感が、鼻腔をくすぐる。 [2:0.30s]
スピーカーからは、定番の行進曲が少し割れた音で流れていた。 [3:0.30s]
私は観客席の後方で、カメラを構えていた。 [4:0.30s]
レンズの向こうでは、孫たちが赤や白の帽子をかぶって走り回っている。 [5:0.30s]
「おや、赤組の応援ですか？ [6:0.30s]
」 [7:0.25s]
ふと、頭上から声が落ちてきた。 [8:0.30s]
田中美和子、六十九歳。 [9:0.30s]
夫を見送って七年が経つ。 [10:0.30s]
市民大学で心理学を学び直し、第二の人生を謳歌しようと努めているが、ふとした瞬間に寂しさが胸をよぎることもある。 [11:0.30s]
今日は、仕事で忙しい娘夫婦に代わって、一人で孫の運動会の応援に来ていた。 [12:0.30s]
声をかけてきたのは、隣のベンチに腰を下ろしていた初老の男性だった。 [13:0.30s]
木村正志、七十歳。 [14:0.30s]
黒縁の眼鏡の奥で、優しげな目が笑っている。 [15:0.30s]
白髪交じりの髪は整えられ、清潔感のあるアイロンのかかったシャツを着ていた。 [16:0.30s]
その佇まいには、誠実な人柄が滲み出ていた。 [17:0.30s]
「ええ、孫が赤組なもので。 [18:0.30s]
そちらは？ [19:0.30s]
」 [20:0.25s]
「僕もです。 [21:0.30s]
孫がリレーの選手に選ばれたとかで、朝から張り切っているんですよ。 [22:0.30s]
妻が生きていたら、きっと応援席で立ち上がって叫んで、誰にも止められなかったでしょうね」 [23:0.25s]
彼は少し寂しそうに、けれど愛おしそうに苦笑した。 [24:0.30s]
その横顔を見て、私の胸の奥が小さく揺れた。 [25:0.30s]
同じだ。 [26:0.30s]
私たちはお互いに、隣にいるはずの誰かを欠いたまま、ここに来ている。 [27:0.30s]
欠けたピースを抱えた者同士が、偶然隣り合わせたのだ。 [28:0.30s]
開会式が終わり、最初のプログラムが始まるまでの間、木村さんが足元のクーラーボックスから缶のお茶を取り出した。 [29:0.30s]
「よかったら、どうですか。 [30:0.30s]
保冷剤を入れすぎたので、少し冷えすぎているかもしれませんが」 [31:0.25s]
「まあ、すみません」 [32:0.25s]
差し出された缶を受け取ると、金属の冷たさよりも先に、彼の手の温もりが指先から伝わってきた。 [33:0.30s]
ほんの一瞬の接触。 [34:0.30s]
けれど、その感触は驚くほど鮮明だった。 [35:0.30s]
「ありがとうございます。 [36:0.30s]
以前は夫がよく、こうやって飲み物を用意してくれたのを思い出しました。 [37:0.30s]
気が利く人だったんです」 [38:0.25s]
「そうですか……。 [39:0.30s]
じゃあ今日は、僕がその役目を引き継がせてもらいます」 [40:0.25s]
彼は穏やかに微笑んだ。 [41:0.30s]
プシュッ、というプルタブを開ける音が小気味よく響く。 [42:0.30s]
乾いた秋の風に乗って、お茶の香ばしい香りと、彼の指先に残る微かな残り香――整髪料だろうか、それとも柔軟剤だろうか――が漂ってきた。 [43:0.30s]
言葉少なに並んで座っているだけなのに、不思議と居心地が良い。 [44:0.30s]
沈黙が苦にならない。 [45:0.30s]
彼との距離感が、まるで長年連れ添った夫婦のように自然に感じられた。 [46:0.30s]
「いい天気ですね」 [47:0.25s]
「ええ、本当に。 [48:0.30s]
運動会日和です」 [49:0.25s]
そんなありふれた会話さえ、心に染み入るようだった。 [50:0.30s]
玉入れ競技が始まると、校庭は一気に賑やかになった。 [51:0.30s]
「あ、あそこにいますよ、僕の孫。 [52:0.30s]
あの鉢巻をした……」 [53:0.25s]
彼が身を乗り出して指差す。 [54:0.30s]
「あら、うちの孫も一緒だわ。 [55:0.30s]
ほら、その隣の」 [56:0.25s]
思わず私も身を乗り出し、二人で指差して笑い合う。 [57:0.30s]
その拍子に肩が触れ、私のカメラのストラップと彼のシャツのボタンが軽く絡まった。 [58:0.30s]
「あっ、すみません！ [59:0.30s]
」 [60:0.25s]
「いえ、こちらこそ」 [61:0.25s]
慌てて離れようとした時、互いの顔が急接近し、呼吸が触れ合う距離になった。 [62:0.30s]
一瞬の静寂。 [63:0.30s]
周りの歓声が遠のく。 [64:0.30s]
彼の眼鏡の奥の瞳に、自分の驚いた顔が映っているのが見えた。 [65:0.30s]
彼の吐息が、微かに私の頬にかかる。 [66:0.30s]
慌てて視線を逸らしたが、頬がカッと熱くなるのを止められなかった。 [67:0.30s]
心臓が早鐘を打っている。 [68:0.30s]
この歳になって、こんな風に動揺するなんて。 [69:0.30s]
「写真、後で送りますね。 [70:0.30s]
いいアングルで撮れたと思うので」 [71:0.25s]
絡まりを解きながら、私は努めて平静を装って言った。 [72:0.30s]
「ありがとうございます。 [73:0.30s]
じゃあ、午後のリレーは僕が撮りますよ。 [74:0.30s]
望遠レンズを持ってきたので」 [75:0.25s]
そう言って彼がスマホを取り出す。 [76:0.30s]
連絡先を交換することになった。 [77:0.30s]
「ここを、こうして……」 [78:0.25s]
指先が画面の上で触れ合い、また離れる。 [79:0.30s]
そのたびに、小さな電気が走るような感覚があった。 [80:0.30s]
連絡先という細い糸で繋がったことが、妙に嬉しかった。 [81:0.30s]
昼休みになり、校庭の隅の大きな桜の木の下でシートを広げた。 [82:0.30s]
木漏れ日が揺れている。 [83:0.30s]
「もしよかったら、少し交換しませんか？ [84:0.30s]
」 [85:0.25s]
私が作ったお弁当の唐揚げを見て、彼が提案してきた。 [86:0.30s]
「娘が作った卵焼きなんですが、一人じゃ食べきれなくて。 [87:0.30s]
甘いのが好きだと言ったら、砂糖を入れすぎたみたいで」 [88:0.25s]
彼は照れくさそうに笑う。 [89:0.30s]
「まあ、美味しそう。 [90:0.30s]
じゃあ、私の唐揚げと交換しましょう」 [91:0.25s]
割り箸で卵焼きを口に運ぶと、優しい甘さが舌の上に広がった。 [92:0.30s]
「……美味しい。 [93:0.30s]
お嬢さんの愛情を感じますね」 [94:0.25s]
「妻の味を受け継いでいるんです。 [95:0.30s]
懐かしい味がします」 [96:0.25s]
彼は唐揚げを頬張り、目を細めた。 [97:0.30s]
「うん、香ばしくて美味しい。 [98:0.30s]
生姜が効いている。 [99:0.30s]
これは……ご主人が好きだった味ですか？ [100:0.30s]
」 [101:0.25s]
ドキリとした。 [102:0.30s]
なぜ分かったのだろう。 [103:0.30s]
「ええ、夫の大好物でした。 [104:0.30s]
運動会のたびに、これだけは必ず入れてくれって、子供みたいにせがむんです」 [105:0.25s]
思い出話が自然と溢れ出す。 [106:0.30s]
彼もまた、亡き妻との思い出を語り始めた。 [107:0.30s]
湿っぽい話ではなく、温かい記憶として。 [108:0.30s]
「妻はね、おっちょこちょいで。 [109:0.30s]
弁当の箸を入れ忘れたことがあって……」 [110:0.25s]
「ふふ、まあ」 [111:0.25s]
二人で笑い合う。 [112:0.30s]
「一人で食べるお弁当より、二人で食べる方がずっと美味しいですね」 [113:0.25s]
彼がしみじみと言う。 [114:0.30s]
「本当に。 [115:0.30s]
久しぶりに、食事の楽しさを思い出しました」 [116:0.25s]
日差しが木漏れ日となって降り注ぎ、私たちの手元をまだらに照らす。 [117:0.30s]
指に残る揚げ物の油さえも、太陽の熱で温められ、私たちが今生きている証のように感じられた。 [118:0.30s]
午後のリレー。 [119:0.30s]
アンカーとして走る孫たちの姿に、応援席の熱気は最高潮に達した。 [120:0.30s]
砂埃が舞い上がる。 [121:0.30s]
「行け！ [122:0.30s]
走れ！ [123:0.30s]
」 [124:0.25s]
木村さんが立ち上がり、ベンチをバンと叩く。 [125:0.30s]
その振動が私の太ももに伝わり、自分の鼓動と重なっていくようだった。 [126:0.30s]
彼の熱気が、隣にいる私にも伝播する。 [127:0.30s]
ゴールテープを切った瞬間、割れんばかりの歓声が上がった。 [128:0.30s]
彼が振り返り、満面の笑みで私を見た。 [129:0.30s]
「やった！ [130:0.30s]
」 [131:0.25s]
その笑顔が、あまりにも無邪気で、少年のような輝きを放っていた。 [132:0.30s]
シワの一本一本に、喜びが満ちていた。 [133:0.30s]
「速かったですね、お孫さん」 [134:0.25s]
「いやあ、君の声援のおかげですよ。 [135:0.30s]
君の声の方が、足より速く届いていましたから」 [136:0.25s]
彼は照れくさそうに頭をかいた。 [137:0.30s]
「あら、嫌だわ。 [138:0.30s]
そんなに大きな声を出していたかしら」 [139:0.25s]
「いいえ、素敵な声でしたよ。 [140:0.30s]
元気がもらえる、ハリのある声だ」 [141:0.25s]
彼にじっと見つめられ、耳の奥がカッと熱を持った。 [142:0.30s]
褒められた言葉が、身体の中を巡っていく。 [143:0.30s]
運動会が終わり、後片付けをする校庭は、祭りの後の寂しさを漂わせていた。 [144:0.30s]
夕日が校舎をオレンジ色に染めている。 [145:0.30s]
「駅まで、一緒にどうですか？ [146:0.30s]
」 [147:0.25s]
