冬の午後の光が、部屋の埃をキラキラと照らしていた。 [1:0.30s]
静かな部屋に、カサカサという紙の音だけが響く。 [2:0.30s]
夫の遺品整理を始めて三日目。 [3:0.30s]
押し入れの奥、衣装ケースの底から、古びた桐の箱が出てきた。 [4:0.30s]
「こんなもの、あったかしら……」 [5:0.25s]
蓋を開けると、中には見覚えのない黄ばんだ封筒の束が入っていた。 [6:0.30s]
「この手紙、誰に……？ [7:0.30s]
」 [8:0.25s]
美和子、六十七歳。 [9:0.30s]
夫を見送ってから五年が経つ。 [10:0.30s]
夫は公務員で、誠実で真面目そのものの性格だった。 [11:0.30s]
私以外の女性の影など微塵も感じさせたことのない人だった。 [12:0.30s]
けれど、その封筒の束を見た瞬間、抑えていた指先が微かに震え出した。 [13:0.30s]
女の勘、というやつだろうか。 [14:0.30s]
封筒には、夫の几帳面な字で、見知らぬ女性の名前と住所が記されていた。 [15:0.30s]
「佐伯香織様」。 [16:0.30s]
差出人は書かれていないが、筆跡は間違いなく夫のものだ。 [17:0.30s]
恐る恐る中身を確認する。 [18:0.30s]
十数通の手紙。 [19:0.30s]
そこには、私の知らない夫の言葉が綴られていた。 [20:0.30s]
「君の夢を応援している。 [21:0.30s]
諦めてはいけない」 [22:0.25s]
「無理をしてはいけないよ。 [23:0.30s]
君が元気でいることが、僕の願いだ」 [24:0.25s]
「君の優しさに、僕の方が救われているんだ」 [25:0.25s]
読み進めるうちに、胸の奥でどす黒い感情が芽吹き始めた。 [26:0.30s]
嫉妬だ。 [27:0.30s]
三十年間連れ添った私には見せたことのない、どこか甘く、そして深い慈愛に満ちた言葉たち。 [28:0.30s]
夫の中に、私の知らない「男」がいたのだ。 [29:0.30s]
頬にカッと火が差すのを感じた。 [30:0.30s]
手紙を持つ手が震え、紙が音を立てる。 [31:0.30s]
「嘘でしょう……」 [32:0.25s]
鏡の前に立ち、自分の顔を見つめる。 [33:0.30s]
そこには、裏切られた妻の、惨めな顔があった。 [34:0.30s]
「真実だけ知りたい」 [35:0.25s]
そう囁き、震える手で真っ赤なルージュを引き直した。 [36:0.30s]
唇に赤が乗ると、少しだけ力が湧いてきた気がした。 [37:0.30s]
夫は私を裏切っていたのか。 [38:0.30s]
それとも、私が知らなかっただけで、別の顔を持っていたのか。 [39:0.30s]
確かめなければ、前に進めない。 [40:0.30s]
翌日、私は封筒に書かれた住所へ、短い便りを出した。 [41:0.30s]
「夫の妻です。 [42:0.30s]
あなたに会いたい。 [43:0.30s]
二人の間に何があったのか、ただ真実が知りたいのです」 [44:0.25s]
投函した後も、インクの匂いが鼻につき、鼓動が早まるのを止められなかった。 [45:0.30s]
木目をなぞりながら、まだ見ぬ女性の姿を想像する。 [46:0.30s]
若くて美しい人なのだろうか。 [47:0.30s]
夫は彼女のどこを愛したのだろうか。 [48:0.30s]
私に足りなかったものは何だったのだろうか。 [49:0.30s]
眠れぬ夜を過ごした。 [50:0.30s]
数日後、返事が来た。 [51:0.30s]
会ってもいい、という内容だった。 [52:0.30s]
駅前の静かな喫茶店で待ち合わせることになった。 [53:0.30s]
約束の午後三時。 [54:0.30s]
私は一番奥の席に座り、入り口を見つめていた。 [55:0.30s]
カップから立ち上る湯気が頬を撫でるが、指先は氷のように冷たい。 [56:0.30s]
カランコロン、とドアベルが鳴り、一人の女性が入ってきた。 [57:0.30s]
佐伯香織。 [58:0.30s]
三十代半ばだろうか。 [59:0.30s]
派手さはなく、清楚で落ち着いた雰囲気の女性だった。 [60:0.30s]
シンプルなベージュのコートを着ている。 [61:0.30s]
彼女は私を見つけると、ためらうことなく近づき、深く頭を下げた。 [62:0.30s]
「初めまして、佐伯です。 [63:0.30s]
この度は……」 [64:0.25s]
席に着いた彼女の瞳は、驚くほど澄んでいて、柔らかかった。 [65:0.30s]
敵意も、後ろめたさも見当たらない。 [66:0.30s]
「単刀直入に伺います。 [67:0.30s]
夫とは、どういうご関係だったのですか？ [68:0.30s]
」 [69:0.25s]
努めて冷静な声を出したが、カップを持つ手が震えてソーサーとぶつかり、カチャリと音を立てた。 [70:0.30s]
彼女は悲しげに微笑み、静かに語り始めた。 [71:0.30s]
「ご主人には……本当の父のように、支えていただきました」 [72:0.25s]
「父……？ [73:0.30s]
」 [74:0.25s]
予想外の言葉に、私は息を飲んだ。 [75:0.30s]
彼女は続けた。 [76:0.30s]
彼女が孤児院で育ったこと、夫がその施設の匿名の支援者だったこと、そして彼女が自立した後も、手紙を通じて精神的な支えになってくれていたこと。 [77:0.30s]
「私は親を知りません。 [78:0.30s]
でも、先生――ご主人は、私が道に迷いそうになった時、いつも手紙で灯りを照らしてくれました。 [79:0.30s]
恋心とか、そういうものではありません。 [80:0.30s]
ただ、守られているという絶対的な安心感がありました」 [81:0.25s]
彼女がバッグから取り出したのは、一枚の写真だった。 [82:0.30s]
若い頃の夫と、まだ幼い少女だった彼女が写っている。 [83:0.30s]
施設の中庭だろうか。 [84:0.30s]
夫は、カメラに向かって不器用な笑顔を見せていた。 [85:0.30s]
私がよく知っている、照れ屋の夫の顔だ。 [86:0.30s]
その写真に触れた瞬間、紙を通して夫の温度が伝わってきた気がした。 [87:0.30s]
「先生の手の温度が好きでした。 [88:0.30s]
厳しいことをおっしゃる時も、頭を撫でてくれる掌だけは、いつも温かかったんです」 [89:0.25s]
彼女の目から、涙がこぼれ落ちた。 [90:0.30s]
彼女の言葉を聞いているうちに、私の胸の中で燃えていた嫉妬の炎が、別の温度へとほどけていくのを感じた。 [91:0.30s]
夫は浮気をしていたわけではなかった。 [92:0.30s]
ただ、溢れ出る愛情を、私だけでなく、孤独な少女にも分け与えていただけだったのだ。 [93:0.30s]
夫の不器用な優しさが、胸に染みた。 [94:0.30s]
なぜ、私に話してくれなかったのだろう。 [95:0.30s]
きっと、照れくさかったのだ。 [96:0.30s]
あるいは、私のことを心配させまいとしたのか。 [97:0.30s]
「二つの炎じゃなく、一つの大きな灯りを、二人で分け合っていたのね……」 [98:0.25s]
私が呟くと、彼女は涙ぐみながら静かに頷いた。 [99:0.30s]
「すみません、奥様を傷つけてしまって」 [100:0.25s]
「いいえ、謝らないで。 [101:0.30s]
夫の優しさを、証明してくれてありがとう」 [102:0.25s]
その夜、自宅に戻り、改めて夫の手紙を広げた。 [103:0.30s]
インクの匂い、紙のざらつき、そして夫の筆跡。 [104:0.30s]
それらを深く吸い込む。 [105:0.30s]
そこには、私が愛した夫の心が詰まっていた。 [106:0.30s]
「あなたの火を、私も少し分けようかしら」 [107:0.25s]
遺影に向かってそう囁くと、ガラス越しの夫が、いつもより優しく微笑んだ気がした。 [108:0.30s]
「水臭い人ね」 [109:0.25s]
写真の夫に文句を言いながら、私は涙を拭った。 [110:0.30s]
翌朝、香織さんからメールが届いた。 [111:0.30s]
「私が働いている施設で、読み聞かせをしています。 [112:0.30s]
もしよろしければ、昼間に見にいらっしゃいませんか？ [113:0.30s]
」 [114:0.25s]
私はクローゼットから一番明るい色のストールを選び、昨日よりも少し濃い口紅を塗った。 [115:0.30s]
夫が愛した「娘」の姿を見に行こう。 [116:0.30s]
施設の廊下は、画用紙やクレヨンの匂い、そして子供たちの笑い声で満ちていた。 [117:0.30s]
部屋に入ると、香織さんが子供たちに囲まれて絵本を読んでいた。 [118:0.30s]
「むかしむかし、あるところに……」 [119:0.25s]
彼女の朗読に合わせてページがめくられ、部屋の空気が柔らかく揺れる。 [120:0.30s]
彼女の声は、夫が私に語りかけてくれた時の声と、どこか似ていた。 [121:0.30s]
優しくて、温かい。 [122:0.30s]
その光景を見ていると、夫がここで何を大切にしていたのかが、痛いほど分かった。 [123:0.30s]
一人の女の子が私に近づき、小さな手で私の指を握った。 [124:0.30s]
「おばあちゃん、来てくれてありがとう」 [125:0.25s]
その小さな手の温もりが、皮膚の内側まで沁み渡るようだった。 [126:0.30s]
夫も、こうして子供たちの手を握っていたのだろうか。 [127:0.30s]
庭に出て、冬の柔らかな日差しを浴びながら、香織さんと並んで歩いた。 [128:0.30s]
「ご主人は、決して踏み込みすぎず、温度だけを届けてくれましたね」 [129:0.25s]
彼女が空を見上げて言う。 [130:0.30s]
「ええ。 [131:0.30s]
私には嫉妬でしか見えなかったけれど、今は少し甘い匂いに変わったわ」 [132:0.25s]
私は冬の澄んだ空気を胸いっぱいに吸い込み、長く吐き出した。 [133:0.30s]
胸の中にあった小さな灯りが、また別の形に揺れ、温かさを増していく。 [134:0.30s]
夫はもういないけれど、夫が蒔いた種は、こうして花開いている。 [135:0.30s]
帰り道、ショーウィンドウのガラスに映る自分の顔を見た。 [136:0.30s]
頬には紅が差し、目元には生き生きとした艶がある。 [137:0.30s]
数日前までの、嫉妬に狂いそうだった刺々しさは消え、しっとりとした光沢に変わっていた。 [138:0.30s]
「独り占めする愛もあれば、分け合うことで深まる愛もあるのね。 [139:0.30s]
どちらも、心を通って温度になる」 [140:0.25s]
喉の奥がじんわりと温かくなるのを感じた。 [141:0.30s]
その夜、ハーブティーを淹れ、その蒸気に顔を近づけた。 [142:0.30s]
「今日、どの一歩を踏み出す？ [143:0.30s]
」 [144:0.25s]
鏡の前で自分に問いかけ、微笑みを一つ足す。 [145:0.30s]
嫉妬の名残が、艶やかな余韻となって心に溶けていく。 [146:0.30s]
遺影の夫に向かって、私は小さくウインクをした。 [147:0.30s]
「あなたの火、確かに受け取ったわ。 [148:0.30s]
今度は私が、誰かの頬を温める番ね」 [149:0.25s]
そう囁き、静かに目を閉じた。 [150:0.30s]
私の第二の人生は、夫が遺してくれた愛の残り火で、よりいっそう輝きを増していく気がした。 [151:0.30s]
夫と、私と、香織さん。 [152:0.30s]
見えない糸で結ばれた私たちは、それぞれの場所で、温かい火を灯し続けていくのだろう。 [153:0.30s]
