豪華客船のメインボールルーム。 [1:0.30s]
天井を埋め尽くすクリスタルのシャンデリアが、煌びやかな光の雨を降らせている。 [2:0.30s]
生バンドが奏でる優雅なワルツの調べ。 [3:0.30s]
コントラバスの重低音と、バイオリンの繊細な旋律が重なり合い、広い空間を満たしていた。 [4:0.30s]
シルクやベルベットのドレスを纏った女性たちと、黒いタキシードで決めた男性たちが、滑るようにフロアを回っている。 [5:0.30s]
グラスが触れ合う軽やかな音、さざめくような笑い声、そして甘く濃厚な香水の香り。 [6:0.30s]
そこは、日常の憂鬱や老いの孤独から切り離された、夢の世界だった。 [7:0.30s]
けれど、私は壁際の柱の影に立ち、ただその光景を眺めていた。 [8:0.30s]
田中美和子、七十二歳。 [9:0.30s]
夫を見送って七年。 [10:0.30s]
「いつか定年したら、二人で世界一周クルーズに行こう」 [11:0.25s]
そう言って旅行パンフレットを眺めていた夫との約束を果たすため、思い切って一人でこのクルーズに参加した。 [12:0.30s]
市民大学で心理学を学び直し、自分の心と向き合う術を身につけたつもりだった。 [13:0.30s]
喪失感は乗り越えたと思っていた。 [14:0.30s]
しかし、いざこの煌びやかな非日常の空間に放り出されると、やはり孤独感が胸をかすめる。 [15:0.30s]
夫がいれば、私だってあの輪の中で、下手なステップを踏んで笑っていたかもしれない。 [16:0.30s]
グラスの中のシャンパンの泡が、弾けては消えていく。 [17:0.30s]
私の時間だけが、止まっているようだった。 [18:0.30s]
「一曲、いかがです？ [19:0.30s]
」 [20:0.25s]
不意に、横から声がかかった。 [21:0.30s]
低く、少ししゃがれた声。 [22:0.30s]
振り返ると、制服姿の初老の男性が立っていた。 [23:0.30s]
しかし、その制服はデッキオフィサーの真っ白でパリッとしたそれではなく、少し油の匂いが染み付いたような、濃紺の作業着に近いものだった。 [24:0.30s]
襟元は少し擦り切れている。 [25:0.30s]
肩には微かな油のシミ。 [26:0.30s]
そして何より、差し出されたその手には、洗っても落ちきらない黒ずみが、指の皺や爪の間に深く入り込んで残っている。 [27:0.30s]
木戸正治、七十歳。 [28:0.30s]
この船の機関士だという。 [29:0.30s]
「え、私ですか？ [30:0.30s]
でも、私はダンスなんて……それに、あなたのその手……」 [31:0.25s]
私が視線を落とすと、彼は自嘲気味に笑い、その手を背中に隠そうとした。 [32:0.30s]
「汚い手でしょう？ [33:0.30s]
油と海風の匂いが染み付いて、いくら洗っても落ちないんです。 [34:0.30s]
こんな煌びやかな場所にはふさわしくない」 [35:0.25s]
彼は少し寂しそうな目をして、シャンデリアを見上げた。 [36:0.30s]
「でもね、この手で船の心臓を動かしているんです。 [37:0.30s]
エンジンの機嫌を取り、ボイラーの熱を管理し、何千人もの命を運んでいる。 [38:0.30s]
船の鼓動はわかりますが、人の心はまだ勉強中でしてね。 [39:0.30s]
だから、あなたのような素敵な方がなぜ一人で壁の花になっているのか、知りたくて声をかけました」 [40:0.25s]
その言葉に、胸の奥が震えた。 [41:0.30s]
彼の無骨な手が、急に愛おしく見えた。 [42:0.30s]
亡き夫も、技術者だった。 [43:0.30s]
いつも爪の間を黒くして帰ってきた。 [44:0.30s]
その手が、私達の生活を支えてくれていたのだ。 [45:0.30s]
「汚くなんてありません。 [46:0.30s]
働く人の、立派な手です。 [47:0.30s]
私の夫も、現場で働く人でしたから。 [48:0.30s]
その手の温かさを、私はよく知っています」 [49:0.25s]
私がそう答えると、彼は驚いたように目を丸くし、それから顔をくしゃくしゃにして笑った。 [50:0.30s]
目尻の笑い皺が、深く刻まれる。 [51:0.30s]
「ありがとうございます。 [52:0.30s]
じゃあ、この無骨な手でよければ、リードさせてください」 [53:0.25s]
彼の手が私の腰に添えられる。 [54:0.30s]
ドレスの薄いシルクの布越しに、掌の熱さと、微かな機械油の匂いが伝わってきた。 [55:0.30s]
それは、この煌びやかな会場に漂う高級なコロンとは違う、けれど確かに生きている人間の、血の通った匂いだった。 [56:0.30s]
鉄と、油と、潮風の匂い。 [57:0.30s]
「油っぽくてごめん」 [58:0.25s]
「いいえ。 [59:0.30s]
その手、鉄を鳴かせるんでしょう？ [60:0.30s]
」 [61:0.25s]
「ええ。 [62:0.30s]
