夜のエレベーターに乗り込み、ボタンを押そうとした時だった。 [1:0.30s]
「待ってください」 [2:0.25s]
背後から低い声が響き、扉が閉まりかけた隙間から革靴が滑り込んできた。 [3:0.30s]
「すみません、助かりました」 [4:0.25s]
入ってきたのは、仕立ての良いスーツを着た初老の男性だった。 [5:0.30s]
佐伯俊、六十八歳。 [6:0.30s]
最近、上の階に引っ越してきた住人だということは、管理人さんから聞いていた。 [7:0.30s]
「いえ、構いませんよ」 [8:0.25s]
私が微笑むと、彼も軽く会釈をした。 [9:0.30s]
その瞬間、狭い箱の中に、どこか懐かしい、スモーキーで甘い香りが漂った。 [10:0.30s]
サンダルウッドと、微かなムスク。 [11:0.30s]
そしてシトラスのトップノートが鼻をくすぐる。 [12:0.30s]
それは、かつて私が憧れた映画俳優がつけていたような、洗練された大人の男の香りだった。 [13:0.30s]
扉が閉まる。 [14:0.30s]
密閉された空間で、二人きりの数秒間。 [15:0.30s]
彼が動くたびに、その香水が私の鼻孔をくすぐる。 [16:0.30s]
空気が振動するたびに、香りの粒子が舞うようだ。 [17:0.30s]
「いい香りですね」 [18:0.25s]
思わず口に出してしまうと、彼は驚いたように振り返り、目尻を下げた。 [19:0.30s]
「ありがとうございます。 [20:0.30s]
旅先で買ったんですが、あなたのような上品な方に褒められると嬉しいですね」 [21:0.25s]
「私なんて……。 [22:0.30s]
夫を亡くしてからは、地味に暮らしているだけですから」 [23:0.25s]
謙遜すると、彼は静かに言った。 [24:0.30s]
「学び続けている人の顔は分かりますよ。 [25:0.30s]
雰囲気に艶がありますから。 [26:0.30s]
市民大学のテキスト、お持ちでしょう？ [27:0.30s]
」 [28:0.25s]
ドキリとした。 [29:0.30s]
抱えていたテキストを見られたのだろうか。 [30:0.30s]
それとも、私の顔にそんな色が滲んでいたのだろうか。 [31:0.30s]
「……よく、気がつかれますね」 [32:0.25s]
「香りを扱う仕事をしていたもので、観察するのが癖なんです」 [33:0.25s]
到着階のランプが点灯し、扉が開く。 [34:0.30s]
「では、失礼します」 [35:0.25s]
彼が降りる際、残り香と共に、私の胸の奥に小さな火種が落ちた。 [36:0.30s]
翌朝、郵便受けを確認すると、小さなメモが入っていた。 [37:0.30s]
『昨夜は失礼しました。 [38:0.30s]
香水の匂い、うるさくなかったでしょうか。 [39:0.30s]
佐伯』 [40:0.25s]
上質な和紙のような紙には、昨夜と同じ香りが滲んでいた。 [41:0.30s]
指でなぞると、匂いが指先に移る。 [42:0.30s]
それを鼻に近づけると、胸の鼓動が一拍速くなった。 [43:0.30s]
文字にまで香りを纏わせるなんて、なんてキザな人だろう。 [44:0.30s]
でも、嫌ではない。 [45:0.30s]
むしろ、その心遣いにときめいてしまう自分がいた。 [46:0.30s]
数日後、再びエレベーターで一緒になった。 [47:0.30s]
「香水、昔のレコードみたいに深みがありますね」 [48:0.25s]
私が言うと、彼は嬉しそうに微笑んだ。 [49:0.30s]
「実は、妻が好きだった香りなんです。 [50:0.30s]
亡くなってからも手放せなくて」 [51:0.25s]
「まあ……」 [52:0.25s]
「でも最近、少し変えようかと思っているんです。 [53:0.30s]
新しい季節には、新しい香りが似合う気がして」 [54:0.25s]
彼は意味深な視線を私に向けた。 [55:0.30s]
「あなたには、どんな香りが似合うでしょうか」 [56:0.25s]
狭い箱の中、香りと声が絡み合い、空気が密度を増していく。 [57:0.30s]
「……私には、石鹸の香りが精一杯ですわ」 [58:0.25s]
「いいえ。 [59:0.30s]
もっと複雑で、奥行きのある香りが似合うはずだ。 [60:0.30s]
例えば、雨上がりの庭のような」 [61:0.25s]
