一年に一度、決まった日の決まった時間に、その場所へ行く。 [1:0.30s]
それは私にとって、自分の健康を確かめるだけでなく、心の健康を確かめるための大切な儀式になっていた。 [2:0.30s]
季節は巡り、冬の寒さが和らぎ始めた頃。 [3:0.30s]
街路樹の蕾が少しずつ膨らみ、春の予感を漂わせている。 [4:0.30s]
田中美和子、六十七歳。 [5:0.30s]
夫を見送って七年。 [6:0.30s]
市民大学で心理学を学びながら、穏やかな日々を送っている。 [7:0.30s]
私が向かうのは、市の総合病院の健診センター。 [8:0.30s]
人間ドックの待合室だ。 [9:0.30s]
白い壁、消毒液のツンとする匂い、空調の低い音。 [10:0.30s]
名前を呼ぶ看護師の事務的な声。 [11:0.30s]
無機質で、少し緊張を強いる空間。 [12:0.30s]
検査着に着替えた人々が、不安そうな顔で雑誌をめくったり、テレビを眺めたりしている。 [13:0.30s]
けれど、私にはここに来るのを、まるで遠足の前日の子供のように楽しみにしている理由があった。 [14:0.30s]
「やあ、今年も会いましたね」 [15:0.25s]
「ええ、佐々木さん。 [16:0.30s]
お元気そうですね」 [17:0.25s]
待合室のいつもの席、私の隣には決まって佐々木誠一さんが座っている。 [18:0.30s]
彼も私と同じ日に予約を入れているのだ。 [19:0.30s]
もう三年目になる。 [20:0.30s]
「元気なわけないでしょう、ここに来ているんだから。 [21:0.30s]
どこかガタが来ているんじゃないかと、ヒヤヒヤしていますよ」 [22:0.25s]
彼はそう言って、目尻の笑い皺を深くする。 [23:0.30s]
検査着の袖から覗く腕は、年相応に細いが、どこか品があった。 [24:0.30s]
私たちは、血圧測定の待ち時間や、バリウム検査の憂鬱さを共有しながら、当たり障りのない、けれど温かい会話を交わすのが常だった。 [25:0.30s]
「血圧、少し高かったですか？ [26:0.30s]
」 [27:0.25s]
「ええ、あなたに会ったからかもしれません」 [28:0.25s]
そんな冗談を言い合える関係。 [29:0.30s]
「また来年、元気で会いましょう」 [30:0.25s]
そう言って別れるのが、私たちの約束だった。 [31:0.30s]
一年に一度だけの、織姫と彦星のような関係。 [32:0.30s]
連絡先も交換せず、ただこの日だけを待ちわびる。 [33:0.30s]
それが、私たちの程よい距離感だった。 [34:0.30s]
しかし、四年目の朝。 [35:0.30s]
私はいつもの席に座り、自動ドアが開くたびに入り口を確認していた。 [36:0.30s]
呼び出し番号が進んでいく。 [37:0.30s]
私の番号が近づいてくる。 [38:0.30s]
けれど、佐々木さんの姿はない。 [39:0.30s]
時計の針が進むにつれ、胸のざわめきが大きくなっていく。 [40:0.30s]
彼は時間を守る人だ。 [41:0.30s]
遅れるはずがない。 [42:0.30s]
もしかして、日付を間違えたのだろうか。 [43:0.30s]
それとも、もっと悪いことが……。 [44:0.30s]
「田中さん、田中美和子さん」 [45:0.25s]
名前を呼ばれ、私は立ち上がった。 [46:0.30s]
検査を受けながらも、心は上の空だった。 [47:0.30s]
視力検査のランドルト環がぼやけて見える。 [48:0.30s]
聴力検査の音が遠く感じる。 [49:0.30s]
もしや、何かあったのではないか。 [50:0.30s]
悪い予感が頭をよぎり、胃カメラの不快感など忘れてしまっていた。 [51:0.30s]
全ての検査を終え、更衣室で服を着替えた後、私は受付に向かった。 [52:0.30s]
結果票を受け取る手が冷たい。 [53:0.30s]
