夏の朝、市民農園の湿った土の匂いが立ち込める中、私はトマトの苗と格闘していた。 [1:0.30s]
前日に降った雨で、土は重く湿っている。 [2:0.30s]
長靴が沈み込む感触。 [3:0.30s]
私は額の汗を手の甲で拭った。 [4:0.30s]
田中美和子、六十七歳。 [5:0.30s]
夫を亡くして七年。 [6:0.30s]
広い家に一人でいると、静寂が耳に痛い。 [7:0.30s]
テレビをつけても、誰もいない空間に音が吸い込まれていくだけ。 [8:0.30s]
そんな虚しさを埋めるために、定年退職後にこの市民農園を借りた。 [9:0.30s]
土いじりは無心になれる。 [10:0.30s]
植物は、手をかけた分だけ応えてくれる。 [11:0.30s]
裏切らない。 [12:0.30s]
でも、初心者には分からないことだらけだった。 [13:0.30s]
「その結びじゃ、風が吹いたら一発で倒れるぞ」 [14:0.25s]
背後から投げかけられた低い声に、びくりとして振り返る。 [15:0.30s]
そこに立っていたのは、隣の区画を使っている黒田恒雄さん、七十二歳。 [16:0.30s]
元農協の職員だったという彼は、いつも完璧な畑を作り上げている名人だ。 [17:0.30s]
麦わら帽子の下、日焼けした顔に汗が光っている。 [18:0.30s]
首にかけたタオルは泥で薄汚れているが、それがまた仕事人の勲章のように見えた。 [19:0.30s]
「すみません、本を見よう見まねでやっているもので……」 [20:0.25s]
「本なんか見たって、土の機嫌は分からんよ。 [21:0.30s]
植物は生き物だ。 [22:0.30s]
顔色を見てやらなきゃ」 [23:0.25s]
彼はぶっきらぼうに言うと、私の手から麻紐を取り上げた。 [24:0.30s]
「見てろ。 [25:0.30s]
こうやって八の字に結ぶんだ。 [26:0.30s]
茎を締め付けすぎず、でも支柱にはしっかり固定する。 [27:0.30s]
余裕を持たせるのがコツだ」 [28:0.25s]
彼の手つきは魔法のように早かった。 [29:0.30s]
ゴツゴツとした節くれだった指が、繊細に紐を操る。 [30:0.30s]
その指先からは、土と草いきれの濃い匂いがした。 [31:0.30s]
「……命令口調は嫌いですか？ [32:0.30s]
」作業を終えた彼が、不意に私を見た。 [33:0.30s]
「ええ、少し。 [34:0.30s]
お願いしてくださったら、聞きますけれど」 [35:0.25s]
私が精一杯の強がりを言うと、彼はバツが悪そうに視線を逸らした。 [36:0.30s]
「……お願いする。 [37:0.30s]
結び直してくれ。 [38:0.30s]
せっかくの苗が可哀想だ」 [39:0.25s]
