冬の朝、まだ明けきらない薄暗い町を、二人の足音が踏みしめる。 [1:0.30s]
防災倉庫の前の霜柱を、同時に踏み砕いた音が響く。 [2:0.30s]
ザクッ、という乾いた音。 [3:0.30s]
白い息が、二人の間で絡み合って消えていく。 [4:0.30s]
空はまだ藍色で、街灯の明かりが頼りなく揺れている。 [5:0.30s]
「歩幅、合わせましょうか」 [6:0.25s]
低く、落ち着いた声が落ちてくる。 [7:0.30s]
田中美和子、六十七歳。 [8:0.30s]
夫を見送って七年。 [9:0.30s]
地域活動の一環として参加している自主防災会の朝の見回りだ。 [10:0.30s]
寒さが身にしみるが、この静けさは嫌いではなかった。 [11:0.30s]
隣を歩くのは、元消防署長の坂本浩二さん、七十五歳。 [12:0.30s]
背筋がピンと伸び、白髪の短髪が潔い。 [13:0.30s]
現役時代を彷彿とさせる鋭い眼光だが、私に向ける視線はいつも柔らかい。 [14:0.30s]
紺色のジャンパーが、彼の誠実さを表しているようだった。 [15:0.30s]
「ええ、お願いします」 [16:0.25s]
私が答えると、彼は少し歩くスピードを緩めてくれた。 [17:0.30s]
肩の位置が揃う。 [18:0.30s]
「頼るって、こういう音かもしれませんね」 [19:0.25s]
私が呟くと、坂本さんは静かに頷いた。 [20:0.30s]
「足音が揃うと、安心する。 [21:0.30s]
現場でもそうでした。 [22:0.30s]
バディの足音が聞こえる限り、自分は一人じゃないと思えた。 [23:0.30s]
暗闇の中でも、煙の中でも」 [24:0.25s]
「今は、私があなたのバディですね」 [25:0.25s]
「ええ。 [26:0.30s]
頼りになるバディです」 [27:0.25s]
彼の言葉に、胸が熱くなる。 [28:0.30s]
寒さなんて忘れてしまいそうだ。 [29:0.30s]
翌日、私たちは公園の木道を歩いていた。 [30:0.30s]
古い板が軋む音が、二人の距離を教えてくれる。 [31:0.30s]
少し離れれば音がズレ、近づけば重なる。 [32:0.30s]
「この音、好きです」彼が言った。 [33:0.30s]
「後ろを見なくても、あなたがどのくらい近くにいるか、音でわかるから」 [34:0.25s]
「近づいたり離れたり……まるでダンスですね」 [35:0.25s]
「ダンスは苦手ですが、このリズムなら悪くない。 [36:0.30s]
心臓の音に似ている」 [37:0.25s]
触れ合うことはない。 [38:0.30s]
けれど、靴音だけが私の腕の内側を撫でられているような感覚。 [39:0.30s]
言葉よりも雄弁な音が、二人の間に流れていた。 [40:0.30s]
ベンチに座り、地域の防災マップを広げた。 [41:0.30s]
彼の人差し指が、地図上の道をなぞる。 [42:0.30s]
「昨日はここを歩いたね。 [43:0.30s]
明日は、こっちの裏道を確認しよう。 [44:0.30s]
あそこは古い家が多いから、火の用心が必要だ」 [45:0.25s]
「ええ、あそこの角のお家、もう誰も住んでいないんでしたっけ」 [46:0.25s]
「そうだ。 [47:0.30s]
空き家は放火されやすい」 [48:0.25s]
私も自分の指で、同じ道をなぞる。 [49:0.30s]
「はい、この角を曲がって……」 [50:0.25s]
私の指が彼の手の甲に触れそうになり、一瞬止まる。 [51:0.30s]
紙を滑る指の音が、カサリと艶めいて聞こえた。 [52:0.30s]
紙の匂いと、冬の乾いた空気、そして彼から漂う微かな革手袋の匂いが混ざり合う。 [53:0.30s]
胸の奥が、カイロを貼ったようにじんわりと温まった。 [54:0.30s]
「……指、冷たいですね」 [55:0.25s]
