雨上がりの路地裏。 [1:0.30s]
水たまりにネオンの光が反射し、まるで宝石箱をひっくり返したように輝いている。 [2:0.30s]
私はヒールの泥を気にしながら、その光の上を歩いていた。 [3:0.30s]
行き先は、スナック「紫苑」。 [4:0.30s]
重い木の扉を開けると、カランコロンとドアベルが鳴り、紫色の照明とタバコの煙、そして少し古びたベルベットの匂いが私を包み込んだ。 [5:0.30s]
昭和の残り香が漂う、懐かしい空間。 [6:0.30s]
カウンターの奥には、常連客のボトルがずらりと並んでいる。 [7:0.30s]
それぞれのボトルに、人生の物語が詰まっているのだろう。 [8:0.30s]
「いらっしゃい、美和子さん。 [9:0.30s]
雨、大丈夫だった？ [10:0.30s]
」 [11:0.25s]
カウンターの中でグラスを磨いていたママが、いつもの明るい声で迎えてくれた。 [12:0.30s]
「ええ、小降りになったわ」 [13:0.25s]
私は軽く手を挙げ、いつものカウンター席、一番奥のボックスに近い場所に座った。 [14:0.30s]
ここが私の指定席だ。 [15:0.30s]
田中美和子、六十七歳。 [16:0.30s]
夫を見送って七年。 [17:0.30s]
昼間は市民大学で心理学を学ぶ真面目な学生だが、夜は週に一度、ここで歌うことが誰にも言えない秘密の楽しみになっていた。 [18:0.30s]
亡き夫は音痴で、カラオケなど一緒に行ったこともなかった。 [19:0.30s]
だからこそ、歌うことは私にとって、夫を知らない「新しい私」に出会う時間でもあった。 [20:0.30s]
グラスの氷がカランと音を立てる。 [21:0.30s]
水割りの表面が、店内のミラーボールの光を反射して揺れている。 [22:0.30s]
指でその縁をなぞりながら、私はステージの方を見た。 [23:0.30s]
そこには、常連の杉本真治さん（七十一歳）が立っていた。 [24:0.30s]
離婚して十年になるという彼は、背が高く、少し憂いを帯びた瞳をしている。 [25:0.30s]
白髪交じりの髪をオールバックにし、仕立ての良いジャケットを着こなす姿は、往年の映画スターのようだ。 [26:0.30s]
彼がマイクを握り、低い声で歌い出す。 [27:0.30s]
曲は、フランク・永井の『有楽町で逢いましょう』。 [28:0.30s]
その声は、店の空気を震わせ、聴く者の胸の奥に直接響いてくるような深みがあった。 [29:0.30s]
ただ上手いだけではない。 [30:0.30s]
人生の酸いも甘いも噛み分けた男だけが出せる、哀愁と艶。 [31:0.30s]
他の客たちも、静かに彼の歌声に耳を傾けている。 [32:0.30s]
誰もが、自分の過去を重ね合わせているのだろう。 [33:0.30s]
歌い終えた彼が、私の隣に戻ってきた。 [34:0.30s]
「お疲れ様。 [35:0.30s]
今日もいい声だったわ。 [36:0.30s]
心に沁みた」 [37:0.25s]
「いやいや、まだまだだ。 [38:0.30s]
息が続かない。 [39:0.30s]
昔はもっと声量があったんだがな」 [40:0.25s]
彼は照れくさそうに笑い、自分のグラスを手に取った。 [41:0.30s]
「美和子さんは？ [42:0.30s]
今日は何を歌うんだい？ [43:0.30s]
」 [44:0.25s]
「私は……今日は聴いているだけでいいわ。 [45:0.30s]
あなたの歌を聴くと、なんだか満足してしまって」 [46:0.25s]
「駄目だよ。 [47:0.30s]
君の歌を聴かないと、僕の一週間が終わらない」 [48:0.25s]
彼は真剣な眼差しで私を見た。 [49:0.30s]
その瞳に吸い込まれそうになる。 [50:0.30s]
「……じゃあ、一曲だけ」 [51:0.25s]
イントロが流れる。 [52:0.30s]
『銀座の恋の物語』。 [53:0.30s]
定番のデュエット曲だ。 [54:0.30s]
杉本さんがマイクを二本持ち、一本を私に差し出した。 [55:0.30s]
「一緒に、どうかな。 [56:0.30s]
僕のパートナーになってくれませんか」 [57:0.25s]
「……ええ、喜んで」 [58:0.25s]
私はグラスを置き、ゆっくりとステージへ向かう。 [59:0.30s]
ヒールの音が、カーペットに吸い込まれる。 [60:0.30s]
心臓が高鳴る。 [61:0.30s]
スポットライトが二人を照らす。 [62:0.30s]
眩しさに目を細めながら、私はマイクを握った。 [63:0.30s]
マイクの金属部分が、掌の汗で少し滑る。 [64:0.30s]
杉本さんの低音に、私の声を重ねる。 [65:0.30s]
