冬の澄んだ空気が張り詰めるペット霊園。 [1:0.30s]
枯れ木の間から差し込む弱い光が、無数に並ぶ小さな石碑を照らしている。 [2:0.30s]
風が吹くたびに、供えられた花がカサカサと音を立てる。 [3:0.30s]
私はベンチに座り、愛犬「ポチ」の名前が刻まれた冷たい石を撫でていた。 [4:0.30s]
田中美和子、六十七歳。 [5:0.30s]
夫を見送って七年。 [6:0.30s]
その夫が遺してくれた愛犬も、先日天国へと旅立った。 [7:0.30s]
十七年という長い時間を共にした家族。 [8:0.30s]
夫を亡くした時、私はポチの温もりに救われた。 [9:0.30s]
ポチがいたから、朝起きることができたし、散歩に出ることもできた。 [10:0.30s]
その最後の砦が崩れ落ちた喪失感は、夫を亡くした時とはまた違う、鋭い痛みとなって胸に突き刺さっていた。 [11:0.30s]
石のざらりとした感触が指に伝わる。 [12:0.30s]
冷たい。 [13:0.30s]
生きている時の、あの温かくて柔らかい毛並みは、もうどこにもない。 [14:0.30s]
喉の奥が鳴り、涙が溢れそうになった時、視界の端に黒いスーツの男性が入ってきた。 [15:0.30s]
彼は少し離れた墓石の前で、猫の写真が入った額縁を胸に抱き、立ち尽くしていた。 [16:0.30s]
その背中があまりにも小さく、悲しげに見えたので、私は思わず声をかけてしまった。 [17:0.30s]
「……いつ、ですか？ [18:0.30s]
」 [19:0.25s]
彼は驚いたように振り返った。 [20:0.30s]
村上聡、七十歳。 [21:0.30s]
真面目そうな眼鏡の奥の瞳が、赤く腫れていた。 [22:0.30s]
「……昨日です。 [23:0.30s]
十九年、生きました」 [24:0.25s]
静かで、掠れた声だった。 [25:0.30s]
まるで、喉の奥に砂が詰まっているかのような。 [26:0.30s]
「うちは、十七年です。 [27:0.30s]
先週、逝きました」 [28:0.25s]
数字が重なる。 [29:0.30s]
冷たい空気に、小さな共感の熱が生まれた瞬間だった。 [30:0.30s]
彼はポケットから名刺を取り出し、震える手で差し出した。 [31:0.30s]
「司法書士をしています。 [32:0.30s]
仕事柄、遺産相続だの、終わりの書類ばかり扱ってきました。 [33:0.30s]
人の死には慣れているつもりでした。 [34:0.30s]
でも……自分の猫の終わりには、何もできなかった」 [35:0.25s]
名刺を受け取ると、紙の硬さと共に、他的指の温度が伝わってきた。 [36:0.30s]
「田中美和子です。 [37:0.30s]
私は……夫を見送ってからは、犬に頼りきりでした。 [38:0.30s]
あの子が私の支えでした。 [39:0.30s]
夫の生まれ変わりなんじゃないかって、本気で思っていたくらい」 [40:0.25s]
私の言葉に、村上さんの瞳から涙がこぼれ落ちた。 [41:0.30s]
冬の陽射しを浴びて、その涙がキラリと艶を帯びて光る。 [42:0.30s]
「猫は……法的には『物』なんですよね」彼がポツリと言った。 [43:0.30s]
「器物損壊、なんて言葉があるくらいだ。 [44:0.30s]
でも、心では家族だ。 [45:0.30s]
いや、それ以上かもしれない。 [46:0.30s]
言葉が通じない分、心で繋がっていた」 [47:0.25s]
「ええ。 [48:0.30s]
名前を呼ぶ人がいる限り、あの子たちは心の中で生き続けます」 [49:0.25s]
私たちは並んで花立ての水面を眺めた。 [50:0.30s]
水面に映る冬の空は、どこまでも高く、青かった。 [51:0.30s]
「写真を、嫁に行った娘に渡すべきか迷っているんです」 [52:0.25s]
彼が額縁を撫でながら言った。 [53:0.30s]
中には、三毛猫が日向ぼっこをしている写真が入っている。 [54:0.30s]
「娘にとっても大切な猫でしたが、今の生活の邪魔になるんじゃないかと。 [55:0.30s]
孫も生まれたばかりですし、死の気配を持ち込むのは……」 [56:0.25s]
「渡すのも、抱きしめるのも、両方していいと思いますよ」 [57:0.25s]
私は自然と言葉を紡いでいた。 [58:0.30s]
「形に残すことで、救われることもありますから。 [59:0.30s]
お孫さんにも、命の大切さを伝えるきっかけになるかもしれません」 [60:0.25s]
「……そうですか。 [61:0.30s]
形に残す……。 [62:0.30s]
そうですね、隠すことじゃない」 [63:0.25s]
彼は少し考え込み、そして小さく頷いた。 [64:0.30s]
彼の低い声が、石碑の冷たさを少しだけ柔らかくしていくような気がした。 [65:0.30s]
別の日、霊園で再会した村上さんが、小さな鈴を取り出した。 [66:0.30s]
「これ、あの子がつけていた首輪の鈴です。 [67:0.30s]
音がすると、まだそこにいるような気がして……寂しさが和らぐんです」 [68:0.25s]
チリン、と涼やかな音が響く。 [69:0.30s]
その音色は、寂寥とした霊園の空気を震わせた。 [70:0.30s]
「もしよかったら、あなたもどうですか？ [71:0.30s]
同じものを二つ買ったんです。 [72:0.30s]
