ガタン、ゴトン。 [1:0.30s]
ローカル線の古びた車両が、心地よいリズムを刻んで走っている。 [2:0.30s]
窓枠に肘をつき、流れる景色を眺めながら、私は独り言のように呟いた。 [3:0.30s]
「電車の揺れ、昔より優しくなった気がしますね」 [4:0.25s]
田中美和子、六十七歳。 [5:0.30s]
夫を見送って七年。 [6:0.30s]
市民大学で心理学を学び直し、その卒業旅行の下見として、今日は一人でローカル線の旅に来ていた。 [7:0.30s]
車内は空いている。 [8:0.30s]
ボックス席には私一人。 [9:0.30s]
窓の外には、黄金色に実った稲穂が波打つ田園風景が広がっている。 [10:0.30s]
遠くの山々は、薄紫色の霞に包まれていた。 [11:0.30s]
「僕も、この揺れが好きでね。 [12:0.30s]
よく乗りに来るんです」 [13:0.25s]
通路を挟んだ隣の席の男性が、読んでいた文庫本を閉じて微笑んだ。 [14:0.30s]
戸塚修、七十四歳。 [15:0.30s]
元鉄道整備士だという彼は、グレーのハンチング帽がよく似合う、穏やかな紳士だった。 [16:0.30s]
手には、読み込まれて表紙が擦り切れた鉄道のエッセイ本。 [17:0.30s]
「今の車両は空気バネの性能がいいからね。 [18:0.30s]
でも、この路線はまだ古いレールを使っているから、独特のジョイント音がするんだ。 [19:0.30s]
タタン、タタンってね」 [20:0.25s]
彼の言葉には、鉄道への深い愛情が滲んでいた。 [21:0.30s]
シートの柔らかい感触に、彼から漂う微かな油と鉄の匂いが混ざり合う。 [22:0.30s]
それは不快なものではなく、どこか懐かしく、甘い匂いだった。 [23:0.30s]
「整備士さんだったんですね。 [24:0.30s]
だから、そんなに詳しい」 [25:0.25s]
「ええ。 [26:0.30s]
四十年、鉄の塊と格闘していました。 [27:0.30s]
油まみれになってね」 [28:0.25s]
彼は自分の手を見つめた。 [29:0.30s]
節くれだった、職人の手。 [30:0.30s]
爪の間には、染み込んだ油の痕跡が黒い線のように残っている。 [31:0.30s]
「素敵な手です。 [32:0.30s]
歴史が刻まれていますわ」 [33:0.25s]
私が言うと、彼は照れくさそうに帽子を直した。 [34:0.30s]
「この先、車両基地が見えるポイントがあるんです。 [35:0.30s]
見てみますか？ [36:0.30s]
」 [37:0.25s]
彼が窓の外を指差した。 [38:0.30s]
私が身を乗り出すと、彼も少し身体を寄せた。 [39:0.30s]
「ほら、あそこ。 [40:0.30s]
カーブの向こう側」 [41:0.25s]
視線の先に、引退した古い車両たちが並んで休んでいるのが見えた。 [42:0.30s]
夕日に照らされた車体は、赤錆が浮いているが、かつての威厳を保っていた。 [43:0.30s]
「わあ……壮観ですね。 [44:0.30s]
まるで、眠っているみたい」 [45:0.25s]
「でしょう？ [46:0.30s]
彼らは戦友なんです。 [47:0.30s]
もう動かないけれど、魂はまだそこにある」 [48:0.25s]
「音も聞こえますよ。 [49:0.30s]
耳を澄ませて」 [50:0.25s]
彼が囁く。 [51:0.30s]
私は目を閉じて耳を澄ませた。 [52:0.30s]
ガタン、ガタン。 [53:0.30s]
レールの継ぎ目を越える音が、胸の奥に重なり、まるで自分の心臓の鼓動のように感じられた。 [54:0.30s]
「聞こえますか？ [55:0.30s]
あれは、彼らが現役時代に走っていた音の残響なんです」 [56:0.25s]
ロマンチックな言葉に、胸がときめく。 [57:0.30s]
小さな無人駅で途中下車した。 [58:0.30s]
ホームには誰もいない。 [59:0.30s]
古びた木造の駅舎。 [60:0.30s]
ペンキが剥げかけたベンチ。 [61:0.30s]
夕方の風が、私のブラウスの袖をくすぐる。 [62:0.30s]
「このベンチ、僕が現役時代に最後に手入れしたやつなんです」 [63:0.25s]
彼は愛おしそうに、木製の古いベンチを撫でた。 [64:0.30s]
「もう三十年も経つのに、まだ現役で頑張っている。 [65:0.30s]
僕より長生きしそうだ」 [66:0.25s]
私も隣に座り、木の座面に手を触れた。 [67:0.30s]
ざらりとした木の感触。 [68:0.30s]
「……まだ、あなたの手の温度が残っているみたいですね」 [69:0.25s]
「ハハッ、まさか。 [70:0.30s]
木が僕の手を覚えているのかな」 [71:0.25s]
「きっとそうです。 [72:0.30s]
大切にされた記憶は、物にも残るんです」 [73:0.25s]
他愛ないやりとりの中に、静かな熱が灯るのを感じた。 [74:0.30s]
駅前の喫茶店に入ると、マスターが「おや、戸塚さん。 [75:0.30s]
いらっしゃい」と声をかけた。 [76:0.30s]
常連なのだろう。 [77:0.30s]
店内には、コーヒーの香りと共に、古木の香りが漂っていた。 [78:0.30s]
