猫カフェの扉を開けると、そこは別世界だった。 [1:0.30s]
外の喧騒が嘘のように静まり返り、柔らかなオルゴールの音色と、コーヒーの香り、そして微かな動物の匂いが漂っている。 [2:0.30s]
足元のカーペットはふかふかで、靴を脱いで上がると、足裏からリラックスしていくのを感じた。 [3:0.30s]
ガラス越しに眠る子猫の姿から、目が離せなかった。 [4:0.30s]
小さな胸が規則正しく上下している。 [5:0.30s]
その無防備な寝顔を見ているだけで、心が解けていくようだった。 [6:0.30s]
「ここ、触ってみます？ [7:0.30s]
」 [8:0.25s]
不意に、横から白い手袋が差し出された。 [9:0.30s]
振り返ると、エプロン姿の初老の男性が立っていた。 [10:0.30s]
佐川健、七十一歳。 [11:0.30s]
この猫カフェのスタッフであり、元獣医師だという彼は、いつも柔らかな空気をまとっていた。 [12:0.30s]
田中美和子、六十七歳。 [13:0.30s]
夫を見送って七年。 [14:0.30s]
今日は孫へのプレゼントを探すついでに、ふらりとこの店に立ち寄ったのだ。 [15:0.30s]
「え、でも……」「素手はだめですよ。 [16:0.30s]
人間の指先の温度は、子猫には強すぎますから」 [17:0.25s]
彼の優しい声に頷き、私は手渡された綿の手袋をはめた。 [18:0.30s]
清潔な洗濯の匂いがした。 [19:0.30s]
ガラスケースの扉が少しだけ開けられる。 [20:0.30s]
私は恐る恐る手を伸ばし、子猫の背中に触れた。 [21:0.30s]
想像よりもずっと柔らかく、そして温かい感触が、手袋越しに伝わってきた。 [22:0.30s]
シルクのような毛並み。 [23:0.30s]
「力を抜いて。 [24:0.30s]
呼吸を合わせると、猫も安心します」 [25:0.25s]
背後から佐川さんの囁きが聞こえる。 [26:0.30s]
彼のアドバイス通りに深呼吸をすると、子猫が「ミャア」と小さく鳴いて、私の手に頭を擦り付けてきた。 [27:0.30s]
まるで、佐川さんに耳の後ろを撫でられているような錯覚を覚え、身体の力がふっと抜けた。 [28:0.30s]
「昔、犬を飼っていました。 [29:0.30s]
今はもう、見るだけで十分かもしれません。 [30:0.30s]
失うのが怖くて」 [31:0.25s]
私がそう言うと、佐川さんはガラスを指でなぞりながら微笑んだ。 [32:0.30s]
「見るだけでも、温度は伝わりますよ。 [33:0.30s]
ほら、呼吸のリズムが合うでしょう？ [34:0.30s]
」 [35:0.25s]
言われてみれば、子猫の胸の動きと、私の呼吸がゆっくりと重なっている。 [36:0.30s]
「……本当ですね」 [37:0.25s]
「心臓の音が共鳴するんです。 [38:0.30s]
生き物同士ですから」 [39:0.25s]
彼の言葉に、胸の奥が静かに熱を帯びた。 [40:0.30s]
写真を一枚だけ撮らせてもらうことにした。 [41:0.30s]
スマホを構えると、佐川さんが肩越しに画面を覗き込んできた。 [42:0.30s]
「この角度が一番きれいです。 [43:0.30s]
光が瞳に入って」 [44:0.25s]
彼の指先が、私のスマホの端をそっと押さえる。 [45:0.30s]
手袋越しでも、彼の体温が移ってくるようで、私は思わず息を飲んだ。 [46:0.30s]
彼の吐息が、うなじにかかる。 [47:0.30s]
帰り際、彼から小さなメモを手渡された。 [48:0.30s]
『いつでも、見るだけでいいんです。 [49:0.30s]
抱っこも、贈り物も、無理にしなくていい。 [50:0.30s]
来たい時に来て、疲れたら帰る。 [51:0.30s]
猫も人も、それが一番です』 [52:0.25s]
彼がそのメモを読み上げる声は、子猫の寝息と混じり合うように柔らかく、心に沁みた。 [53:0.30s]
「孫にも、この温度の話をします」私が笑うと、彼は目を細めた。 [54:0.30s]
「ええ。 [55:0.30s]
また、温度を感じに来てください。 [56:0.30s]
猫たちも、あなたを待っています」 [57:0.25s]
メモを胸ポケットにしまう。 [58:0.30s]
その紙の重みさえも、愛おしく感じた。 [59:0.30s]
翌日も、私の足は自然と猫カフェに向いていた。 [60:0.30s]
「今日も、見ていくだけで」「見るだけの時間が、一番艶っぽいこともありますから」 [61:0.25s]
佐川さんがガラスを拭いている。 [62:0.30s]
その横顔が、ガラス越しに私と重なる。 [63:0.30s]
距離は保たれているのに、呼吸が絡み合うような感覚。 [64:0.30s]
