秋の深まりを感じさせる山道。 [1:0.30s]
落ち葉が敷き詰められた道を、私は一歩一歩踏みしめていた。 [2:0.30s]
ザクッ、ザクッという音が、静寂な森に響く。 [3:0.30s]
田中美和子、六十七歳。 [4:0.30s]
夫を見送って七年。 [5:0.30s]
家に籠もりがちだった生活を変えようと、市民大学で心理学を学び直し、体力をつけるために山歩きを始めた。 [6:0.30s]
最初の一歩は重かった。 [7:0.30s]
登山靴を買いに行った日、店員に「どこの山に行かれますか？ [8:0.30s]
」と聞かれ、「まだ決めていません」と答えた時の恥ずかしさ。 [9:0.30s]
鏡に映る自分の姿は、場違いなほど頼りなく見えた。 [10:0.30s]
夫がいれば、「似合うぞ」と背中を押してくれたかもしれない。 [11:0.30s]
でも、もう誰も押してはくれない。 [12:0.30s]
自分で自分の背中を押すしかなかった。 [13:0.30s]
そうして始めた山歩きだが、今では私の生活の一部になっていた。 [14:0.30s]
「ゆっくりでいいですよ。 [15:0.30s]
呼吸を乱さないように」 [16:0.25s]
背中から、穏やかで低い声が落ちてくる。 [17:0.30s]
前を歩くのは、ガイドの加藤誠一さん、七十歳。 [18:0.30s]
長年、この山を見守ってきたベテランだ。 [19:0.30s]
日焼けした肌に、笑うと目尻に刻まれる深い皺。 [20:0.30s]
彼の声は、不思議な響きを持っていた。 [21:0.30s]
深く、温かく、そしてどこか懐かしい。 [22:0.30s]
森の木々が発する音と共鳴しているような声だ。 [23:0.30s]
「落ち葉の音、好きですか」彼が立ち止まり、振り返って聞いた。 [24:0.30s]
「ええ、好きです。 [25:0.30s]
カサカサという音が、自分の足音と混ざると、心臓が落ち着くんです」 [26:0.25s]
「心臓のリズムと足音、似ていますよね。 [27:0.30s]
大地の鼓動と同期する感覚です」 [28:0.25s]
彼の言葉に頷く。 [29:0.30s]
葉の擦れる音が、私の鼓動と重なり、胸の奥が静かに温まっていく。 [30:0.30s]
沢に差しかかった。 [31:0.30s]
苔むした丸太が一本、橋として架けられている。 [32:0.30s]
