静寂に包まれた大学図書館。 [1:0.30s]
高い天井まで届く本棚と、古書の匂い。 [2:0.30s]
埃と、古い紙が発するバニラのような甘い香りが入り混じっている。 [3:0.30s]
私は机に向かい、分厚い法律書をめくっていた。 [4:0.30s]
田中美和子、六十七歳。 [5:0.30s]
夫を見送って七年。 [6:0.30s]
夫の遺言書の整理をきっかけに法律に興味を持ち、市民大学で心理学と共に相続法も学んでいる。 [7:0.30s]
夫が遺した言葉。 [8:0.30s]
「全ての財産を妻に」。 [9:0.30s]
そのシンプルな一文の裏にある、法的な重みと、彼の愛情の深さを理解したかったのだ。 [10:0.30s]
難しい漢字の羅列に目が疲れ、ふと顔を上げた時だった。 [11:0.30s]
「その条文、声に出すと柔らかくなりますよ」 [12:0.25s]
不意に、隣の席から低い声が落ちてきた。 [13:0.30s]
隣に座っていたのは、川村雄三さん、七十二歳。 [14:0.30s]
元弁護士だという彼は、いつも整った白髪にツイードのジャケットを着こなし、知的な雰囲気を漂わせていた。 [15:0.30s]
彼の机の上には、六法全書と、読みかけの哲学書が置かれている。 [16:0.30s]
「声に出すと、紙が温度を持つんです。 [17:0.30s]
法律は冷たいものではない。 [18:0.30s]
人の血が通っているものですから」 [19:0.25s]
彼は微笑みながら言った。 [20:0.30s]
「試しに、読んでみてください」 [21:0.25s]
私は周囲を気にしながら、小声で民法の一節を読んだ。 [22:0.30s]
「……第九百六十条。 [23:0.30s]
遺言は、この法律に定める方式に従わなければ、することができない」 [24:0.25s]
硬い言葉が、自分の息を含んで空気中に放たれる。 [25:0.30s]
ページの上で、彼の人差し指がピタリと止まった。 [26:0.30s]
「いい声ですね。 [27:0.30s]
紙が喜んでいる。 [28:0.30s]
法律用語特有の角が取れて、丸くなっています」 [29:0.25s]
その独特な褒め言葉に、喉の奥がじんわりと熱くなるのを感じた。 [30:0.30s]
ページをめくる音が重なる。 [31:0.30s]
「夫の遺言を、ちゃんと理解したくて」私が学ぶ理由を話すと、彼は深く頷いた。 [32:0.30s]
「心理と法律。 [33:0.30s]
どちらも、絡まった心をほどく鍵ですね。 [34:0.30s]
