ワイン講座の教室は、少し落とされた照明と、芳醇な葡萄の香りに包まれていた。 [1:0.30s]
重厚なオークのテーブルに、磨き上げられたグラスが整然と並んでいる。 [2:0.30s]
「グラスを持つ手、もう少し力を抜いて」 [3:0.25s]
背後から、低い声が落ちてくる。 [4:0.30s]
田中美和子、六十七歳。 [5:0.30s]
夫を見送って七年。 [6:0.30s]
夫は焼酎派で、ワインなんて気取った飲み物は好まなかった。 [7:0.30s]
安酒をあおって、すぐに寝てしまう人だった。 [8:0.30s]
でも、私はずっと憧れていた。 [9:0.30s]
ワイングラスを傾けながら、香りを語り合うような大人の時間を。 [10:0.30s]
ふと立ち寄ったワインショップで香りの世界に魅了され、市民大学の心理学講座の傍ら、このワイン教室に通い始めた。 [11:0.30s]
講師の高橋慎司さん、七十歳。 [12:0.30s]
白髪をオールバックにし、蝶ネクタイが似合う彼は、グラスを持つ手をそっと直してくれた。 [13:0.30s]
「肩を少し落として。 [14:0.30s]
香りを取る前に、まずは息を整えるんです。 [15:0.30s]
慌てないで、ワインと対話するように」 [16:0.25s]
耳元で囁かれるアドバイス。 [17:0.30s]
彼の手が私の手に触れることはないが、グラスの縁をなぞる彼の指の動きがあまりにも美しく、胸の奥がわずかに熱くなるのを感じた。 [18:0.30s]
「……はい」 [19:0.25s]
緊張で指先が震える。 [20:0.30s]
グラスを回し、立ち上る香りを吸い込む。 [21:0.30s]
スワリング。 [22:0.30s]
空気に触れさせることで、ワインは眠りから覚める。 [23:0.30s]
「……蜂蜜と、枯れ葉の匂いがします」 [24:0.25s]
「いいですね。 [25:0.30s]
熟成が進んでいます。 [26:0.30s]
このワインは、あなたが生まれる前に作られたものですよ」 [27:0.25s]
彼が微笑む。 [28:0.30s]
「あなたの声は、琥珀色ですね」 [29:0.25s]
「え？ [30:0.30s]
」 [31:0.25s]
「深みがあって、透き通っている。 [32:0.30s]
あなたの声は果実のようだ。 [33:0.30s]
少し熟れてきた果実。 [34:0.30s]
甘くて、少し酸っぱい」 [35:0.25s]
言葉遊びのような、けれど艶を含んだその指摘が、香りの粒と混ざり合い、教室の空気に湿度を宿らせた。 [36:0.30s]
講座の後、彼からテイスティングノートを手渡された。 [37:0.30s]
「感じた香りを、自由に書いてみてください。 [38:0.30s]
正解はありません。 [39:0.30s]
あなたが感じたものが、全てです」 [40:0.25s]
受け取る時、彼の指先が紙を撫でた。 [41:0.30s]
「香りは、寝かせると育つんです。 [42:0.30s]
ワインも、人の想いも。 [43:0.30s]
時間をかけるほど、味わい深くなる」 [44:0.25s]
意味深な言葉に、私は紙に鼻を寄せた。 [45:0.30s]
インクの匂いに、彼の声の温度が混ざっている気がした。 [46:0.30s]
別の日、畑での実習があった。 [47:0.30s]
太陽が降り注ぐブドウ畑。 [48:0.30s]
彼は未熟なブドウの葉を指で潰し、その青い香りを私に嗅がせた。 [49:0.30s]
「これが、若さの香りです」 [50:0.25s]
「青くて、少し酸っぱいですね」 [51:0.25s]
「その香りを指に移して……その指でグラスを持つと、香りが混ざるかもしれません」 [52:0.25s]
彼が私の指先を見つめながら囁く。 [53:0.30s]
頭の中で、指先の青い香りと、グラスの中の赤ワインの香りが重なり合う。 [54:0.30s]
「香りのマリアージュですね」 [55:0.25s]
頬がカッと温かくなった。 [56:0.30s]
帰り道、駅まで並んで歩いた。 [57:0.30s]
夕焼けが街を赤く染めている。 [58:0.30s]
「本を読みながら、行間からワインの香りを探すのが好きなんです」彼が言った。 [59:0.30s]
「素敵ですね。 [60:0.30s]
心理学の論文にも、香りがあると集中できる気がします」 [61:0.25s]
