閉園間近の遊園地。 [1:0.30s]
空は茜色から群青色へとグラデーションを描き、回転木馬の金属装飾が最後の夕日を受けて鈍く光っていた。 [2:0.30s]
田中美和子、六十七歳。 [3:0.30s]
夫を見送って七年。 [4:0.30s]
ふと思い立って訪れたこの場所は、かつて夫と娘とよく来た思い出の場所だった。 [5:0.30s]
記憶の蓋が開く。 [6:0.30s]
あれは、娘が五歳になった誕生日だった。 [7:0.30s]
娘はピンク色のフリルのついたワンピースを着て、新しい靴を履いていた。 [8:0.30s]
「パパ、あれ乗りたい！ [9:0.30s]
」 [10:0.25s]
娘が指差したのは、この回転木馬だった。 [11:0.30s]
夫は「目が回るから嫌だ」と渋ったが、結局は娘の笑顔に負けて、列に並んだ。 [12:0.30s]
一時間待ちの行列。 [13:0.30s]
夫は不機嫌そうにタバコをふかしていた（当時はまだ園内で吸えたのだ）。 [14:0.30s]
「次はまだか。 [15:0.30s]
足が棒になる」 [16:0.25s]
そう文句を言いながらも、順番が来ると娘を一番見晴らしの良い白馬に乗せ、落ちないようにしっかりと支えていた。 [17:0.30s]
私はその様子を、柵の外からカメラで撮っていた。 [18:0.30s]
木馬が動き出し、オルゴールが鳴り響く。 [19:0.30s]
娘の歓声。 [20:0.30s]
夫の照れくさそうな笑顔。 [21:0.30s]
あの日食べたキャラメルポップコーンの甘い匂い。 [22:0.30s]
日差しの暖かさ。 [23:0.30s]
すべてが、昨日のことのように鮮明に蘇る。 [24:0.30s]
あれから数十年。 [25:0.30s]
娘は嫁ぎ、孫も生まれた。 [26:0.30s]
夫はもういない。 [27:0.30s]
私だけが、取り残されたようにここにいる。 [28:0.30s]
一人で来る遊園地は、こんなにも広く、そして静かなものだったのか。 [29:0.30s]
閉園のアナウンスが流れる中、私は帰るきっかけを失って、ただ立ち尽くしていた。 [30:0.30s]
ここに来るまでの電車の中で、窓に映る自分の顔を見た。 [31:0.30s]
目尻のシワ、白髪混じりの髪。 [32:0.30s]
あの頃の私とは違う。 [33:0.30s]
「おばあちゃんになったわね」 [34:0.25s]
窓の中の自分に苦笑いした。 [35:0.30s]
