休日の早朝、公園の森は朝露に濡れ、静謐な空気に包まれていた。 [1:0.30s]
私は首から重たい一眼レフカメラを下げ、野鳥の姿を探して歩いていた。 [2:0.30s]
田中美和子、六十七歳。 [3:0.30s]
夫を亡くして七年。 [4:0.30s]
家に一人は寂しいからと、市民大学で心理学を学びながら、週末はこうして自然の中に身を置くようになった。 [5:0.30s]
鳥の羽音や風の匂いで、乾いた心を潤す。 [6:0.30s]
ファインダーを通して世界を見ると、余計なものが削ぎ落とされていく気がした。 [7:0.30s]
ファインダー越しに、いつも同じ男性の姿が映り込むことに気づいたのは、ここ数週間のことだ。 [8:0.30s]
帽子を目深にかぶり、ベンチに座って静かに足元の鳩に餌をやろうとしている。 [9:0.30s]
私はカメラを下ろし、彼に近づいた。 [10:0.30s]
「あの、餌付けはだめですよ。 [11:0.30s]
看板にも書いてあります」 [12:0.25s]
彼はびくりとして顔を上げた。 [13:0.30s]
高瀬正樹、七十四歳。 [14:0.30s]
少年のようにバツの悪そうな笑顔を浮かべ、慌ててパン屑をしまった。 [15:0.30s]
「すみません。 [16:0.30s]
つい、可愛くて。 [17:0.30s]
孫が来ないもんで、構いたくなってしまって」 [18:0.25s]
「野鳥は、自分で餌を探さないといけませんから。 [19:0.30s]
心を鬼にするのも、愛です」 [20:0.25s]
「厳しいですね、先生は」 [21:0.25s]
彼が苦笑いをする。 [22:0.30s]
「高瀬正樹です」 [23:0.25s]
「……田中美和子です。 [24:0.30s]
鳥は、撮るだけの趣味です」 [25:0.25s]
名を名乗り合った瞬間、森の湿度がふっと高まり、胸に小さな熱が灯った。 [26:0.30s]
「怒られたな」 [27:0.25s]
次に会った時、彼は手を引く仕草をして笑った。 [28:0.30s]
「今日は餌を持っていませんよ。 [29:0.30s]
手ぶらです」 [30:0.25s]
「それは良かったです。 [31:0.30s]
……カメラ、いいモデルですね。 [32:0.30s]
ライカですか？ [33:0.30s]
」 [34:0.25s]
私が彼の持っている古い一眼レフを褒めると、彼は愛おしそうにボディを撫でた。 [35:0.30s]
「ええ。 [36:0.30s]
四十年ものです。 [37:0.30s]
シャッター音が、心臓の音に似ている」 [38:0.25s]
「鳥に好かれそうな匂いがするわ、そのカメラ」 [39:0.25s]
「褒め言葉ですか？ [40:0.30s]
」 [41:0.25s]
「たぶん。 [42:0.30s]
古くて、落ち着く匂い」 [43:0.25s]
視線が交わる。 [44:0.30s]
風よりも柔らかな湿度が、私の頬に乗った。 [45:0.30s]
それから、会うたびに短いメモを手渡されるようになった。 [46:0.30s]
『明日の朝、北側の池にカワセミが来るそうです』 [47:0.25s]
『西の林道、七時。 [48:0.30s]
キビタキの声がします』 [49:0.25s]
日付と場所だけが書かれた紙切れ。 [50:0.30s]
指先が触れるたびに、紙に残った彼の体温が私に移った。 [51:0.30s]
まるで秘密の暗号のやり取りのようだった。 [52:0.30s]
ある日、彼がフィールドスコープを貸してくれた。 [53:0.30s]
「覗いてごらんなさい。 [54:0.30s]
世界が変わりますよ」 [55:0.25s]
言われた通りに接眼レンズを覗く。 [56:0.30s]
遠くの枝に止まるオオルリの、鮮やかな青い羽が目の前に迫ってきた。 [57:0.30s]
光を反射して艶やかに輝いている。 [58:0.30s]
「きれい……」 [59:0.25s]
