海を見下ろす断崖絶壁。 [1:0.30s]
観光地化されているとはいえ、柵の向こう側は数十メートル下の岩場だ。 [2:0.30s]
強風が吹き荒れ、波が岩肌に砕け散る音が轟いている。 [3:0.30s]
空は鉛色で、今にも泣き出しそうだ。 [4:0.30s]
私は柵を乗り越えようとはしなかったが、心はその縁に立っていた。 [5:0.30s]
手には、夫の小さな遺影。 [6:0.30s]
「……もう、無理よ」 [7:0.25s]
呟いた声は風にかき消された。 [8:0.30s]
夫を見送って七年。 [9:0.30s]
金銭的な不安、将来への絶望、そして何より、誰にも必要とされていないという孤独感。 [10:0.30s]
それが潮水のように喉元まで迫っていた。 [11:0.30s]
生きている意味が分からない。 [12:0.30s]
ただ息をしているだけの肉の塊になった気分だった。 [13:0.30s]
その時だった。 [14:0.30s]
「いい眺めだな」 [15:0.25s]
隣に、いつの間にか男が立っていた。 [16:0.30s]
ヨレヨレのコートを着た、初老の男。 [17:0.30s]
村井浩二、七十一歳。 [18:0.30s]
無精髭を生やし、疲れ切った顔をしているが、目は奇妙に明るかった。 [19:0.30s]
「……そうですね」私は警戒しながら答えた。 [20:0.30s]
「村井浩二。 [21:0.30s]
事業で全部なくした。 [22:0.30s]
家も、家族も、金も。 [23:0.30s]
残ったのは、この身体だけだ」 [24:0.25s]
彼はあっけらかんと言った。 [25:0.30s]
「そっちは？ [26:0.30s]
」 [27:0.25s]
「田中美和子。 [28:0.30s]
六十七歳。 [29:0.30s]
夫を亡くして……生きる気力も、なくしかけています」 [30:0.25s]
つられて正直に答えてしまった。 [31:0.30s]
村井は「ハハッ」と乾いた笑い声を上げた。 [32:0.30s]
「似た者同士か。 [33:0.30s]
ここに来る奴は、みんな同じ目をしてる」 [34:0.25s]
そして、海を指差した。 [35:0.30s]
「ここから飛び込めば、楽になれるかな」 [36:0.25s]
「……かもしれません」 [37:0.25s]
「でもな」彼は急に真顔になった。 [38:0.30s]
「死ぬ前に、あの下の食堂の塩ラーメンでも食うか。 [39:0.30s]
あそこのは美味いらしいぞ。 [40:0.30s]
最後の晩餐ってやつだ」 [41:0.25s]
拍子抜けするほど軽い提案だった。 [42:0.30s]
自殺の名所に来て、ラーメンの誘い。 [43:0.30s]
そのあまりの不謹慎さと滑稽さに、私の口から「ふっ」と笑いがこぼれた。 [44:0.30s]
「……いいわね。 [45:0.30s]
塩ラーメン」 [46:0.25s]
その一言で、私の足は海から離れ、食堂へと向いた。 [47:0.30s]
港の寂れた食堂。 [48:0.30s]
暖簾は煤け、ガラス戸は曇っている。 [49:0.30s]
中に入ると、強烈な豚骨の匂いがした。 [50:0.30s]
湯気が充満する店内で、私たちは向かい合ってラーメンを啜った。 [51:0.30s]
「……熱い」 [52:0.25s]
「生き返るだろう？ [53:0.30s]
五臓六腑に染み渡る」 [54:0.25s]
透き通ったスープ。 [55:0.30s]
一口飲むと、強烈な塩気が舌を刺し、その後に濃厚な旨味が広がった。 [56:0.30s]
「塩辛いけど……艶が出る味ね」 [57:0.25s]
「命拾いの一杯だ」 [58:0.25s]
湯気が目に染みるのか、それとも別の感情か。 [59:0.30s]
視界が滲んだ。 [60:0.30s]
湯気が涙と汗を混ぜ合わせ、胸の奥が熱くなる。 [61:0.30s]
「あなたの冗談が、私を引き戻したわ」 [62:0.25s]
「君の笑い声が、俺にとっては塩より効いたよ。 [63:0.30s]
久しぶりに、人の声を聞いた気がする」 [64:0.25s]
村井がニカッと笑った。 [65:0.30s]
歯並びは悪いが、温かい笑顔だった。 [66:0.30s]
「死ぬのは、ラーメン食ってからでも遅くない」 [67:0.25s]
「そうね。 [68:0.30s]
お腹がいっぱいになると、悩み事も少し小さく見えるわ」 [69:0.25s]
食後、防波堤を歩いた。 [70:0.30s]
海風が私の髪を乱す。 [71:0.30s]
「塩風で、髪が艶々だ」彼がからかう。 [72:0.30s]
「ラーメンの湯気のおかげかも」 [73:0.25s]
他愛ない会話が、死へ向かおうとしていた足を、生きる方へと向けさせてくれた。 [74:0.30s]
空の雲が切れ、薄日が差してきた。 [75:0.30s]
海面がキラキラと輝き始める。 [76:0.30s]
「きれい……」 [77:0.25s]
「ああ。 [78:0.30s]
まだ、世界は捨てたもんじゃないな」 [79:0.25s]
別れ際、彼が折りたたんだ紙片を私の手のひらに押し付けた。 [80:0.30s]
「連絡先だ。 [81:0.30s]
また昼に、どこかで会おう。 [82:0.30s]
夜は、寝るに限る。 [83:0.30s]
夜に考えると、ろくなことがない」 [84:0.25s]
「ええ。 [85:0.30s]
夜は寝ます」 [86:0.25s]
紙の角が指先に食い込み、熱を残した。 [87:0.30s]
ポケットに入れると、湿ったままその形を保っていた。 [88:0.30s]
「約束だぞ。 [89:0.30s]
死ぬなよ」 [90:0.25s]
「あなたもね」 [91:0.25s]
翌日、私はその紙片を眺めながら、心配してくれていた娘にメッセージを送った。 [92:0.30s]
『昨日、海で一緒に塩を舐めた人がいるの。 [93:0.30s]
大丈夫、まだ生きるわ』 [94:0.25s]
返ってきた泣き顔の絵文字を見て、張り詰めていた胸の糸がほどけた。 [95:0.30s]
数日後、「散歩ついでに紙を拾おう」と彼から連絡があった。 [96:0.30s]
駅のラックから無料の求人パンフレットを抜き、公園のベンチで開く。 [97:0.30s]
「これなんてどうだ？ [98:0.30s]
ビルの清掃。 [99:0.30s]
俺たちにぴったりだ」 [100:0.25s]
「こっちは？ [101:0.30s]
宛名書き。 [102:0.30s]
私、字には自信があるの」 [103:0.25s]
紙の匂いに、印刷のインクの青い匂いが混ざる。 [104:0.30s]
覗き込むたびに、二人の手が触れそうで触れない距離になる。 [105:0.30s]
「諦めない人、多いんだってな。 [106:0.30s]
この歳でも」彼が読み上げる求人広告のキャッチコピー。 [107:0.30s]
その低音が胸に染みた。 [108:0.30s]
「俺たちも、まだ諦めるには早いか」 [109:0.25s]
「ええ。 [110:0.30s]
人生百年時代ですもの」 [111:0.25s]
コンビニで買った温かいお茶で乾杯し、笑い合う。 [112:0.30s]
「対等でいたい」彼が言った。 [113:0.30s]
「誰かに頼るんじゃなく、自分の足で立って、その上で君と会いたい。 [114:0.30s]
金がないのは惨めだが、心まで貧しくなりたくない」 [115:0.25s]
その言葉に、湯気が重なった。 [116:0.30s]
昼の逢瀬が続いた。 [117:0.30s]
安くて美味しい食堂、日当たりの良い公園、静かな図書館。 [118:0.30s]
手帳には、日付と場所だけが増えていく。 [119:0.30s]
物は持ち帰らず、その場の温度だけを重ねていく。 [120:0.30s]
ある日、ベンチでおにぎりと梅干しを食べた。 [121:0.30s]
「……酸っぱい！ [122:0.30s]
」彼が顔をしかめる。 [123:0.30s]
「艶が伸びるわよ。 [124:0.30s]
クエン酸で疲労回復」と私が笑う。 [125:0.30s]
スーパーの無料健康測定コーナーで、彼の血圧が以前より下がっていた。 [126:0.30s]
「君の笑い声のおかげだ。 [127:0.30s]
薬より効く」 [128:0.25s]
彼が私の袖を軽く引いた瞬間、脈が跳ね上がった。 [129:0.30s]
三ヶ月目。 [130:0.30s]
村井さんに清掃の仕事が決まった。 [131:0.30s]
「昼に働いて、夜は寝る。 [132:0.30s]
完璧な生活だ。 [133:0.30s]
これで、ラーメンもおごれる」 [134:0.25s]
「おめでとう」 [135:0.25s]
私も在宅の短期仕事を見つけたことを報告した。 [136:0.30s]
再就職祝いに、定食屋で一番高いメニューを頼んだ。 [137:0.30s]
もちろん、会計は別々。 [138:0.30s]
「レシート、記念に取っておく？ [139:0.30s]
」彼が聞いた。 [140:0.30s]
「いいえ。 [141:0.30s]
紙より、手の方が温かいもの」 [142:0.25s]
私がテーブルの上に置いた彼の手の甲に、自分の指を重ねると、彼も笑って指を絡めた。 [143:0.30s]
「紙は冷たいからな。 [144:0.30s]
……あったかいな、美和子さんの手は」 [145:0.25s]
仕事が休みの昼間、私は一人であの崖に行った。 [146:0.30s]
小さな花を柵の手前に置く。 [147:0.30s]
あの日の私への供養だ。 [148:0.30s]
風に揺れる花びらを見つめる。 [149:0.30s]
「ここなら、落ちないね」 [150:0.25s]
波の音が、以前よりも優しく聞こえた。 [151:0.30s]
「音も、優しいわ」 [152:0.25s]
夜、ふと苦しくなることもある。 [153:0.30s]
でも、昼間の花の匂いと、ラーメンの湯気の温かさを思い出すだけで、胸が緩むようになった。 [154:0.30s]
「今日、どの一歩を選びますか」 [155:0.25s]
自分に問いかけ、紙片に小さく『生きる』と書いて、枕元に置いた。 [156:0.30s]
春、菜の花が咲く公園で、私たちは再び並んで歩いた。 [157:0.30s]
黄色い絨毯が広がっている。 [158:0.30s]
「十一時に会おう」 [159:0.25s]
「黄色い匂い、好きよ」 [160:0.25s]
ベンチに小さな花束を置き、写真だけを撮る。 [161:0.30s]
花はそこに残していく。 [162:0.30s]
触れない選択が、二人の関係の艶を優しく伸ばし、昼の光で揺れる約束が、夜の闇を静かに和らげていく。 [163:0.30s]
帰り道、村井さんが海の方を見て呟いた。 [164:0.30s]
「次は、夜明けの海も見たいな。 [165:0.30s]
朝日が昇るところを」 [166:0.25s]
「……朝の塩も、甘いかしら」 [167:0.25s]
私が返すと、彼は嬉しそうに頷いた。 [168:0.30s]
「甘いさ。 [169:0.30s]
君といればな」 [170:0.25s]
二人の声が潮風に溶け、塩の湿度が、いつまでも胸に残った。 [171:0.30s]
私たちは生きていく。 [172:0.30s]
泥臭く、塩辛く、そして温かく。 [173:0.30s]
