娘の再婚相手は、私より二つ年下だった。 [1:0.30s]
「初めまして、お義母さん」 [2:0.25s]
挨拶された時、その低い声に背筋が粟立った。 [3:0.30s]
田中美和子、六十七歳。 [4:0.30s]
目の前の男、高木修平は六十五歳。 [5:0.30s]
娘の由美子（四十歳）が選んだ、二度目の夫だ。 [6:0.30s]
由美子は最初の結婚で失敗し、孫を連れて出戻ってきた。 [7:0.30s]
苦労した娘がようやく掴んだ幸せを、心から祝福すべき場面だ。 [8:0.30s]
それなのに、私の胸は妙なざわめきを覚えていた。 [9:0.30s]
ロマンスグレーの髪、落ち着いた物腰、そして深みのあるバリトンボイス。 [10:0.30s]
彼からは、同世代の男性特有の、枯れた色気のようなものが漂っていた。 [11:0.30s]
亡き夫は実直なだけが取り柄の人だった。 [12:0.30s]
こんな風に、洗練された男性ではなかった。 [13:0.30s]
結婚式の準備で、家族が集まる機会が増えた。 [14:0.30s]
ある日、娘が席を外した隙に、彼が私に囁いた。 [15:0.30s]
「……お義母さん、なんて呼ばないでください。 [16:0.30s]
僕の方が年下とはいえ、同世代だ。 [17:0.30s]
それに……」 [18:0.25s]
彼は少し顔を近づけた。 [19:0.30s]
「美和子さん、と呼びたい」 [20:0.25s]
その瞬間、禁忌の響きが喉を湿らせた気がした。 [21:0.30s]
私は動揺を隠して微笑んだ。 [22:0.30s]
「あら、娘の手前、そうもいかないでしょう？ [23:0.30s]
」 [24:0.25s]
「じゃあ、二人きりの時だけ」 [25:0.25s]
彼の瞳が、悪戯っぽく、けれど熱っぽく光った。 [26:0.30s]
「秘密、ですね」 [27:0.25s]
「ええ。 [28:0.30s]
共犯者になりましょう」 [29:0.25s]
キッチンで二人きりになった夜。 [30:0.30s]
洗い物をしている私の隣に、彼が立った。 [31:0.30s]
「手伝いますよ、美和子さん」 [32:0.25s]
自然に名前を呼ばれ、心臓が跳ねる。 [33:0.30s]
「座っていてください。 [34:0.30s]
お客様なんですから」 [35:0.25s]
「家族になるんですよ。 [36:0.30s]
遠慮はいりません」 [37:0.25s]
彼が洗った皿を、私が拭く。 [38:0.30s]
受け渡す指先が触れそうで触れない。 [39:0.30s]
お湯の蒸気が二人の間を立ち上り、湿度が背中に回る。 [40:0.30s]
「……あなたと話していると、落ち着きます」彼が言った。 [41:0.30s]
「由美子とは世代が違うから、時に疲れることもある。 [42:0.30s]
ジェネレーションギャップってやつですかね。 [43:0.30s]
でも、あなたは……同じ時代を生きてきた匂いがする」 [44:0.25s]
「言葉にしちゃだめよ」 [45:0.25s]
私は彼の言葉を遮った。 [46:0.30s]
「それは、聞かなかったことにします。 [47:0.30s]
娘が悲しみますから」 [48:0.25s]
「……厳しいですね。 [49:0.30s]
でも、その厳しさが、僕には心地いい」 [50:0.25s]
彼が苦笑いをする。 [51:0.30s]
その横顔に、亡き夫とは違う、大人の男の脆さと強さを見た気がした。 [52:0.30s]
式の当日。 [53:0.30s]
控室で着付けをしてもらう。 [54:0.30s]
黒留袖の重みが、ずしりと肩にかかる。 [55:0.30s]
帯を締め上げられるたびに、息が止まりそうになる。 [56:0.30s]
「お母様、お綺麗ですよ」 [57:0.25s]
着付け師の言葉に、鏡の中の自分を見る。 [58:0.30s]
綺麗に化粧を施された顔は、母の顔をしているだろうか。 [59:0.30s]
それとも……。 [60:0.30s]
廊下で彼とすれ違った。 [61:0.30s]
モーニングコートを着た彼は、眩しいほど素敵だった。 [62:0.30s]
「今日だけは、僕も『お父さん』を演じますよ」 [63:0.25s]
「ええ、頼みましたよ、お婿さん」 [64:0.25s]
「……でも、心の中では、あなたの名前を呼んでいます」 [65:0.25s]
すれ違いざまの囁き。 [66:0.30s]
喉に薄い熱が灯る。 [67:0.30s]
香水の残り香が、鼻をくすぐった。 [68:0.30s]
