雨に濡れた遍路道。 [1:0.30s]
古びたお堂の軒下で、私は白衣を絞っていた。 [2:0.30s]
滴り落ちる水音が、静寂な山道に響く。 [3:0.30s]
梅雨の湿気が、肌にまとわりつく。 [4:0.30s]
「その手、冷えてますよ」 [5:0.25s]
横から声がかかった。 [6:0.30s]
振り返ると、菅笠を被り、金剛杖をついた男性が立っていた。 [7:0.30s]
山下誠二、七十二歳。 [8:0.30s]
妻に先立たれ、供養のために四国を歩いているという。 [9:0.30s]
田中美和子、六十七歳。 [10:0.30s]
私もまた、七年前に亡くした夫の供養のために、この巡礼の旅に出た。 [11:0.30s]
「ありがとうございます。 [12:0.30s]
でも、心は熱いんです。 [13:0.30s]
懺悔と感謝で」 [14:0.25s]
私が強がると、彼は目尻を下げて微笑んだ。 [15:0.30s]
「無理はいけません。 [16:0.30s]
仏様も、あなたが風邪を引くことは望んでいない」 [17:0.25s]
「あと八十七箇所、一緒に歩いてみませんか？ [18:0.30s]
一人より、二人の方が道も短く感じるかもしれません」 [19:0.25s]
彼の穏やかな誘いに、私は少し迷ってから、小さく頷いた。 [20:0.30s]
「足手まといになりませんか？ [21:0.30s]
」 [22:0.25s]
「いいえ。 [23:0.30s]
背中を押していただくつもりです」 [24:0.25s]
「歩幅、合わせましょう」 [25:0.25s]
彼が差し出した杖の先を、私の杖が軽く叩く。 [26:0.30s]
カチリ、という乾いた音。 [27:0.30s]
それが、二人の旅の始まりの合図だった。 [28:0.30s]
雨が小降りになり、私たちは歩き出した。 [29:0.30s]
白衣が雨で透けて肌に張り付く。 [30:0.30s]
「濡れた布は重いけど、艶がありますね」と彼が独り言のように呟く。 [31:0.30s]
視線は足元に落ちているのに、その言葉の温度が私の喉を熱くした。 [32:0.30s]
「……見ないでください」 [33:0.25s]
「失礼。 [34:0.30s]
景色の一部として、美しかったもので」 [35:0.25s]
札所で納経帳を差し出す時、彼の手と私の手が触れそうになった。 [36:0.30s]
お堂の中は薄暗く、線香と墨の混ざった匂いが立ち込めている。 [37:0.30s]
「墨の香り、落ち着きますね」 [38:0.25s]
「あなたの声も、雨上がりの空みたいに柔らかいです。 [39:0.30s]
読経の声が、胸に沁みました」 [40:0.25s]
朱印が乾くのを待つ間、沈黙が流れる。 [41:0.30s]
それは気まずいものではなく、艶やかな間だった。 [42:0.30s]
湿った紙に指を添えたまま、互いの呼吸を重ねる。 [43:0.30s]
祈りの場であるがゆえに、逆に「生」の感覚が鋭敏になるのかもしれない。 [44:0.30s]
「妻は、字が綺麗な人でした」彼が言った。 [45:0.30s]
「夫は、悪筆でした。 [46:0.30s]
でも、力強い字でした」 [47:0.25s]
私たちは、いない人の話をすることで、今ここにいるお互いの存在を確認し合っていた。 [48:0.30s]
昼の休憩所でおにぎりを分けた。 [49:0.30s]
「握りすぎると崩れる。 [50:0.30s]
人も同じですね。 [51:0.30s]
力を入れすぎると、脆くなる」彼が笑う。 [52:0.30s]
水筒を傾ける手が並ぶ。 [53:0.30s]
私が作ったおにぎりの塩味と、山道の土の匂いが口の中に残る。 [54:0.30s]
「美味しいです。 [55:0.30s]
妻の味を思い出しました。 [56:0.30s]
梅干しの酸っぱさが、疲れを吹き飛ばしてくれる」 [57:0.25s]
「……そうですか。 [58:0.30s]
よかった」 [59:0.25s]
距離を保ちながら、胸の奥が温まる。 [60:0.30s]
喪失を抱えた者同士だからこそ共有できる、静かな安らぎ。 [61:0.30s]
「山下さんは、奥様を愛していらしたんですね」 [62:0.25s]
「ええ。 [63:0.30s]
今でも。 [64:0.30s]
だからこうして歩いています。 [65:0.30s]
忘れようとしているのか、刻み込もうとしているのか、自分でも分かりませんが」 [66:0.25s]
「両方、かもしれませんね」 [67:0.25s]
夕刻、小さな食堂で向かい合った。 [68:0.30s]
味噌汁の湯気が立ち上る。 [69:0.30s]
「明日は、難所の『焼山寺』ですね。 [70:0.30s]
遍路ころがしと言われる坂道だ」彼が地図を見ながら言う。 [71:0.30s]
