公園の広い空き地。 [1:0.30s]
芝生の緑が目に眩しい。 [2:0.30s]
私が操作するドローンがふわりと浮き上がった瞬間、プロペラが起こした風が頬を撫でた。 [3:0.30s]
ブーンという羽音が、静かな公園に響く。 [4:0.30s]
田中美和子、六十七歳。 [5:0.30s]
夫を見送って七年。 [6:0.30s]
最初は孫のために買ったドローンだった。 [7:0.30s]
でも、「おばあちゃん、それ難しいからあげる」とあっさり飽きられてしまった。 [8:0.30s]
捨てるのも勿体無いと説明書を片手に自分で触り始めたら、いつの間にか私自身がその操縦に夢中になっていた。 [9:0.30s]
空を自由に飛ぶ機体を見ていると、心が解放される気がした。 [10:0.30s]
重力から解き放たれる快感。 [11:0.30s]
地上に縛り付けられた日常から、意識だけが空へ昇っていく。 [12:0.30s]
「高度、もう少し抑えた方がいい」 [13:0.25s]
帽子を目深にかぶった男性が近づいてきて、低い声で言った。 [14:0.30s]
佐久間透、七十四歳。 [15:0.30s]
元航空管制官だという彼は、空を見上げる目が鋭く、そして優しかった。 [16:0.30s]
いつも公園のベンチで、文庫本を片手に空を眺めている人だ。 [17:0.30s]
「風が少し強くなってきました。 [18:0.30s]
上空はもっと強い。 [19:0.30s]
その機体じゃ、流される」 [20:0.25s]
「……ありがとうございます。 [21:0.30s]
つい、高く飛ばしたくなってしまって」 [22:0.25s]
「分かりますよ。 [23:0.30s]
鳥になりたい気持ちは、誰にでもある。 [24:0.30s]
でも、イカロスになってはいけない」 [25:0.25s]
「イカロス……墜落してしまいますね」 [26:0.25s]
「空には空のルールがある。 [27:0.30s]
風を読まないと、しっぺ返しを食らいますよ」 [28:0.25s]
彼の声には、乾いた温度と湿り気が同居していた。 [29:0.30s]
プロの厳しさと、空への深い愛情。 [30:0.30s]
胸の奥がわずかに熱を持つのを感じた。 [31:0.30s]
昼下がり、二人で並んで風を読む。 [32:0.30s]
「ここ、風の通り道なんです。 [33:0.30s]
ビル風が抜ける」 [34:0.25s]
彼が指差す。 [35:0.30s]
「スマホのアプリで見ても、地上の風と上空の風は違うんです」 [36:0.25s]
彼が自分のスマートフォンを取り出し、風況アプリを見せてくれた。 [37:0.30s]
画面を覗き込むため、顔が近づく。 [38:0.30s]
「ほら、ここ。 [39:0.30s]
矢印の向きが違うでしょう？ [40:0.30s]
」 [41:0.25s]
バッテリー残量を確かめる私の指と、画面をスクロールする彼の指がかすめる。 [42:0.30s]
乾燥した指先の感触。 [43:0.30s]
風の匂いを嗅ぎ分ける呼吸が重なる。 [44:0.30s]
「君の声、空の音に似ていますね。 [45:0.30s]
澄んでいて、遠くまで届く」彼が言った。 [46:0.30s]
「あなたの声は、プロペラの風みたいです。 [47:0.30s]
力強くて、でも涼しい。 [48:0.30s]
火照った頭を冷やしてくれます」 [49:0.25s]
手が触れることはない。 [50:0.30s]
けれど、風と声だけが私たちの頬を撫で、見えない糸で繋いでいく。 [51:0.30s]
ベンチで休憩し、私が持ってきた水筒のコーヒーを勧めた。 [52:0.30s]
「甘いのは苦手ですか？ [53:0.30s]
」 [54:0.25s]
「いえ、疲れた脳には糖分が必要です。 [55:0.30s]
管制官時代からの癖でね」 [56:0.25s]
彼がカップを傾ける。 [57:0.30s]
金属の縁が彼の唇に触れるのを、私はじっと見てしまった。 [58:0.30s]
彼の喉仏が動く。 [59:0.30s]
ゴクリ、という音が聞こえるような気がした。 [60:0.30s]
彼の視線もまた、私の喉の動きを追っている気がした。 [61:0.30s]
「美味しい。 [62:0.30s]
空の下で飲むコーヒーは格別だ」 [63:0.25s]
「ええ。 [64:0.30s]
風味が変わりますね。 [65:0.30s]
空気が混ざるからでしょうか」 [66:0.25s]
「君が淹れてくれたからかもしれない」 [67:0.25s]
さらりと言われて、私はカップを持つ手に力を込めた。 [68:0.30s]
ある日、私の操作ミスで、ドローンが木の枝に引っかかってしまった。 [69:0.30s]
「あっ……！ [70:0.30s]
」 [71:0.25s]
枝葉が揺れる音より先に、佐久間さんの低い声が落ちた。 [72:0.30s]
「慌てないで。 [73:0.30s]
電源を切って、ゆっくり。 [74:0.30s]
無理に引くと、枝が折れるか、プロペラが割れる」 [75:0.25s]
「どうしよう、取れないかも。 [76:0.30s]
大事な機体が……」 [77:0.25s]
「大丈夫。 [78:0.30s]
僕に任せて。 [79:0.30s]
昔、木登りは得意だったんだ」 [80:0.25s]
彼は七十四歳とは思えない身軽さで、近くの足場に登り、長い枝を探してきて、器用に機体を引き寄せ始めた。 [81:0.30s]
「右に回して……そう、そこだ。 [82:0.30s]
もう少し……」 [83:0.25s]
真剣な眼差し。 [84:0.30s]
額に汗が光る。 [85:0.30s]
「その声、暗闇の灯りみたいですね」私が言うと、「君の声が返ってくるから、迷わないんだ。 [86:0.30s]
管制官とパイロットみたいなものさ」と彼が返した。 [87:0.30s]
彼の手の甲に浮き出た血管。 [88:0.30s]
無事に戻ってきた機体を受け取る時、すれ違う指に、草の湿った匂いが残る。 [89:0.30s]
機体が手元に戻り、私の胸の鼓動が静まるまで、風と声だけが揺れていた。 [90:0.30s]
「ありがとう。 [91:0.30s]
ヒーローみたいでした」 [92:0.25s]
