静寂に包まれた茶室。 [1:0.30s]
釜の湯が煮える松風の音だけが、シュンシュンと心地よく響いている。 [2:0.30s]
障子越しに柔らかな光が差し込み、畳の井草の香りが漂う。 [3:0.30s]
外は小雨が降っているのだろうか。 [4:0.30s]
微かな雨音が、静けさを際立たせる。 [5:0.30s]
田中美和子、六十七歳。 [6:0.30s]
夫を見送って七年。 [7:0.30s]
心の平静を求めて茶道を習い始めた。 [8:0.30s]
日常の雑事から離れ、ただお茶と向き合う時間が、今の私には必要だった。 [9:0.30s]
正座した足の痺れさえも、生きている証のように感じられる。 [10:0.30s]
「お点前、頂戴いたします」 [11:0.25s]
私が頭を下げると、亭主を務める今井健二さん、七十三歳が、静かに茶碗を差し出した。 [12:0.30s]
彼は陶芸家であり、この茶室も彼が作ったものだ。 [13:0.30s]
この茶碗も、もちろん彼の手によるもの。 [14:0.30s]
「どうぞ。 [15:0.30s]
今日は、あなたのための特別な一服です」 [16:0.25s]
低く、落ち着いた声。 [17:0.30s]
彼の指先には、土を練る人特有の力強さと、繊細さが宿っていた。 [18:0.30s]
節くれだった指だが、所作は流れるように美しい。 [19:0.30s]
「黒楽茶碗、ですか？ [20:0.30s]
」 [21:0.25s]
「ええ。 [22:0.30s]
あなたの髪の色に似ていたので、選びました。 [23:0.30s]
濡羽色（ぬればいろ）というやつです」 [24:0.25s]
さらりと言われ、胸がドキンとする。 [25:0.30s]
茶碗を手に取る。 [26:0.30s]
ずしりとした重みが、掌にしっくりと馴染む。 [27:0.30s]
表面の微かな凹凸が、指先に心地よい刺激を与える。 [28:0.30s]
まるで、大地そのものを持っているようだ。 [29:0.30s]
「温かい……」 [30:0.25s]
「土が、熱を覚えているんです。 [31:0.30s]
窯の中で焼かれた記憶を。 [32:0.30s]
千度を超える炎の記憶です」 [33:0.25s]
彼が言った。 [34:0.30s]
お茶を一口いただく。 [35:0.30s]
苦味の中に広がる甘み。 [36:0.30s]
そして、茶碗の縁から伝わる微かなざらつきが、唇を刺激する。 [37:0.30s]
「この茶碗の肌触り、あなたの声に似ています」 [38:0.25s]
私が言うと、彼は驚いたように目を見開いた。 [39:0.30s]
「……無骨でしょう？ [40:0.30s]
飾り気がない。 [41:0.30s]
愛想もない」 [42:0.25s]
「いいえ。 [43:0.30s]
温かくて、深みがあって……安心します。 [44:0.30s]
飾らないからこそ、本質が見えるんです」 [45:0.25s]
茶室という閉ざされた空間。 [46:0.30s]
二人きりの時間。 [47:0.30s]
湯気が私たちの間を立ち上り、言葉にしなくても通じ合う空気が流れる。 [48:0.30s]
「結構なお点前でした」 [49:0.25s]
茶碗を拝見する時、彼の手と私のが触れそうで触れない距離になる。 [50:0.30s]
その距離感が、もどかしくも愛おしい。 [51:0.30s]
「拝見」という行為が、こんなにも官能的だとは知らなかった。 [52:0.30s]
指先が、茶碗の肌を愛撫するように滑る。 [53:0.30s]
稽古の後、彼が作陶する工房に招いてくれた。 [54:0.30s]
ろくろが回る音。 [55:0.30s]
湿った土の匂い。 [56:0.30s]
埃っぽい空気が、逆に落ち着く。 [57:0.30s]
「少し、触ってみますか？ [58:0.30s]
」 [59:0.25s]
彼が私の手を取り、回る粘土へと導いた。 [60:0.30s]
「え、でも……着物が汚れます」 [61:0.25s]
「大丈夫。 [62:0.30s]
割烹着をお貸しします。 [63:0.30s]
汚れたら洗えばいい。 [64:0.30s]
心の汚れも落ちますよ」 [65:0.25s]
私は言われるがままに割烹着を着て、ろくろの前に座った。 [66:0.30s]
「力を抜いて。 [67:0.30s]
土の動きに逆らわないで。 [68:0.30s]
土の声を聞くんです」 [69:0.25s]
彼の手が、私の手の上から重なる。 [70:0.30s]
冷たい土の感触と、彼の手の温かさ。 [71:0.30s]
「……生きているみたい」 [72:0.25s]
「ええ。 [73:0.30s]
土は生きています。 [74:0.30s]
そして、触れる人の心を映す。 [75:0.30s]
迷いがあれば歪むし、優しさがあれば丸くなる。 [76:0.30s]
嘘がつけないんです」 [77:0.25s]
背後から聞こえる彼の呼吸音。 [78:0.30s]
私の指の震えが、土に伝わり、器の形をわずかに歪ませた。 [79:0.30s]
「あ……」 [80:0.25s]
「それでいい。 [81:0.30s]
それが、今のあなたの形です。 [82:0.30s]
歪みもまた、景色になる。 [83:0.30s]
完璧なものなんて、つまらないでしょう？ [84:0.30s]
」 [85:0.25s]
彼が耳元で囁く。 [86:0.30s]
泥にまみれた指が絡み合い、言葉にできない官能が指先から全身へと広がっていった。 [87:0.30s]
まるで、魂を素手で触れられているような感覚。 [88:0.30s]
「茶花を生けてみませんか」 [89:0.25s]
彼が庭の椿を切ってきてくれた。 [90:0.30s]
「投げ入れ、という手法です。 [91:0.30s]
あるがままの姿を生かす」 [92:0.25s]
花瓶に花を入れる。 [93:0.30s]
私の手が迷うと、彼の手が添えられる。 [94:0.30s]
「ここです。 [95:0.30s]
花が一番心地よい場所を探してあげるんです」 [96:0.25s]
彼の手の温度が、茎を通して伝わってくる。 [97:0.30s]
「一期一会」 [98:0.25s]
彼が手を洗いながら呟いた。 [99:0.30s]
