路地裏にひっそりと佇む古書店「古川堂」。 [1:0.30s]
色褪せた看板、蔦の絡まるレンガ造りの外壁。 [2:0.30s]
ショーウィンドウには、日焼けした洋書が無造作に積まれている。 [3:0.30s]
扉を開けると、カウベルがカランと鳴り、古紙と埃、そして珈琲の混ざった独特の匂いが迎えてくれた。 [4:0.30s]
時間が止まったような空間。 [5:0.30s]
ここだけ、外の世界とは違う空気が流れている。 [6:0.30s]
田中美和子、六十七歳。 [7:0.30s]
夫を見送って七年。 [8:0.30s]
市民大学の帰りにここに立ち寄り、絶版になった古い本を探すのが日課になっていた。 [9:0.30s]
新しい本にはない、誰かの手に触れられた痕跡。 [10:0.30s]
ページに残る折れ目や、余白の書き込み。 [11:0.30s]
それが、私の孤独を癒してくれた。 [12:0.30s]
「いらっしゃい、美和子さん」 [13:0.25s]
カウンターの奥から、店主の古川昌一さん、七十歳が顔を出した。 [14:0.30s]
老眼鏡をずらし、柔和な笑顔を向けてくれる。 [15:0.30s]
エプロンについたインクの染みが、彼の生きてきた証のようだ。 [16:0.30s]
「今日は、いい詩集が入りましたよ。 [17:0.30s]
あなたの好きな、中原中也です」 [18:0.25s]
彼が差し出したのは、昭和初期の詩集だった。 [19:0.30s]
茶色く変色した背表紙。 [20:0.30s]
パラフィン紙が破れている。 [21:0.30s]
ページをめくると、活版印刷の文字が目に飛び込んでくる。 [22:0.30s]
インクの匂いが濃い。 [23:0.30s]
「……文字が、立っていますね」 [24:0.25s]
「ええ。 [25:0.30s]
昔の活字は、インクの圧力が強い。 [26:0.30s]
触ると凸凹が分かります。 [27:0.30s]
職人が一文字ずつ組んだ熱が残っているんです」 [28:0.25s]
彼がカウンターから出てきて、私の指を取り、ページの上を滑らせた。 [29:0.30s]
「ほら、ここ。 [30:0.30s]
『愛』という字。 [31:0.30s]
強く押されています。 [32:0.30s]
活字工も、この言葉に力を込めたんでしょう」 [33:0.25s]
指先に伝わる微かな凹凸。 [34:0.30s]
紙のざらつき。 [35:0.30s]
そして、彼の手の乾燥した温かさ。 [36:0.30s]
「……本当だ。 [37:0.30s]
鼓動みたい」 [38:0.25s]
私が呟くと、彼は嬉しそうに頷いた。 [39:0.30s]
「文字は生き物ですから。 [40:0.30s]
読まれるのを待っているんです。 [41:0.30s]
誰かに見つけられるのを」 [42:0.25s]
店内の狭い通路ですれ違う時、肩が触れそうになる。 [43:0.30s]
本棚に囲まれた空間は、まるで迷宮のようだ。 [44:0.30s]
天井まで積み上げられた本が、音を吸い込んでいく。 [45:0.30s]
「この本、昔読んだことがあります。 [46:0.30s]
『銀河鉄道の夜』」 [47:0.25s]
私が棚の一冊を指差すと、彼も同じ本に手を伸ばした。 [48:0.30s]
「奇遇ですね。 [49:0.30s]
僕も学生時代、ボロボロになるまで読みました。 [50:0.30s]
カンパネルラになりたかった」 [51:0.25s]
二人の指が、同じ背表紙の上で重なる。 [52:0.30s]
静電気のようなものが走る。 [53:0.30s]
「……物語を共有しているんですね、私たちは。 [54:0.30s]
違う時間を生きてきたのに」 [55:0.25s]
「ええ。 [56:0.30s]
同じページをめくり、同じ行で涙したかもしれない。 [57:0.30s]
そう考えると、ずっと前から知り合いだった気がします。 [58:0.30s]
魂のレベルでね」 [59:0.25s]
彼の低い声が、本棚に吸い込まれていく。 [60:0.30s]
言葉以上の繋がりを感じて、胸が熱くなった。 [61:0.30s]
雨の日、客足が途絶えた店内で、彼がコーヒーを淹れてくれた。 [62:0.30s]
サイフォンで淹れる本格的なコーヒー。 [63:0.30s]
コポコポという音が心地よい。 [64:0.30s]
「古本屋のコーヒーは、少し苦いですよ。 [65:0.30s]
人生の澱（おり）みたいな味がする」 [66:0.25s]
「その苦さが、本の匂いに合うんです」 [67:0.25s]
カップを受け取る手が触れる。 [68:0.30s]
「美和子さんの声は、上質な紙のようだ」彼が不意に言った。 [69:0.30s]
「紙、ですか？ [70:0.30s]
」 [71:0.25s]
「ええ。 [72:0.30s]
めくるたびに新しい発見がある。 [73:0.30s]
そして、指に馴染む。 [74:0.30s]
いつまでも触れていたいと思わせる。 [75:0.30s]
パルプの温かみがある」 [76:0.25s]
「……褒め言葉として受け取っておきます。 [77:0.30s]
少し古びていますが」 [78:0.25s]
「古びているんじゃない。 [79:0.30s]
時を経て、味わい深くなっているんです。 [80:0.30s]
ヴィンテージですよ。 [81:0.30s]
新品にはない魅力だ」 [82:0.25s]
照れ隠しにコーヒーを啜る。 [83:0.30s]
湯気越しに彼の目を見る。 [84:0.30s]
知性的な瞳の奥に、少年のごとき情熱が揺れているのを見た。 [85:0.30s]
ある日、彼が店の奥から一冊のノートを持ってきた。 [86:0.30s]
大学ノートのような、簡素なものだ。 [87:0.30s]
「これは？ [88:0.30s]
」 [89:0.25s]
「僕の読書記録です。 [90:0.30s]
よかったら、あなたの感想も書き加えてくれませんか。 [91:0.30s]
交換日記みたいで恥ずかしいですが」 [92:0.25s]
交換日記のような、秘密の共有。 [93:0.30s]
私はペンを取り、最近読んだ小説の感想を書いた。 [94:0.30s]
『行間の静けさが好きです。 [95:0.30s]
言わないことで伝わる想いがある。 [96:0.30s]
谷崎潤一郎の陰翳礼讃のように』 [97:0.25s]
数日後、彼からの返信が書かれていた。 [98:0.30s]
『その静けさに、あなたの声が重なると、物語が色づきます。 [99:0.30s]
僕の店に色がつく。 [100:0.30s]
あなたの文字は、美しい。 [101:0.30s]
凛としている』 [102:0.25s]
文字だけの会話。 [103:0.30s]
けれど、そこには声に出すよりも深い想いが込められていた。 [104:0.30s]
彼の筆跡は、几帳面で、でも少し右上がりだった。 [105:0.30s]
冬の夕暮れ。 [106:0.30s]
ストーブの前で並んで座り、一冊の画集を眺めた。 [107:0.30s]
石油ストーブの匂いと、赤い炎の揺らめき。 [108:0.30s]
雨漏りがして、天井から水滴が落ちてきた。 [109:0.30s]
「あ、いけない。 [110:0.30s]
本が濡れてしまう」 [111:0.25s]
彼は慌てて脚立に登り、天井の染みを拭いた。 [112:0.30s]
「支えます」 [113:0.25s]
私は脚立を抑えた。 [114:0.30s]
「すみません、ボロ家で」 [115:0.25s]
彼が降りてくる時、バランスを崩して私の方に倒れかかった。 [116:0.30s]
私は彼を受け止めた。 [117:0.30s]
彼の重みと、古着の匂い。 [118:0.30s]
「……大丈夫ですか」 [119:0.25s]
「ええ、ありがとう。 [120:0.30s]
君は、力持ちだね」 [121:0.25s]
「火事場の馬鹿力です」 [122:0.25s]
笑い合いながらも、すぐに離れるのが惜しかった。 [123:0.30s]
ページが破れている箇所があった。 [124:0.30s]
「直しましょう」 [125:0.25s]
彼が専用の糊と和紙を持ってきた。 [126:0.30s]
「手伝ってください」 [127:0.25s]
二人で頭を突き合わせて、破れたページを修復する。 [128:0.30s]
「息を止めて……そう、ゆっくり」 [129:0.25s]
彼の手が私の手を覆うようにして、紙を押さえる。 [130:0.30s]
「……治りましたね」 [131:0.25s]
「ええ。 [132:0.30s]
傷跡もまた、歴史です。 [133:0.30s]
この本は、僕たちが直したという記憶を刻んだ」 [134:0.25s]
距離が近すぎて、彼の整髪料の匂いがした。 [135:0.30s]
シトラスと、古い紙の匂い。 [136:0.30s]
「きれいな雪景色……」 [137:0.25s]
「今度、本当の雪を見に行きませんか」 [138:0.25s]
彼が誘ってくれた。 [139:0.30s]
「本の中だけじゃなく、現実の景色を、あなたと共有したい。 [140:0.30s]
インクの匂いではない、冷たい風の匂いを。 [141:0.30s]
そして、あなたの手の温かさを」 [142:0.25s]
その言葉は、どんな小説の名台詞よりも私の心に響いた。 [143:0.30s]
「……はい。 [144:0.30s]
連れて行ってください」 [145:0.25s]
帰り際、彼がしおりを一枚くれた。 [146:0.30s]
押し花が挟まれた手作りのしおり。 [147:0.30s]
スミレの花だ。 [148:0.30s]
花言葉は「小さな幸せ」。 [149:0.30s]
「読みかけのページに、挟んでください。 [150:0.30s]
僕だと思って」 [151:0.25s]
「……私の人生という本の、今のページに挟みます」 [152:0.25s]
キザなことを言ってしまったと後悔したが、彼は優しく微笑んでくれた。 [153:0.30s]
「光栄です。 [154:0.30s]
僕のページにも、あなたがいます。 [155:0.30s]
もう、栞（しおり）だらけですよ。 [156:0.30s]
どこを開いても、あなたがいる」 [157:0.25s]
店を出ると、冷たい風が吹いていた。 [158:0.30s]
マフラーを巻き直す。 [159:0.30s]
けれど、ポケットに入れたしおりと、指先に残る古本の感触が、私を温めてくれた。 [160:0.30s]
「また明日」 [161:0.25s]
「ええ、また明日」 [162:0.25s]
家に戻り、彼から借りた本を開く。 [163:0.30s]
ページの間から、古川堂の匂いがふわりと漂う。 [164:0.30s]
古川さんの匂いだ。 [165:0.30s]
「今日、どの一歩を選びましたか」 [166:0.25s]
本を閉じ、表紙を撫でる。 [167:0.30s]
物語はまだ終わらない。 [168:0.30s]
次のページをめくるのが、こんなにも楽しみになるなんて。 [169:0.30s]
静かな夜、私は活字の凸凹を指でなぞりながら、彼の声を思い出していた。 [170:0.30s]
『愛』という字の、確かな圧力を。 [171:0.30s]
そして、彼の指の熱を。 [172:0.30s]
読書灯の下で、私は一人、顔を赤らめた。 [173:0.30s]
