病院の朝は早い。 [1:0.30s]
カーテンの隙間から差し込む白々しい光で目が覚めた。 [2:0.30s]
時計の針はまだ六時を回ったばかりだ。 [3:0.30s]
田中美和子、六十七歳。 [4:0.30s]
私はベッドの上で、重たい身体を起こそうとした。 [5:0.30s]
左足に走る鈍い痛み。 [6:0.30s]
ズキリ、というよりも、鉛が入っているような重苦しさだ。 [7:0.30s]
「……はあ」 [8:0.25s]
思わずため息が漏れる。 [9:0.30s]
三週間前、自宅の階段で足を滑らせた。 [10:0.30s]
軽い脳梗塞の前兆によるめまいだった。 [11:0.30s]
幸い、発見が早かったため麻痺は残らなかったが、転倒した際に左足を骨折してしまった。 [12:0.30s]
夫を見送って七年。 [13:0.30s]
一人暮らしの気楽さと自由を謳歌していたつもりだったが、こうして入院してみると、自分がいかに脆い存在だったかを思い知らされる。 [14:0.30s]
配膳車が廊下を通る音。 [15:0.30s]
消毒液の匂い。 [16:0.30s]
隣のベッドの人の寝息。 [17:0.30s]
ここには「生活」の音があるようで、ない。 [18:0.30s]
あるのは「管理された時間」だけだ。 [19:0.30s]
「美和子さん、おはようございます。 [20:0.30s]
今日はいい天気ですよ」 [21:0.25s]
看護師の明るい声とともに、カーテンが開けられた。 [22:0.30s]
窓の外には、春の日差しが溢れている。 [23:0.30s]
「……おはようございます」 [24:0.25s]
「今日のリハビリは午後からですね。 [25:0.30s]
午前中は少し中庭でも散歩してきますか？ [26:0.30s]
」 [27:0.25s]
「ええ……そうね」 [28:0.25s]
気乗りはしなかったが、ベッドに縛り付けられているような閉塞感から逃れたくて、私は頷いた。 [29:0.30s]
松葉杖をついて、長い廊下を歩く。 [30:0.30s]
コツ、コツ、という乾いた音が、私の孤独を強調するようだった。 [31:0.30s]
すれ違う患者さんたちの、どこか虚ろな目。 [32:0.30s]
私も同じ目をしているのだろうか。 [33:0.30s]
中庭に出ると、風が少し冷たかったが、日差しは暖かかった。 [34:0.30s]
ベンチに腰を下ろし、杖を横に置く。 [35:0.30s]
ふと、左足を見る。 [36:0.30s]
ギプスは取れたものの、まだサポーターが痛々しい。 [37:0.30s]
「……情けないわね」 [38:0.25s]
誰にともなく呟いた時だった。 [39:0.30s]
「大丈夫ですか。 [40:0.30s]
顔色が優れないようですが」 [41:0.25s]
隣のベンチに座っていた男性が、声をかけてきた。 [42:0.30s]
野村康平さん。 [43:0.30s]
入院着の上からでも分かる、がっしりとした体格の良さ。 [44:0.30s]
白髪だが、肌つやは良く、七十二歳という年齢よりも若く見えた。 [45:0.30s]
彼もまた、右足にサポーターをしている。 [46:0.30s]
「……すみません。 [47:0.30s]
少し、自分の不甲斐なさに落ち込んでしまって。 [48:0.30s]
こんな歳になって、階段から落ちるなんて」 [49:0.25s]
私が正直に言うと、彼は豪快に笑った。 [50:0.30s]
「ハハッ、分かりますよ。 [51:0.30s]
僕も最初はそうでした。 [52:0.30s]
現場監督として何十年も足場を走り回っていたのに、孫の三輪車につまずいてこれですから」 [53:0.25s]
彼は自分の右足を叩いた。 [54:0.30s]
「骨折のリハビリです。 [55:0.30s]
情けないやら、悔しいやら」 [56:0.25s]
「まあ、現場監督さんだったんですか」 [57:0.25s]
「ええ。 [58:0.30s]
声を張り上げるのが仕事でした。 [59:0.30s]
だから声だけは大きい」 [60:0.25s]
彼の屈託のない笑顔につられて、私も少し笑ってしまった。 [61:0.30s]
「もしよかったら、少し歩きませんか？ [62:0.30s]
一人だと怖くても、二人ならなんとかなる。 [63:0.30s]
お互い、杖代わりになりましょう」 [64:0.25s]
彼が立ち上がり、手を差し出した。 [65:0.30s]
大きな、節くれだった手。 [66:0.30s]
私は少し迷ったが、その手を取ることにした。 [67:0.30s]
「……お願いします」 [68:0.25s]
彼の手は、驚くほど温かかった。 [69:0.30s]
そして、固かった。 [70:0.30s]
私の身体を支えるために、彼の腕に力が入るのが伝わってくる。 [71:0.30s]
「一、二、一、二」 [72:0.25s]
彼が声をかけてくれる。 [73:0.30s]
まるで行進曲のような、力強いリズム。 [74:0.30s]
「あなたの声、響きますね」 [75:0.25s]
「腹から出していますから。 [76:0.30s]
……足、痛くないですか？ [77:0.30s]
」 [78:0.25s]
「いえ、不思議と。 [79:0.30s]
あなたが支えてくれているから、痛みが逃げていくみたい」 [80:0.25s]
中庭を一周するのに、普段の何倍もの時間がかかった。 [81:0.30s]
けれど、その時間は苦痛ではなかった。 [82:0.30s]
彼の体温、息遣い、そして励ましの声。 [83:0.30s]
「美和子さん、あなたは姿勢がいい。 [84:0.30s]
きっと、すぐに歩けるようになりますよ」 [85:0.25s]
「野村さんも。 [86:0.30s]
その力強さがあれば、現場復帰も夢じゃないです」 [87:0.25s]
お互いを励まし合う言葉が、乾いた心に染み渡っていくようだった。 [88:0.30s]
それから、私たちはリハビリの「戦友」になった。 [89:0.30s]
リハビリ室で顔を合わせると、どちらからともなく合図を送る。 [90:0.30s]
平行棒の中を歩く私を、彼が腕組みをして見守ってくれる。 [91:0.30s]
「右足の踏み込みが甘い！ [92:0.30s]
もっと信じて！ [93:0.30s]
地面は逃げない！ [94:0.30s]
」 [95:0.25s]
「はい！ [96:0.30s]
」 [97:0.25s]
彼の檄が飛ぶと、不思議と力が出る。 [98:0.30s]
逆に彼がマシントレーニングをしている時は、私が声をかける。 [99:0.30s]
「野村さん、呼吸が止まってますよ！ [100:0.30s]
吸って、吐いて！ [101:0.30s]
」 [102:0.25s]
「おっと、いけない。 [103:0.30s]
美和子さんに見られていると、力が入ってしまうな」 [104:0.25s]
汗を拭う彼と視線が絡む。 [105:0.30s]
病院という、死と隣り合わせの無機質な空間。 [106:0.30s]
消毒液と湿布の匂いが充満する部屋。 [107:0.30s]
けれど、私たちの周りだけは、生々しい人間同士の熱気が渦巻いていた。 [108:0.30s]
ある雨の日。 [109:0.30s]
中庭には出られず、談話室のソファーで並んで座っていた。 [110:0.30s]
窓ガラスを叩く雨粒を眺めながら、彼がポツリと言った。 [111:0.30s]
「妻を亡くしてから、誰かに支えられるという経験がなかったんです。 [112:0.30s]
いつも支える側でした」 [113:0.25s]
「……私もです。 [114:0.30s]
夫を見送って七年。 [115:0.30s]
一人で何でもできると思っていました。 [116:0.30s]
誰にも迷惑をかけずに死ぬのが目標でした」 [117:0.25s]
「男は弱いですね。 [118:0.30s]
一人になると、急に脆くなる」 [119:0.25s]
「女も同じですよ。 [120:0.30s]
強がっているだけ」 [121:0.25s]
