1600年間、人類から隠され続けてきた一冊の本があります。 [1:0.30s]
もし、あなたが信じているキリスト教の歴史が、ある組織によって都合よく書き換えられたものだとしたら、どうしますか？ [2:0.30s]
1945年12月。 [3:0.30s]
エジプトのナグ・ハマディという場所で、一人の農夫が奇妙な発見をしました。 [4:0.30s]
それは、崖の下に埋められていた、高さ60センチほどの素焼きの壺です。 [5:0.30s]
蓋はタールで厳重に密閉され、まるで誰かに見つけられるのを待っていたかのように、ひっそりとそこにありました。 [6:0.30s]
農夫がその壺を割った瞬間、歴史の闇に葬られていた不都合な真実が、1600年の沈黙を破って溢れ出しました。 [7:0.30s]
中に入っていたのは、13冊の古びた革表紙の本。 [8:0.30s]
その中の一冊こそが、バチカンが何世紀にもわたって存在しないことにしてきた禁断の書、トマスによる福音書でした。 [9:0.30s]
なぜ、この本は隠されたのでしょうか？ [10:0.30s]
答えはシンプルです。 [11:0.30s]
そこに書かれているイエスの言葉が、教会のビジネスモデルを根底から破壊するものだったからです。 [12:0.30s]
教会は言います。 [13:0.30s]
神に会いたければ、教会に来なさい。 [14:0.30s]
司祭を通しなさい。 [15:0.30s]
そして、寄付をしなさい、と。 [16:0.30s]
しかし、この本の中でイエスはこう言っていたのです。 [17:0.30s]
神は建物の中にはいない。 [18:0.30s]
あなたの心の中にいる。 [19:0.30s]
もしこれが本当なら、巨大な大聖堂も、豪華な衣装を着た司祭も、高価な免罪符も、すべて無意味になります。 [20:0.30s]
神と人間との間に、仲介業者はいらない。 [21:0.30s]
これは、当時の宗教ビジネスにとって、あまりにも危険な営業妨害でした。 [22:0.30s]
だから、彼らはこの本を悪魔の書と呼び、徹底的に焼き払いました。 [23:0.30s]
しかし、一人の名もなき修道士が、命がけでこの本を壺に入れ、砂漠に埋めたのです。 [24:0.30s]
いつか、真実が明らかになる日を信じて。 [25:0.30s]
今夜は、この埋められたタイムカプセルを開封します。 [26:0.30s]
難しい宗教の話ではありません。 [27:0.30s]
これは、権力によって消された真実を取り戻す物語です。 [28:0.30s]
なぜ、私たちは信じることを強要され、知ることを禁じられてきたのか？ [29:0.30s]
その答えを知った時、あなたの世界の見え方は、少し変わるかもしれません。 [30:1.00s]
第1章：砂漠のタイムカプセル—1945年の発見 [31:1.00s]
