私たちは、一体どこから来たのでしょうか。 [1:0.30s]
学校の教科書では、生命は地球の原始の海で偶然生まれ、長い年月をかけて進化したと教えられてきました。 [2:0.30s]
チャールズ・ダーウィンの進化論に基づいた、この説明が、現代科学の常識とされています。 [3:0.30s]
しかし、その最初の生命が、あまりにも精巧で複雑すぎるという事実に、多くの科学者が頭を悩ませてきました。 [4:0.30s]
何もない無機物から、自己を複製する生命という奇跡が、本当に偶然だけで起こり得るのでしょうか。 [5:0.30s]
その確率は、あまりにも低すぎるのではないか。 [6:0.30s]
もし、その最初の生命の種が、地球の外、遥かなる宇宙からやってきたとしたら。 [7:0.30s]
今夜は、ダーウィンの常識を覆すかもしれない、壮大な仮説、パンスペルミア説の扉を、静かに開いてみることにしましょう。 [8:1.00s]
第1章：生命誕生の謎 [9:1.00s]
地球が誕生したのは、今から約46億年前のことです。 [10:0.30s]
灼熱のマグマに覆われた死の星だった地球が、徐々に冷え、海ができ、大気が形成されていきました。 [11:0.30s]
そして、約38億年前、地球に最初の生命が誕生したと考えられています。 [12:0.30s]
しかし、そこには大きな謎があります。 [13:0.30s]
地球が生命を育める環境になってから、わずか数億年という短い期間で、生命が誕生したということです。 [14:0.30s]
しかも、その最初の生命は、すでに驚くほど複雑な構造を持っていました。 [15:0.30s]
生命の最小単位である細胞は、DNAという遺伝情報を持ち、自己を複製する仕組みを備えています。 [16:0.30s]
このDNAは、4種類の塩基が複雑に組み合わさった、精巧な分子構造です。 [17:0.30s]
このような複雑な構造が、無機物からランダムな化学反応だけで偶然できあがる確率は、どれくらいなのでしょうか。 [18:0.30s]
数学者フレッド・ホイルは、この確率を計算し、次のように例えました。 [19:0.30s]
それは、竜巻が廃品置き場を吹き抜けた結果、偶然にも完璧に機能するジャンボジェット機ができあがるようなものだ、と。 [20:0.30s]
つまり、限りなくゼロに近い確率だということです。 [21:1.00s]
第2章：宇宙から来た生命の種 [22:1.00s]
パンスペルミア説とは、生命の起源は地球ではなく、宇宙にあるという仮説です。 [23:0.30s]
パンスペルミアとは、ギリシャ語で全ての種子という意味を持ちます。 [24:0.30s]
この説によれば、宇宙空間には生命の種、あるいは生命そのものが漂っており、それが隕石や彗星に乗って地球に運ばれたというのです。 [25:0.30s]
荒唐無稽な仮説に聞こえるかもしれません。 [26:0.30s]
しかし、この説は19世紀から多くの科学者たちによって真剣に議論されてきました。 [27:0.30s]
そして、近年の宇宙探査と隕石の分析によって、この説を支持するかのような証拠が次々と見つかっています。 [28:0.30s]
1969年、オーストラリアに落下したマーチソン隕石を分析した結果、その中から70種類以上ものアミノ酸が検出されました。 [29:0.30s]
アミノ酸は、生命の基本的な構成要素です。 [30:0.30s]
つまり、宇宙空間には、生命の材料が確かに存在するということです。 [31:0.30s]
さらに驚くべきことに、2001年、インドのケララ州に赤い雨が降りました。 [32:0.30s]
この赤い雨から採取された粒子を分析したところ、細胞壁を持つ生物のような構造が確認されたのです。 [33:0.30s]
科学者たちは、この粒子が地球外から来た微生物の可能性があると指摘しました。 [34:0.30s]
もちろん、これについては異論も多く、結論は出ていません。 [35:0.30s]
しかし、宇宙から生命の種が降り注いでいる可能性を、完全に否定することはできないのです。 [36:1.00s]
第3章：極限環境に生きる生命 [37:1.00s]
パンスペルミア説に対する最大の批判は、宇宙空間は生命にとって過酷すぎる環境だというものでした。 [38:0.30s]
真空、極度の低温、そして強烈な宇宙線。 [39:0.30s]
そんな場所で、生命が生き延びられるはずがない、と。 [40:0.30s]
しかし、この常識も覆されつつあります。 [41:0.30s]
地球上には、クマムシという生物がいます。 [42:0.30s]
体長わずか1ミリ以下の小さな生物ですが、その生命力は驚異的です。 [43:0.30s]
クマムシは、乾燥状態になると、代謝を完全に停止させ、仮死状態に入ります。 [44:0.30s]
この状態で、マイナス273度の極低温にも、150度の高温にも耐えることができます。 [45:0.30s]
さらに、真空状態や、人間なら即死するレベルの放射線にさえ耐えられるのです。 [46:0.30s]
2007年、欧州宇宙機関は、クマムシを宇宙空間に10日間さらす実験を行いました。 [47:0.30s]
結果は驚くべきものでした。 [48:0.30s]
クマムシは、宇宙空間の過酷な環境を生き延び、地球に帰還した後、再び活動を始めたのです。 [49:0.30s]
この実験は、生命が宇宙空間を移動できる可能性を示しました。 [50:0.30s]
もし、クマムシのような生物が隕石の内部に守られていたら、何百万年もの宇宙旅行を生き延びることができるかもしれません。 [51:1.00s]
第4章：火星から来た生命 [52:1.00s]
