15世紀のイタリアで、人類が解読できない謎の古文書が作られました。 [1:0.30s]
その名はヴォイニッチ手稿。 [2:0.30s]
全240ページにわたって、奇妙な文字と不可解な挿絵が描かれています。 [3:0.30s]
植物らしきもの、星座のような図形、裸の女性たちが浴槽に浸かる謎の場面。 [4:0.30s]
600年が経った今も、誰一人としてこの文書を解読できていません。 [5:0.30s]
暗号解読の専門家が挑みました。 [6:0.30s]
言語学者が分析しました。 [7:0.30s]
コンピュータが何十億通りのパターンを試しました。 [8:0.30s]
そして2023年、最新のAI ChatGPT-4でさえ、この文書の意味を理解できませんでした。 [9:0.30s]
なぜこれほどまでに解読が不可能なのでしょうか。 [10:0.30s]
そもそも、なぜこのような文書が作られたのでしょうか。 [11:0.30s]
今夜は、人類最大の未解決ミステリー、ヴォイニッチ手稿の謎に迫ります。 [12:1.00s]
第1章：発見の瞬間 [13:1.00s]
1912年、イタリアの古書商ウィルフリッド・ヴォイニッチが、ローマ近郊のモンドラゴーネ修道院で古文書を発見しました。 [14:0.30s]
修道院の蔵書室の奥深く、埃をかぶった木箱の中にそれはありました。 [15:0.30s]
羊皮紙で作られた分厚い本。 [16:0.30s]
表紙には何の説明もありませんでした。 [17:0.30s]
ページを開いたヴォイニッチは、目を疑いました。 [18:0.30s]
そこに書かれていたのは、見たこともない文字でした。 [19:0.30s]
アルファベットでもなく、ギリシャ文字でもなく、ヘブライ文字でもありません。 [20:0.30s]
まったく未知の文字体系です。 [21:0.30s]
しかも、その文字で書かれた文章は、何らかの規則性を持っているように見えました。 [22:0.30s]
ランダムな落書きではなく、意味のある文章のようです。 [23:0.30s]
挿絵も奇妙でした。 [24:0.30s]
この世に存在しない植物が描かれています。 [25:0.30s]
見たこともない星座の図が並んでいます。 [26:0.30s]
裸の女性たちが、管でつながれた浴槽に浸かっている不可解な場面もあります。 [27:0.30s]
ヴォイニッチは、これが何か重要な文書だと直感しました。 [28:0.30s]
しかし彼は、その内容を一文字も読むことができませんでした。 [29:0.30s]
彼はこの文書をアメリカに持ち帰り、専門家たちに見せました。 [30:0.30s]
しかし誰一人として、解読できる人はいませんでした。 [31:1.00s]
第2章：暗号解読者たちの挑戦 [32:1.00s]
第一次世界大戦後、ヴォイニッチ手稿はアメリカの暗号解読の専門家たちの手に渡りました。 [33:0.30s]
その中には、第一次大戦で敵国の暗号を解読した伝説的な専門家もいました。 [34:0.30s]
彼らは、これを単なる暗号だと考えました。 [35:0.30s]
複雑な暗号ではあるが、解読は可能だろう、と。 [36:0.30s]
しかし何年かけても、彼らは一文字も解読できませんでした。 [37:0.30s]
アルファベットへの置き換えを試みました。 [38:0.30s]
しかし意味のある文章になりません。 [39:0.30s]
数学的なパターンを探しました。 [40:0.30s]
しかし規則性は見つかりませんでした。 [41:0.30s]
第二次世界大戦中、暗号解読の天才ウィリアム・フリードマンが挑戦しました。 [42:0.30s]
彼は、日本軍の暗号パープルを解読した男です。 [43:0.30s]
フリードマンは、仲間の専門家たちと20年以上にわたってヴォイニッチ手稿を研究しました。 [44:0.30s]
しかし結論は、絶望的なものでした。 [45:0.30s]
これは既知のどの言語とも一致しない、と。 [46:0.30s]
1970年代、コンピュータが登場しました。 [47:0.30s]
研究者たちは、コンピュータの力を使えば解読できると期待しました。 [48:0.30s]
何百万通り、何十億通りのパターンをコンピュータに試させました。 [49:0.30s]
しかしコンピュータも、答えを見つけることができませんでした。 [50:1.00s]
第3章：AIでさえ解読不能 [51:1.00s]
2023年、人類は最も強力な言語AIを手に入れました。 [52:0.30s]
GPT-4です。 [53:0.30s]
これは、100以上の言語を理解し、古代の死語さえも翻訳できます。 [54:0.30s]
暗号を解読し、パターンを見つける能力は、人間を遥かに超えています。 [55:0.30s]
研究者たちは、ヴォイニッチ手稿の画像をGPT-4に入力しました。 [56:0.30s]
AIは数秒で何千ものパターンを分析しました。 [57:0.30s]
既知のすべての言語、すべての暗号と照合しました。 [58:0.30s]
しかしAIの答えは、こうでした。 [59:0.30s]
解読不能。 [60:0.30s]
このテキストは、既知のどの言語パターンとも一致しない。 [61:0.30s]
人工的な言語でもない。 [62:0.30s]
ランダムな文字列でもない。 [63:0.30s]
何らかの規則性はあるが、その規則が何なのか、判別できない。 [64:0.30s]
これは人類史上、AIでさえ理解できない唯一の文書です。 [65:0.30s]
GoogleのDeep Mind、MicrosoftのBing AI、OpenAIのGPT-4。 [66:0.30s]
すべての最先端AIが挑戦しました。 [67:0.30s]
しかしすべて失敗しました。 [68:0.30s]
AIは、数秒で何百万ものパターンを試すことができます。 [69:0.30s]
古代エジプトの象形文字を解読できます。 [70:0.30s]
失われた言語を復元できます。 [71:0.30s]
しかしヴォイニッチ手稿だけは、どのAIも理解できません。 [72:0.30s]
2024年、量子コンピュータを使った解読も試みられました。 [73:0.30s]
量子コンピュータは、従来のコンピュータの何億倍も高速です。 [74:0.30s]
しかし結果は同じでした。 [75:0.30s]
解読不能。 [76:0.30s]
なぜでしょうか。 [77:0.30s]
一つの可能性は、これが失われた言語で書かれているということです。 [78:0.30s]
すでに絶滅した文明の言語。 [79:0.30s]
しかし15世紀のイタリアには、すでに絶滅した文明など存在していませんでした。 [80:0.30s]
もう一つの可能性は、これが意図的に解読不能に作られたということです。 [81:0.30s]
しかし、なぜそんなことをする必要があるのでしょうか。 [82:0.30s]
隠したい情報があるなら、普通の暗号で十分です。 [83:0.30s]
なぜAIでも解けない暗号を作る必要があるのでしょうか。 [84:0.30s]
答えは一つしかありません。 [85:0.30s]
この情報は、特定の時代の人間にしか理解できないように作られているのです。 [86:0.30s]
その時代とは、いつでしょうか。 [87:0.30s]
もしかしたら、今ではないかもしれません。 [88:1.00s]
第4章：異端の錬金術師 [89:1.00s]
ヴォイニッチ手稿の作者については、いくつかの説があります。 [90:0.30s]
最も有力な説の一つは、ロジャー・ベーコンが作者だというものです。 [91:0.30s]
ベーコンは13世紀のイギリスの修道士でしたが、同時に科学者でもありました。 [92:0.30s]
彼は錬金術、光学、数学を研究し、多くの著作を残しました。 [93:0.30s]
しかし彼の研究の多くは、教会から異端視されていました。 [94:0.30s]
なぜなら彼は、聖書の教えよりも、実験と観察を重視したからです。 [95:0.30s]
これは当時の教会にとって、許しがたい冒涜でした。 [96:0.30s]
ベーコンは何度も異端審問にかけられ、投獄されました。 [97:0.30s]
彼は自分の知識を守るために、暗号で書き残したのではないかと言われています。 [98:0.30s]
ヴォイニッチ手稿が、その暗号文書だというのです。 [99:0.30s]
しかし炭素年代測定の結果、ヴォイニッチ手稿は15世紀初頭に作られたことが判明しています。 [100:0.30s]
ベーコンは13世紀の人物です。 [101:0.30s]
時代が合いません。 [102:0.30s]
では、誰が作ったのでしょうか。 [103:0.30s]
