聖書の最終章、ヨハネの黙示録。 [1:0.30s]
そこには、世界の終わりについて書かれています。 [2:0.30s]
7つの封印が解かれる時、4人の騎士が現れ、地上に災いをもたらす。 [3:0.30s]
そして最後に、獣が現れ、すべての人間に刻印を押す。 [4:0.30s]
その刻印がなければ、物を買うことも売ることもできない。 [5:0.30s]
その数字は666。 [6:0.30s]
これは単なる古代の神話でしょうか。 [7:0.30s]
それとも、未来への予言なのでしょうか。 [8:0.30s]
今、私たちの世界で起きている出来事が、この予言と奇妙に一致しているとしたら。 [9:0.30s]
疫病、戦争、異常気象。 [10:0.30s]
そして、すべてを管理しようとするデジタル社会。 [11:0.30s]
私たちは今、黙示録の時代を生きているのかもしれません。 [12:0.30s]
今夜は、ヨハネの黙示録に記された恐るべき予言と、現代社会との驚くべきリンクについて探求していきます。 [13:1.00s]
第1章：パトモス島の幻視 [14:1.00s]
紀元95年頃、エーゲ海に浮かぶ小さな島、パトモス島。 [15:0.30s]
ローマ帝国によって追放された老人ヨハネは、洞窟の中で祈りを捧げていました。 [16:0.30s]
彼はイエス・キリストの12使徒の一人で、唯一殉教を免れた人物でした。 [17:0.30s]
ある日、彼の背後でラッパのような大声が響きました。 [18:0.30s]
振り返ると、そこには光り輝く存在が立っていました。 [19:0.30s]
その存在はヨハネに言いました。 [20:0.30s]
「あなたが見ることを書き記し、7つの教会に送りなさい」 [21:0.25s]
そしてヨハネは、天の扉が開くのを見ました。 [22:0.30s]
そこで彼が見たのは、人類の未来、世界の終わりの光景でした。 [23:0.30s]
彼は震える手で、その幻視を羊皮紙に書き記しました。 [24:0.30s]
それが「ヨハネの黙示録」です。 [25:0.30s]
パトモス島の洞窟は、今も黙示録の洞窟として残っています。 [26:0.30s]
薄暗い洞窟の中で、老いたヨハネは一人、人類の運命を見つめていたのです。 [27:0.30s]
彼が見た光景は、あまりにも恐ろしいものでした。 [28:0.30s]
しかし同時に、神の栄光に満ちたものでもありました。 [29:0.30s]
この書物は、新約聖書の中で唯一の預言書です。 [30:0.30s]
そして最も難解で、恐ろしい書物でもあります。 [31:0.30s]
多くの神学者が解釈を試みましたが、完全な理解には至っていません。 [32:0.30s]
しかし、時代が進むにつれて、その内容が現実味を帯びてきているのです。 [33:1.00s]
第2章：4人の騎士 [34:1.00s]
封印が解かれると、4人の騎士が現れます。 [35:0.30s]
第一の騎士は、白い馬に乗っています。 [36:0.30s]
彼は弓を持ち、冠をかぶっています。 [37:0.30s]
これは支配や勝利を象徴し、偽の救世主や侵略者を表すと言われています。 [38:0.30s]
第二の騎士は、赤い馬に乗っています。 [39:0.30s]
彼は大きな剣を持っています。 [40:0.30s]
これは戦争を象徴し、地上から平和を奪い取ります。 [41:0.30s]
第三の騎士は、黒い馬に乗っています。 [42:0.30s]
彼は秤を持っています。 [43:0.30s]
これは飢饉を象徴し、食糧不足と経済崩壊を表します。 [44:0.30s]
第四の騎士は、青白い馬に乗っています。 [45:0.30s]
彼の名は死。 [46:0.30s]
黄泉が彼に従っています。 [47:0.30s]
これは疫病や死そのものを象徴します。 [48:0.30s]
これら4人の騎士によって、地上の4分の1が死滅すると予言されています。 [49:0.30s]
歴史を振り返ると、これらの騎士は何度も現れているように見えます。 [50:0.30s]
14世紀のペスト（黒死病）は、当時のヨーロッパ人口の3分の1を奪いました。 [51:0.30s]
これはまさに死の騎士の行進でした。 [52:0.30s]
20世紀の二つの世界大戦。 [53:0.30s]
赤い馬に乗った騎士が、巨大な剣を振るった時代です。 [54:0.30s]
何千万人もの命が失われました。 [55:0.30s]
そして現代。 [56:0.30s]
私たちは再び、4人の騎士の足音を聞いています。 [57:0.30s]
ウクライナや中東での紛争。 [58:0.30s]
アフリカやアジアでの深刻な食糧危機。 [59:0.30s]
そして、世界中を恐怖に陥れた新型コロナウイルス。 [60:0.30s]
これらは単発の出来事ではありません。 [61:0.30s]
すべてがつながっているのです。 [62:0.30s]
戦争が起きれば、物流が止まり、食糧不足になります。 [63:0.30s]
食糧不足は人々の免疫力を下げ、疫病が蔓延しやすくなります。 [64:0.30s]
そして疫病は社会を混乱させ、新たな争いを生みます。 [65:0.30s]
4人の騎士は、連携して動いているのです。 [66:0.30s]
彼らの目的は一つ。 [67:0.30s]
人類の数を減らすことです。 [68:1.00s]
第3章：7つのラッパと環境破壊 [69:1.00s]
