世界を裏で操る秘密結社、フリーメイソン。 [1:0.30s]
その名は誰もが一度は聞いたことがあるでしょう。 [2:0.30s]
アメリカの1ドル紙幣に描かれたピラミッドと万物を見通す目。 [3:0.30s]
首都ワシントンD. [4:0.25s]
C. [5:0.25s]
の都市計画に隠された幾何学模様。 [6:0.30s]
歴代アメリカ大統領の多くがメンバーだったという事実。 [7:0.30s]
彼らは単なる友愛団体なのでしょうか。 [8:0.30s]
それとも、世界統一政府の樹立を目論む闇の組織なのでしょうか。 [9:0.30s]
陰謀論の代名詞とも言えるフリーメイソン。 [10:0.30s]
しかし、その実態は厚いベールに包まれています。 [11:0.30s]
今夜は、歴史の影で暗躍し続ける謎の組織、フリーメイソンの真実に迫ります。 [12:1.00s]
第1章：石工たちの組合 [13:1.00s]
フリーメイソンの起源は、中世ヨーロッパの石工職人組合（ギルド）にあると言われています。 [14:0.30s]
当時、巨大なゴシック建築の大聖堂を作る石工たちは、高度な技術を持っていました。 [15:0.30s]
彼らは国境を越えて自由に移動できる特権を持ち、「自由な石工（Free Mason）」と呼ばれていました。 [16:0.30s]
彼らは自分たちの技術を秘密にするため、独自の合言葉や握手の方法（グリップ）を使って、仲間を確認し合っていました。 [17:0.30s]
これが、現在のフリーメイソンの儀式の原型です。 [18:0.30s]
しかし、大聖堂建設の時代が終わると、石工たちの仕事は減っていきました。 [19:0.30s]
そこで彼らは、貴族や知識人など、石工以外のメンバーを受け入れるようになりました。 [20:0.30s]
こうして、実務的な石工組合から、思想的な友愛団体へと変貌を遂げたのです。 [21:0.30s]
これを「思索的フリーメイソンリー（Speculative Masonry）」と呼びます。 [22:0.30s]
彼らは、石工の道具を道徳的な教訓のシンボルとして使いました。 [23:0.30s]
直角定規は「道徳的な正しさ」、コンパスは欲望の抑制、水平器は平等を表します。 [24:0.30s]
彼らは、自分自身を荒削りな石に見立て、それを磨き上げて完璧な石にすることを目指しました。 [25:0.30s]
つまり、人格の完成です。 [26:0.30s]
1717年、ロンドンで最初のグランド・ロッジが結成されました。 [27:0.30s]
これが近代フリーメイソンの始まりです。 [28:0.30s]
この時代は啓蒙時代と呼ばれ、理性や科学が重視され始めた時期でした。 [29:0.30s]
フリーメイソンは、新しい知識や思想を持つ人々が集まるサロンのような役割を果たしました。 [30:0.30s]
アイザック・ニュートンやヴォルテールといった当時の知識人たちも、メイソンと深い関わりを持っていました。 [31:0.30s]
彼らが掲げた理念は「自由、平等、博愛」。 [32:0.30s]
当時の封建的な社会においては、革命的な思想でした。 [33:0.30s]
しかし、その自由を求める思想が、やがて世界を揺るがす大事件を引き起こすことになります。 [34:1.00s]
第2章：革命の影にメイソンあり [35:1.00s]
歴史上の大きな革命の裏には、必ずと言っていいほどフリーメイソンの影があります。 [36:0.30s]
最も有名なのは、アメリカ独立革命です。 [37:0.30s]
ジョージ・ワシントン、ベンジャミン・フランクリンなど、建国の父たちの多くがフリーメイソンのメンバーでした。 [38:0.30s]
独立宣言の署名者のうち、9人がメイソンだったと言われています。 [39:0.30s]
彼らは、王政による支配を否定し、民主主義による新しい国を作ろうとしました。 [40:0.30s]
その理想は、まさにフリーメイソンの理念そのものでした。 [41:0.30s]
フランス革命も同様です。 [42:0.30s]
「自由、平等、博愛」のスローガンは、フリーメイソンの標語と一致しています。 [43:0.30s]
革命を主導した多くの思想家や政治家が、ロッジに出入りしていました。 [44:0.30s]
彼らはロッジという秘密の場所で、身分の差を超えて議論し、革命の計画を練っていたのです。 [45:0.30s]
特に注目すべきは、ジャコバン派の存在です。 [46:0.30s]
恐怖政治を行ったロベスピエールをはじめ、ジャコバン派のリーダーたちの多くがメイソンでした。 [47:0.30s]
彼らは、王政を倒すだけでなく、キリスト教を否定し、理性の女神を崇拝する新しい宗教を作ろうとしました。 [48:0.30s]
これは、フリーメイソンの秘教的な思想と深く結びついています。 [49:0.30s]
革命のスローガン「自由、平等、博愛」は、表向きは美しい言葉です。 [50:0.30s]
しかし、その裏には「既存の秩序の破壊」という意図が隠されていたのかもしれません。 [51:0.30s]
さらに、イタリア統一運動、南米の独立運動、ロシア革命。 [52:0.30s]
これらすべての背後に、フリーメイソンのネットワークが存在していました。 [53:0.30s]
イタリアのガリバルディ、南米のシモン・ボリバル。 [54:0.30s]
