エジプトの砂漠にそびえ立つ、巨大な建造物。 [1:0.30s]
ギザの大ピラミッド。 [2:0.30s]
4500年前に作られたとされるこの遺跡は、現代の建築技術でも再現不可能だと言われています。 [3:0.30s]
平均2.5トンの石を230万個も積み上げ、誤差はわずか数ミリ。 [4:0.30s]
しかも、当時のエジプトには鉄の道具も、車輪さえもありませんでした。 [5:0.30s]
彼らは一体、どうやってこれを作ったのでしょうか。 [6:0.30s]
そして、何のために作ったのでしょうか。 [7:0.30s]
王の墓？ [8:0.30s]
いいえ、ピラミッドの中から王のミイラが見つかったことは、一度もありません。 [9:0.30s]
もし、ピラミッドが墓ではなかったとしたら。 [10:0.30s]
古代人が残した、巨大な装置だったとしたら。 [11:0.30s]
今夜は、人類史上最大のミステリー、ギザの大ピラミッドの真実に迫ります。 [12:1.00s]
第1章：不可能の証明 [13:1.00s]
大ピラミッドの建設には、現代の技術でも説明がつかない多くの謎があります。 [14:0.30s]
まず、その精度です。 [15:0.30s]
底辺の長さは230メートルありますが、4辺の長さの誤差はわずか58ミリ。 [16:0.30s]
方位の誤差に至っては、真北に対してわずか0.05度しかずれていません。 [17:0.30s]
これは、現代の天文台の建設基準に匹敵する精度です。 [18:0.30s]
コンパスもレーザー測量機もない時代に、どうやってこれほどの精度を出したのでしょうか。 [19:0.30s]
そして、石の加工技術。 [20:0.30s]
ピラミッドに使われている石灰岩や花崗岩は、非常に硬い石です。 [21:0.30s]
しかし、それらはまるで豆腐のように滑らかに切断され、紙一枚入らないほど密着して積まれています。 [22:0.30s]
当時の道具は、銅のノミと石のハンマーだけです。 [23:0.30s]
銅は柔らかすぎて、花崗岩を削ることはできません。 [24:0.30s]
考古学者たちは、砂を研磨剤として使って何十年もかけて削ったと言いますが、実験ではそのような精度は出せませんでした。 [25:0.30s]
さらに驚くべきは、石の運搬方法です。 [26:0.30s]
ピラミッドに使われた石材の一部は、800キロメートルも離れたアスワンから運ばれてきました。 [27:0.30s]
最大で80トンもある巨大な花崗岩を、どうやって運んだのでしょうか。 [28:0.30s]
ナイル川を船で運んだという説が有力ですが、当時の船で80トンの石を運ぶのは物理的に不可能です。 [29:0.30s]
また、砂漠の上をソリで引いたという説も、摩擦を考えると現実的ではありません。 [30:0.30s]
現代のクレーンでも持ち上げるのが難しい巨石を、彼らはまるで発泡スチロールのように軽々と扱っていたように見えます。 [31:0.30s]
もしかしたら、彼らは重力を制御する技術を持っていたのではないでしょうか。 [32:0.30s]
音波による浮遊技術や、反重力装置。 [33:0.30s]
世界中の巨石遺跡に残る伝説には、石が空を飛んで移動したという話が共通して存在します。 [34:0.30s]
彼らは、私たちが知らない失われた技術を持っていたのではないでしょうか。 [35:1.00s]
第2章：円周率と黄金比 [36:1.00s]
ピラミッドの形状には、高度な数学的知識が隠されています。 [37:0.30s]
底面の周囲の長さを高さの2倍で割ると、3.14159. [38:0.25s]
. [39:0.25s]
. [40:0.25s]
つまり、円周率（π）になります。 [41:0.30s]
また、側面の三角形の高さと底辺の半分の比率は、1.618. [42:0.25s]
. [43:0.25s]
. [44:0.25s]
つまり、黄金比（φ）になります。 [45:0.30s]
円周率が発見されたのは紀元前3世紀のギリシャ、黄金比が定義されたのもずっと後のことです。 [46:0.30s]
4500年前のエジプト人が、これを知っていたのでしょうか。 [47:0.30s]
さらに、ピラミッドの位置にも秘密があります。 [48:0.30s]
大ピラミッドは、地球の陸地全体の重心（地理的中心）に位置しているという説があります。 [49:0.30s]
これは、地球全体の地図を持っていなければ不可能な配置です。 [50:0.30s]
さらに、ピラミッドの高さ（146.6メートル）を43200倍すると、地球の半径（約6371キロメートル）とほぼ一致します。 [51:0.30s]
また、底面の周囲の長さを43200倍すると、地球の赤道の周囲の長さとほぼ一致します。 [52:0.30s]
43200という数字は、地球の歳差運動（地軸の首振り運動）に関連する重要な数字です。 [53:0.30s]
地球の歳差運動の周期は25920年。 [54:0.30s]
これを60で割ると432になります。 [55:0.30s]
つまり、ピラミッドは地球の縮図であり、同時に天体の動きを示す巨大な時計でもあるのです。 [56:0.30s]
彼らは、地球の大きさや形を正確に知っていたのでしょうか。 [57:0.30s]
宇宙から地球を見たことがなければ、これほどの知識を持つことは不可能です。 [58:1.00s]
第3章：オリオン座との相関関係 [59:1.00s]
1980年代、ロバート・ボーヴァルという研究者が驚くべき発見をしました。 [60:0.30s]
「オリオン・ミステリー」です。 [61:0.30s]
ギザにある3つのピラミッドの配置は、オリオン座の三つ星の配置と完全に一致しているというのです。 [62:0.30s]
星の明るさとピラミッドの大きさも対応しています。 [63:0.30s]
さらに、ナイル川を天の川に見立てると、地上の配置と天空の配置が完璧に重なります。 [64:0.30s]
しかし、現在の星空とは少しずれています。 [65:0.30s]
コンピュータで計算すると、この配置が完璧に一致するのは、紀元前10500年頃の星空でした。 [66:0.30s]
これは何を意味するのでしょうか。 [67:0.30s]
ピラミッドが作られたのは4500年前ではなく、実は1万年以上前だったのでしょうか。 [68:0.30s]
あるいは、4500年前のエジプト人が、1万年前の始まりの時を記念して作ったのでしょうか。 [69:0.30s]
スフィンクスもまた、紀元前10500年の春分の日の朝、真東に昇るしし座を見つめるように作られています。 [70:0.30s]
古代エジプト人は、天空の地図を地上に写し取ろうとしていたのです。 [71:0.30s]
古代エジプトには「ゼプ・テピ（初めの時）」という伝説があります。 [72:0.30s]
神々が地上を統治していた黄金時代の記憶です。 [73:0.30s]
彼らは、その時代の空の配置を、永遠に地上に残そうとしたのかもしれません。 [74:0.30s]
それは、神々へのラブレターだったのでしょうか。 [75:0.30s]
それとも、自分たちの起源を忘れないための記録だったのでしょうか。 [76:0.30s]
もしそうなら、ピラミッドは単なる墓ではなく、巨大な時計でありカレンダーでもあります。 [77:0.30s]
1万年という気の遠くなるような時間を計測するための装置。 [78:0.30s]
現代の私たちが、1万年後の未来にメッセージを残そうとしたら、何を使うでしょうか。 [79:0.30s]
言葉は変化し、デジタルデータは消えてしまいます。 [80:0.30s]
しかし、星の配置と巨石建造物は、永遠に残ります。 [81:0.30s]
彼らは、最も確実な方法で、未来の私たちに何かを伝えようとしたのです。 [82:1.00s]
第4章：王の間と未知の空間 [83:1.00s]
ピラミッドの内部には、王の間女王の間地下の間と呼ばれる3つの部屋があります。 [84:0.30s]
しかし、これらが何のために使われたのかは分かっていません。 [85:0.30s]
王の間にある石棺のような箱は、王の棺にしては小さすぎ、装飾もありません。 [86:0.30s]
しかも、入り口より大きいため、建設中に運び込まれたことになります。 [87:0.30s]
そして2017年、最新の素粒子物理学を使った調査で、衝撃的な発見がありました。 [88:0.30s]
ミューオンという素粒子を使ってピラミッドを透視したところ、大回廊の上に、旅客機がすっぽり入るほどの「巨大な空間（ビッグ・ヴォイド）」が見つかったのです。 [89:0.30s]
この空間には、入り口も通路もありません。 [90:0.30s]
完全に密閉されています。 [91:0.30s]
中には何があるのでしょうか。 [92:0.30s]
ファラオの真の埋葬室？ [93:0.30s]
古代の図書館？ [94:0.30s]
それとも、地球外生命体の痕跡？ [95:0.30s]
この空間は、ピラミッドの建設目的を解く鍵になるかもしれません。 [96:0.30s]
もしここに、王のミイラではなく、未知の機械や記録が見つかったら。 [97:0.30s]
これまでの歴史はすべて覆ることになります。 [98:0.30s]
また、王の間と女王の間からは、細い通気孔のようなトンネルが伸びています。 [99:0.30s]
しかし、これらは外には繋がっていません。 [100:0.30s]
途中で行き止まりになっているのです。 [101:0.30s]
1993年、ドイツの技術者が小型ロボット「ウプウアウト2号」を送り込み、このトンネルを調査しました。 [102:0.30s]
すると、行き止まりの先に、取っ手のついた小さな石の扉が見つかったのです。 [103:0.30s]
2002年には、その扉にドリルで穴を開け、ファイバースコープを挿入しました。 [104:0.30s]
すると、その奥にはさらに別の扉があったのです。 [105:0.30s]
まるでマトリョーシカのように、謎が謎を呼ぶ構造。 [106:0.30s]
彼らは何をそんなに厳重に隠したかったのでしょうか。 [107:0.30s]
エジプト政府はこの調査結果に慎重な姿勢を見せていますが、世界中の研究者が固唾を飲んで注目しています。 [108:1.00s]
第5章：発電所説 [109:1.00s]
もしピラミッドが墓でないなら、一体何なのでしょうか。 [110:0.30s]
近年、注目を集めているのが「古代の発電所説」です。 [111:0.30s]
クリストファー・ダンという技術者が提唱したこの説によると、ピラミッドは巨大なマイクロ波発電所だったというのです。 [112:0.30s]
