1947年7月、アメリカのニューメキシコ州ロズウェル。 [1:0.30s]
砂漠の真ん中で、ある事件が起きました。 [2:0.30s]
それは、人類の歴史を永遠に変えてしまうかもしれない出来事でした。 [3:0.30s]
地元の牧場主が発見した、奇妙な金属片。 [4:0.30s]
軍が発表した「空飛ぶ円盤を回収した」という衝撃的なプレスリリース。 [5:0.30s]
そして翌日、突如として撤回された前言。 [6:0.30s]
「あれはただの気象観測用気球だった」 [7:0.25s]
なぜ軍は、これほど重大な発表をたった一日で覆したのでしょうか。 [8:0.30s]
本当にただの間違いだったのでしょうか。 [9:0.30s]
それとも、何かを隠蔽しようとしたのでしょうか。 [10:0.30s]
回収されたのは、本当に気球だったのか。 [11:0.30s]
それとも、地球外から来た宇宙船だったのか。 [12:0.30s]
そして、そこに乗っていた乗員たちはどうなったのか。 [13:0.30s]
今夜は、UFO史上最大のミステリー、ロズウェル事件の真相に迫ります。 [14:1.00s]
第1章：嵐の夜の出来事 [15:1.00s]
1947年7月2日の夜、ロズウェル付近は激しい雷雨に見舞われていました。 [16:0.30s]
牧場主のマック・ブレイゼルは、雷鳴とは違う、奇妙な爆発音を聞いたといいます。 [17:0.30s]
翌朝、彼が牧場の点検に出かけると、そこには信じられない光景が広がっていました。 [18:0.30s]
見たこともない金属の破片が、広範囲にわたって散乱していたのです。 [19:0.30s]
その金属は、非常に薄くて軽いものでした。 [20:0.30s]
しかし、驚くほど頑丈でした。 [21:0.30s]
折り曲げてもすぐに元の形に戻り、ハンマーで叩いても傷一つつきません。 [22:0.30s]
燃やそうとしても燃えませんでした。 [23:0.30s]
ブレイゼルは、これが地球のものではないと直感しました。 [24:0.30s]
彼は破片の一部を拾い集め、保安官に届け出ました。 [25:0.30s]
保安官から連絡を受けたロズウェル陸軍飛行場のジェシー・マーセル少佐は、すぐに現場へ向かいました。 [26:0.30s]
彼もまた、その残骸を見て言葉を失いました。 [27:0.30s]
「これは、我々が知っているどんな航空機の一部でもない」 [28:0.25s]
マーセル少佐は、軍の精鋭部隊の情報将校です。 [29:0.30s]
彼が気球と航空機を見間違えるはずがありません。 [30:0.30s]
現場に散らばっていた残骸の量は、凄まじいものでした。 [31:0.30s]
幅数百メートル、長さ1キロメートル以上にわたって、破片が散乱していたといいます。 [32:0.30s]
もし気球なら、これほどの広範囲に破片が飛び散ることはあり得ません。 [33:0.30s]
何かが空中で大爆発を起こし、粉々になって墜落したのです。 [34:0.30s]
また、マーセル少佐は、現場でIビームと呼ばれる小さな棒状の部品を発見しました。 [35:0.30s]
そこには、ピンクや紫色の、奇妙な文字のような模様が描かれていました。 [36:0.30s]
彼はそれを「象形文字のようだった」と表現しています。 [37:0.30s]
これは、地球上のどの言語とも似ていませんでした。 [38:0.30s]
おそらく、宇宙船の制御システムの部品だったのでしょう。 [39:1.00s]
第2章：衝撃のプレスリリース [40:1.00s]
7月8日、ロズウェル陸軍飛行場は、歴史的なプレスリリースを発表しました。 [41:0.30s]
「第509爆撃航空群の職員が、ロズウェル近郊の牧場で空飛ぶ円盤を回収した」 [42:0.25s]
このニュースは瞬く間に世界中を駆け巡りました。 [43:0.30s]
「軍がUFOを捕獲した！ [44:0.30s]
」 [45:0.25s]
新聞の一面を飾り、ラジオが興奮気味に伝えました。 [46:0.30s]
第509爆撃航空群は、広島と長崎に原爆を投下した、世界最強の精鋭部隊です。 [47:0.30s]
そんな彼らが公式に発表したのですから、信憑性は疑いようもありませんでした。 [48:0.30s]
しかし、その興奮は長くは続きませんでした。 [49:0.30s]
わずか数時間後、第8航空軍の司令官ロジャー・ラミー准将が、この発表を全面的に撤回したのです。 [50:0.30s]
「回収されたのは空飛ぶ円盤ではなく、新型の気象観測用気球（レーウィン・ゾンデ）だった」 [51:0.25s]
記者会見が開かれ、ラミー准将の執務室で、銀紙のような残骸が公開されました。 [52:0.30s]
それは誰が見ても、ただの気球の残骸に見えました。 [53:0.30s]
記者会見が開かれ、ラミー准将の執務室で、銀紙のような残骸が公開されました。 [54:0.30s]
それは誰が見ても、ただの気球の残骸に見えました。 [55:0.30s]
しかし、現場にいたマーセル少佐の表情は、明らかに納得していないように見えました。 [56:0.30s]
彼は後にこう語っています。 [57:0.30s]
「あの会見で見せられたのは、すり替えられた偽物だった」と。 [58:0.30s]
マーセル少佐は、自宅に本物の残骸の一部を持ち帰っていました。 [59:0.30s]
彼はそれを家族に見せました。 [60:0.30s]
彼の息子、ジェシー・マーセル・ジュニアは当時11歳でしたが、その夜のことを鮮明に覚えています。 [61:0.30s]
「父は興奮して、台所のテーブルの上に残骸を広げた。 [62:0.30s]
