旧約聖書に記された、神の契約の箱アーク。 [1:0.30s]
モーゼが神から授かった十戒の石板を納めたとされる、黄金の箱です。 [2:0.30s]
映画『レイダース/失われたアーク』でも有名になりましたが、これは単なる伝説上の宝物ではありません。 [3:0.30s]
聖書には、アークが持つ恐るべき力が具体的に記されています。 [4:0.30s]
敵の軍勢を焼き払い、城壁を崩し、触れた者を即死させる。 [5:0.30s]
それはまるで、古代の大量破壊兵器のようです。 [6:0.30s]
アークは、ソロモン神殿の奥深くに安置されていましたが、紀元前587年のバビロン捕囚の際に忽然と姿を消しました。 [7:0.30s]
それ以来、2500年以上もの間、行方不明のままです。 [8:0.30s]
アークはどこへ消えたのでしょうか。 [9:0.30s]
エチオピアの教会？ [10:0.30s]
テンプル騎士団の地下倉庫？ [11:0.30s]
それとも、日本の伊勢神宮？ [12:0.30s]
今夜は、聖書最大のミステリー、失われたアークの行方を追います。 [13:1.00s]
第1章：神の兵器 [14:1.00s]
アークの形状については、聖書の出エジプト記に詳細な記述があります。 [15:0.30s]
アカシアの木で作られ、純金で覆われています。 [16:0.30s]
上部には、2体のケルビム（智天使）が翼を広げて向かい合っています。 [17:0.30s]
しかし、注目すべきはその機能です。 [18:0.30s]
アークは、常に雲や光に包まれていました。 [19:0.30s]
そして、アークから放たれる神の火は、敵対する軍隊を一瞬で焼き尽くしました。 [20:0.30s]
ヨルダン川の水をせき止めたり、エリコの城壁を崩壊させたりしたとも記されています。 [21:0.30s]
また、アークの取り扱いには厳重な注意が必要でした。 [22:0.30s]
祭司以外の者が触れることは禁じられており、不用意に触れたウザという人物は、その場で雷に打たれたように死んでしまいました。 [23:0.30s]
アークを奪ったペリシテ人の町では、疫病が蔓延し、多くの人々が腫れ物に苦しみました。 [24:0.30s]
これらの記述を現代の科学で読み解くと、ある一つの可能性が浮かび上がってきます。 [25:0.30s]
アークは、強力な電気装置あるいは放射能兵器だったのではないか。 [26:0.30s]
18世紀の物理学者ライデンが発明したライデン瓶という蓄電装置があります。 [27:0.30s]
ガラス瓶の内側と外側に金属箔を貼り、静電気を蓄える装置です。 [28:0.30s]
アークの構造は、このライデン瓶と驚くほど似ています。 [29:0.30s]
金は電気の良導体であり、アカシアの木は絶縁体です。 [30:0.30s]
これは、巨大なコンデンサー（蓄電器）の構造そのものです。 [31:0.30s]
2体のケルビムの翼は、放電するための電極だったのかもしれません。 [32:0.30s]
さらに、アークが置かれていた「幕屋（移動式神殿）」の構造も、静電気を蓄積しやすい構造になっていました。 [33:0.30s]
乾燥した砂漠地帯で、幕屋の布と動物の皮が擦れ合うことで、強力な静電気が発生します。 [34:0.30s]
その電気がアークに蓄積され、一気に放電される。 [35:0.30s]
それが神の火の正体だったのかもしれません。 [36:0.30s]
もしそうなら、モーゼは高度な電気工学の知識を持っていたことになります。 [37:0.30s]
彼はエジプトの王子として育てられ、当時の最高レベルの教育を受けていました。 [38:0.30s]
エジプトの神官たちが隠し持っていた失われた技術を、彼は知っていたのかもしれません。 [39:1.00s]
第2章：消えたアーク [40:1.00s]
紀元前10世紀、ソロモン王はエルサレムに神殿を建設し、至聖所にアークを安置しました。 [41:0.30s]
しかし、紀元前587年、新バビロニア帝国がエルサレムを攻め落とし、神殿を破壊しました。 [42:0.30s]
この時、神殿の財宝はすべてバビロンに持ち去られましたが、そのリストの中にアークの名前はありませんでした。 [43:0.30s]
アークは、神殿が破壊される直前に、誰かの手によって持ち出されていたのです。 [44:0.30s]
一体誰が、どこへ持ち出したのでしょうか。 [45:0.30s]
