日本の最西端、与那国島。 [1:0.30s]
この美しい島の海底に、世界中の考古学者を悩ませる巨大な謎が眠っています。 [2:0.30s]
「与那国島海底地形」。 [3:0.30s]
通称、海底遺跡。 [4:0.30s]
1986年に地元のダイバーによって発見されたこの構造物は、まるで人工的に作られた神殿のように見えます。 [5:0.30s]
直角に切り取られた岩、階段、テラス、そして亀の形をしたモニュメント。 [6:0.30s]
これは自然が作り出した偶然の産物なのでしょうか。 [7:0.30s]
それとも、かつてこの地に存在した超古代文明の遺跡なのでしょうか。 [8:0.30s]
もしこれが人工物だとしたら、それは少なくとも1万年以上前に作られたことになります。 [9:0.30s]
エジプトのピラミッドよりも遥かに古い時代に、これほどの巨石建造物を作る技術を持った文明が存在したのでしょうか。 [10:0.30s]
それは、伝説のムー大陸の一部なのかもしれません。 [11:0.30s]
今夜は、日本の海に沈む太古のミステリー、与那国島海底遺跡の謎に迫ります。 [12:1.00s]
第1章：発見の衝撃 [13:1.00s]
1986年、与那国島のダイバー新嵩喜八郎（あらたけきはちろう）氏は、新しいダイビングスポットを探していました。 [14:0.30s]
島の南岸、「新川鼻（あらかわばな）」と呼ばれる岬の沖合に潜った彼は、信じられない光景を目にしました。 [15:0.30s]
水深25メートルの海底に、巨大な岩の塊が鎮座していたのです。 [16:0.30s]
それは、明らかに自然の岩礁とは異なっていました。 [17:0.30s]
まるで誰かが意図的に削ったかのような、鋭い直角の角。 [18:0.30s]
整然と並んだ階段状の構造。 [19:0.30s]
そして、周囲には石畳のような平らな面が広がっていました。 [20:0.30s]
「これは、遺跡だ」 [21:0.25s]
新嵩氏は直感しました。 [22:0.30s]
彼はすぐに琉球大学の木村政昭教授に連絡を取りました。 [23:0.30s]
木村教授は海洋地質学の専門家であり、地震や海底火山の研究で知られていました。 [24:0.30s]
調査に訪れた木村教授もまた、その光景に息を呑みました。 [25:0.30s]
「これは、遺跡だ」 [26:0.25s]
新嵩氏は直感しました。 [27:0.30s]
彼はすぐに琉球大学の木村政昭教授に連絡を取りました。 [28:0.30s]
木村教授は海洋地質学の専門家であり、地震や海底火山の研究で知られていました。 [29:0.30s]
当初、木村教授は懐疑的でした。 [30:0.30s]
「自然が作った奇岩だろう」 [31:0.25s]
そう思っていました。 [32:0.30s]
しかし、実際に潜ってみると、その考えは吹き飛びました。 [33:0.30s]
「これは自然のものではない。 [34:0.30s]
人工的に加工された痕跡がある」 [35:0.25s]
巨大な岩の壁は、東西に真っ直ぐ伸びており、その表面には道具で削ったような跡がありました。 [36:0.30s]
また、周囲には環状道路のような平らな道が続いており、その幅は一定でした。 [37:0.30s]
自然界で、これほど規則的な地形ができる確率は、天文学的に低いのです。 [38:0.30s]
さらに、遺跡の近くには人面岩と呼ばれる奇妙な岩もあります。 [39:0.30s]
目、鼻、口のような窪みがあり、まるでモアイ像のように海を見つめています。 [40:0.30s]
これは、火星の人面岩（シドニア地区）とも似ており、古代人の信仰の対象だったのかもしれません。 [41:0.30s]
また、太陽石と呼ばれる岩には、正確に東西南北を示す線が刻まれています。 [42:0.30s]
これは、古代人が天体観測を行っていた証拠ではないでしょうか。 [43:0.30s]
こうして、与那国島海底遺跡の本格的な調査が始まりました。 [44:1.00s]
第2章：人工物の証拠 [45:1.00s]
木村教授を中心とする調査チームは、数年にわたって詳細な測量を行いました。 [46:0.30s]
その結果、多くの人工物と思われる特徴が発見されました。 [47:0.30s]
まず、メインとなる構造物は、東西約250メートル、南北約150メートル、高さ約26メートルという巨大なものです。 [48:0.30s]
これは、学校の校庭がすっぽり入るほどの大きさです。 [49:0.30s]
その構造物には、アーチ門と呼ばれる、人が通り抜けられるようなトンネルがあります。 [50:0.30s]
天井部分は、巨大な一枚岩で支えられています。 [51:0.30s]
自然の侵食で、これほどきれいなアーチができるでしょうか。 [52:0.30s]
また、二枚岩と呼ばれる巨石があります。 [53:0.30s]
これは、下の岩の上に、別の岩が絶妙なバランスで乗せられているものです。 [54:0.30s]
まるで、意図的に設置されたモニュメントのようです。 [55:0.30s]
さらに、「カメのモニュメント」と呼ばれる岩もあります。 [56:0.30s]
星形の形をしており、明らかに亀を模して作られたように見えます。 [57:0.30s]
そして、最も決定的な証拠とされるのが、クサビの跡です。 [58:0.30s]
岩を割るために打ち込まれたクサビのような穴が、等間隔に並んでいるのです。 [59:0.30s]
これは、古代の石切り場に見られる特徴と一致します。 [60:0.30s]
さらに、遺跡の周辺からは、石器のような道具も発見されています。 [61:0.30s]
「石斧（せきふ）」や石包丁のような形をした石です。 [62:0.30s]
これらは、かつてここで人々が生活し、道具を使っていたことの証明です。 [63:0.30s]
また、メインの構造物の近くには、スタジアムと呼ばれる広場があります。 [64:0.30s]
そこは、数千人が集まることができるほどの広さがあり、周囲には観客席のような段差があります。 [65:0.30s]
ここで、何らかの儀式や集会が行われていたのでしょうか。 [66:0.30s]
木村教授は、この遺跡を「古代の城郭（グスク）」のようなものだと考えています。 [67:0.30s]
沖縄の城（グスク）は、石垣で囲まれた独特の構造をしていますが、海底遺跡の構造はそれと非常によく似ているのです。 [68:0.30s]
さらに驚くべきことに、遺跡には排水溝のような溝も確認されています。 [69:0.30s]
雨水を効率よく排出するための工夫だとすれば、これは非常に高度な都市計画があったことを意味します。 [70:0.30s]
ただの祭祀場ではなく、多くの人々が生活する都市機能を持っていたのかもしれません。 [71:0.30s]
また、遺跡の入り口付近には、「立神岩（たちがみいわ）」と呼ばれる巨大な岩が立っています。 [72:0.30s]
これは、神殿への入り口を守る門番の役割を果たしていたのかもしれません。 [73:0.30s]
古代の人々は、この岩の前で身を清め、神聖な気持ちで神殿へと入っていったのでしょう。 [74:1.00s]
第3章：自然地形説の反論 [75:1.00s]
しかし、すべての学者が人工物説を支持しているわけではありません。 [76:0.30s]
むしろ、アカデミズムの世界では自然地形説が主流です。 [77:0.30s]
彼らの主張はこうです。 [78:0.30s]
与那国島の岩石は、砂岩と泥岩が層になった堆積岩であり、非常に割れやすい性質を持っています。 [79:0.30s]
波や潮流による浸食で、岩が層に沿って剥がれ落ちることで、階段状の地形が形成されることがあるのです。 [80:0.30s]
これを「方状節理（ほうじょうせつり）」と呼びます。 [81:0.30s]
直角に見える角も、自然界には珍しいことではありません。 [82:0.30s]
例えば、アイルランドの「ジャイアンツ・コーズウェー」や、福井県の東尋坊など、柱状節理によって作られた幾何学的な地形は世界中に存在します。 [83:0.30s]
また、クサビの跡とされる穴も、ウニなどの穿孔貝（せんこうがい）が開けた穴や、虫食い状の浸食跡である可能性が高いと指摘されています。 [84:0.30s]
彼らは言います。 [85:0.30s]
「人間は、ランダムな自然の中に意味のある形を見出そうとする心理的バイアス（パレイドリア効果）を持っている。 [86:0.30s]
雲が動物に見えるのと同じで、ただの岩を遺跡だと思い込んでいるだけだ」と。 [87:0.30s]
特に、ボストン大学のロバート・ショック教授は、自然地形説の急先鋒です。 [88:0.30s]
彼は現地を潜水調査し、「これは典型的な自然の侵食地形だ」と断定しました。 [89:0.30s]
彼によれば、岩の層が剥がれ落ちることで、人工物のように見える直線や平面が生まれるのは、地質学的にはよくある現象だといいます。 [90:0.30s]
しかし、ショック教授も認めている点があります。 [91:0.30s]
「自然地形をベースにして、人間が手を加えた可能性はある（テラフォーミング説）」と。 [92:0.30s]
つまり、元々あった岩山を、人間が削って祭壇や神殿として利用していたのではないかというのです。 [93:1.00s]
第4章：失われた大陸ムー [94:1.00s]
もし、これが本当に人工物だとしたら、一体誰が作ったのでしょうか。 [95:0.30s]
木村教授は、この遺跡が作られたのは約1万年前から2000年前の間だと推定しています。 [96:0.30s]
1万年前といえば、氷河期が終わり、海面が現在よりもずっと低かった時代です。 [97:0.30s]
