日本には、エジプトのピラミッドをも凌ぐ、世界最大級の墳墓が存在します。 [1:0.30s]
大阪府堺市にある仁徳天皇陵古墳。 [2:0.30s]
全長486メートル、総面積46万平方メートル。 [3:0.30s]
空から見ると、巨大な鍵穴のような形をしています。 [4:0.30s]
しかし、私たちは、その中に何が眠っているのか知りません。 [5:0.30s]
本当に仁徳天皇の墓なのかさえ、分かっていません。 [6:0.30s]
誰が埋葬されているのか、何があの森の下に隠されているのか。 [7:0.30s]
すべてが謎に包まれているのです。 [8:0.30s]
なぜなら、宮内庁が、一切の学術調査を禁じているからです。 [9:0.30s]
理由は、天皇家の祖先の墓であり、静安と尊厳を守る必要があると。 [10:0.30s]
しかし、その理由は本当でしょうか。 [11:0.30s]
もし、あの巨大な森の下に、日本の歴史教科書を根底から覆す不都合な真実が眠っているとしたら。 [12:0.30s]
もし、天皇家の正統性を脅かす証拠が、あの巨大な古墳に封印されているとしたら。 [13:0.30s]
研究者たちは言います。 [14:0.30s]
あそこを調べれば、日本の古代史は全て書き換わる [15:0.25s]
場合によっては、日本という国のアイデンティティそのものが揺らぐかもしれない、と。 [16:0.30s]
では、なぜ調べないのか。 [17:0.30s]
答えは簡単です。 [18:0.30s]
調べたら困る何かがあるから。 [19:0.30s]
知られてはいけない真実があるから。 [20:0.30s]
今夜は、日本最大のタブー、開けてはいけない扉の中身に迫ります。 [21:1.00s]
第1章：世界最大の禁断の森 [22:1.00s]
仁徳天皇陵古墳は、世界三大墳墓の一つです。 [23:0.30s]
エジプトのクフ王のピラミッド、中国の始皇帝陵と肩を並べる巨大さ。 [24:0.30s]
その規模は圧倒的です。 [25:0.30s]
全長486メートル。 [26:0.30s]
前方後円墳という独特の形状。 [27:0.30s]
総面積は46万平方メートルにも及びます。 [28:0.30s]
これは東京ドーム10個分の広さです。 [29:0.30s]
さらに驚くべきは、築造に必要とされた労働力です。 [30:0.30s]
推定では、延べ680万人が動員されたと言われています。 [31:0.30s]
一日あたり2000人が働いたとして、完成までに15年以上の歳月を要したと考えられています。 [32:0.30s]
5世紀の日本で、これほどの巨大事業を成し遂げられる権力者とは、一体どれほ [33:0.25s]
どの力を持っていたのでしょうか。 [34:0.30s]
しかし、ピラミッドは内部が調査され、始皇帝陵も発掘が進んでいます。 [35:0.30s]
対して、仁徳天皇陵は、中に何があるのか、ほぼ何も分かっていません。 [36:0.30s]
理由は、宮内庁が立ち入りを禁じているから。 [37:0.30s]
周囲は三重の濠に囲まれ、深い森に覆われています。 [38:0.30s]
一般人はもちろん、研究者ですら近づけません。 [39:0.30s]
その濠の水は、今も古墳を守る天然の要塞として機能しています。 [40:0.30s]
幅は最大で100メートル以上あり、簡単には渡ることができません。 [41:0.30s]
外堀、中堤、内堀という三重構造になっており、まるで城郭のような防御システムです。 [42:0.30s]
上空からドローンで撮影することも禁じられています。 [43:0.30s]
Google Earthの衛星写真でしか、その全貌を見ることができないのです。 [44:0.30s]
航空法や文化財保護法を理由に、あらゆる接近が制限されているのです。 [45:0.30s]
これほど巨大で歴史的に重要な遺跡が、完全にブラックボックスになっている。 [46:0.30s]
これは、世界的に見ても極めて異常なことです。 [47:0.30s]
エジプトは、ピラミッドを観光資源にして世界中から人を呼んでいます。 [48:0.30s]
年間1000万人以上の観光客が訪れ、エジプト経済を支えています。 [49:0.30s]
中国も、始皇帝陵の発見を国威発揚に利用しています。 [50:0.30s]
兵馬俑の展示は、世界中を巡回し、中国の古代文明の偉大さを示しています。 [51:0.30s]
では、なぜ日本だけが、この巨大な遺産を隠し続けるのでしょうか。 [52:0.30s]
それは、見せたくないものがあるからです。 [53:0.30s]
見せたら、都合の悪い真実が明らかになってしまうから。 [54:0.30s]
仁徳天皇陵の周囲には、100基以上の陪塚と呼ばれる小さな古墳があります。 [55:0.30s]
これらは、主墳の被葬者に仕えた人物たちの墓だと考えられています。 [56:0.30s]
しかし、これらの陪塚でさえ、ほとんど調査が許されていません。 [57:0.30s]
わずかに調査された陪塚からは、金銅製の馬具、豪華な装飾品、鉄製の武器などが出土しました。 [58:0.30s]
その技術水準の高さは、当時の日本の工芸技術を大きく超えるものだったのです。 [59:0.30s]
では、本墳の中には、一体何が眠っているのでしょうか。 [60:0.30s]
それを知ることを、私たちは許されていません。 [61:1.00s]
第2章：誰の墓かも分からない [62:1.00s]
この古墳が仁徳天皇陵と呼ばれているのは、江戸時代の文献に基づいています。 [63:0.30s]
しかし、それは推測に過ぎません。 [64:0.30s]
科学的な根拠は、一切ありません。 [65:0.30s]
その文献とは、元禄時代に編纂された記録です。 [66:0.30s]
当時の学者たちが、古い言い伝えや地形、古文書を照らし合わせて推測したものに過ぎません。 [67:0.30s]
DNA鑑定も、炭素年代測定も、層位学的分析もない時代の、単なる推測です。 [68:0.30s]
多くの考古学者は、この古墳が仁徳天皇の墓ではないと考えています。 [69:0.30s]
そもそも、仁徳天皇が実在したかどうかさえ、確証がないのです。 [70:0.30s]
日本書紀には記載がありますが、日本書紀の多くの部分は、政治的なプロパガンダとして書かれました。 [71:0.30s]
神話と歴史が混ざり合い、どこまでが事実なのか分かりません。 [72:0.30s]
天武天皇の時代に編纂されたこの書物は、天皇家の正統性を主張するための政治的文書だったのです。 [73:0.30s]
仮に仁徳天皇が実在したとしても、時期が合わない可能性があります。 [74:0.30s]
この古墳が作られたのは5世紀半ばと推定されていますが、仁徳天皇の在位とされる時期とズレがあるのです。 [75:0.30s]
考古学的な年代測定では5世紀中頃、しかし日本書紀の記述では4世紀後半から5世紀初頭。 [76:0.30s]
このズレは、決して無視できるものではありません。 [77:0.30s]
さらに問題なのは、宮内庁が管理している天皇陵の多くが、誤認定だという事実です。 [78:0.30s]
歴史学者の調査によると、約900基ある宮内庁管理の陵墓のうち、正しい人物の墓として管理されているのは半分以下だと言われています。 [79:0.30s]
つまり、宮内庁は、間違った墓を○○天皇陵として拝んでいる可能性が高いのです。 [80:0.30s]
具体的な例を挙げましょう。 [81:0.30s]
奈良県の箸墓古墳は、宮内庁によって倭迹迹日百襲姫命の墓とされています。 [82:0.30s]
しかし、多くの考古学者は、これが卑弥呼の墓である可能性を指摘しています。 [83:0.30s]
築造年代、規模、立地、すべてが卑弥呼の時代と一致するのです。 [84:0.30s]
もし箸墓古墳が本当に卑弥呼の墓なら、それは日本史を書き換える大発見です。 [85:0.30s]
中国の史書に記された邪馬台国の女王が、実在した証拠になるからです。 [86:0.30s]
しかし、宮内庁は調査を認めません。 [87:0.30s]
間違いを認めたくないからです。 [88:0.30s]
では、なぜ訂正しないのか。 [89:0.30s]
それは、訂正することで実は私たちは何も分かっていませんでしたと認めることになるからです。 [90:0.30s]
天皇陵とは、天皇制の正統性を象徴する存在です。 [91:0.30s]
万世一系、神聖不可侵。 [92:0.30s]
その根拠が崩れることを、宮内庁は何よりも恐れているのです。 [93:0.30s]
もし仁徳天皇陵が仁徳天皇の墓ではないとしたら。 [94:0.30s]
もし、そこに眠っているのが全く別の人物だったとしたら。 [95:0.30s]
それは、宮内庁の権威を根底から揺るがすことになるのです。 [96:1.00s]
第3章：隠蔽の歴史 [97:1.00s]
実は、天皇陵が完全に閉ざされていたわけではありません。 [98:0.30s]
戦前、明治政府は一部の天皇陵で発掘調査を行いました。 [99:0.30s]
その背景には、当時の政治的な狙いがありました。 [100:0.30s]
明治政府は、天皇制を中心とした国家体制を確立するため、天皇陵の整備を急いでいたのです。 [101:0.30s]
廃仏毀釈と同時期に進められた天皇陵の整備は、皇国史観を強化するための国家プロジェクトでした。 [102:0.30s]
1872年、仁徳天皇陵を含むいくつかの古墳が調査されました。 [103:0.30s]
その際、大量の埴輪、土器、金銅製の馬具、武具が発見されました。 [104:0.30s]
しかし、これらの調査報告書は、ほとんど公開されていません。 [105:0.30s]
宮内庁は、これらの資料を秘密裏に保管しているとされています。 [106:0.30s]
一部の研究者が宮内庁に情報公開を求めましたが、すべて却下されています。 [107:0.30s]
なぜ、公開しないのか。 [108:0.30s]
そこに、何か都合の悪いことが記されているからです。 [109:0.30s]
例えば、出土品の様式が、朝鮮半島や中国のものと酷似していたとしたら。 [110:0.30s]
それは、古墳の主が渡来系である可能性を示唆します。 [111:0.30s]
