私たちが暮らすこの地球は、中心部に灼熱の核を持つ、中身の詰まった球体である。 [1:0.30s]
それが、現代科学の常識です。 [2:0.30s]
地殻の下にはマントル、その下には液体の外核、そして固体の内核。 [3:0.30s]
これが、教科書に載っている地球の構造です。 [4:0.30s]
しかし、古くから、その常識を真っ向から否定する、驚くべき仮説が語り継がれてきました。 [5:0.30s]
それが、地球空洞説です。 [6:0.30s]
地球は、まるでリンゴのように、中心部が空洞になっており、その内部には、私たちとは異なる独自の生態系と、高度な文明が存在するというのです。 [7:0.30s]
地底には太陽が輝き、緑の森が広がり、見たこともない生き物たちが暮らしている。 [8:0.30s]
荒唐無稽なSFのように聞こえるかもしれません。 [9:0.30s]
しかし、アメリカ海軍のバード少将が、北極上空で巨大な穴を目撃したという記録が、確かに残されているのです。 [10:0.30s]
さらに言えば、各国政府が極地への飛行を厳しく制限している理由も、公式には説明されていません。 [11:0.30s]
もし、この仮説が真実だとしたら。 [12:0.30s]
私たちが知る地球という惑星の姿は、完全に覆されます。 [13:0.30s]
そして、各国政府が隠し続けてきた最大の秘密が、明らかになるのです。 [14:0.30s]
今夜は、私たちの足元に広がるかもしれない、もう一つの世界、地底王国アガルタの謎について探求します。 [15:1.00s]
第1章：地球空洞説の歴史 [16:1.00s]
地球が空洞であるという考えは、決して現代の陰謀論ではありません。 [17:0.30s]
古代から、世界中の文明で語り継がれてきた、普遍的な神話なのです。 [18:0.30s]
ギリシャ神話には、冥界ハデスが地下にあると記されています。 [19:0.30s]
死者の魂は、地表から暗い穴を通って、地下の王国へと降りていくとされていました。 [20:0.30s]
北欧神話にも、地下世界ニルヴヘイムが登場します。 [21:0.30s]
そこは氷と霧に覆われた、死者の国でした。 [22:0.30s]
ヒンドゥー教の聖典には、ナーガと呼ばれる蛇の神々が住む地下王国パーターラが記されています。 [23:0.30s]
仏教の経典にも、地下世界の記述があります。 [24:0.30s]
なぜ、これほど多くの古代文明が、地下世界の存在を語ったのでしょうか。 [25:0.30s]
単なる想像の産物なのか。 [26:0.30s]
それとも、彼らは何か知っていたのか。 [27:0.30s]
17世紀、イギリスの天文学者エドモンド・ハレーは、地球空洞説を科学的に提唱しました。 [28:0.30s]
彼はハレー彗星の発見者として有名ですが、同時に地球空洞説の支持者でもあったのです。 [29:0.30s]
