1999年7月、空から恐怖の大王が降ってくるだろう。 [1:0.30s]
ノストラダムスが残したこの予言は、世界中をパニックに陥れました。 [2:0.30s]
1990年代、人々は本気で世界の終わりを恐れていました。 [3:0.30s]
書店には予言解説本が溢れ、テレビでは特番が組まれました。 [4:0.30s]
誰もが心のどこかで、その日が来るのを恐れ、同時に待ち望んでいたのかもしれません。 [5:0.30s]
しかし、ご存知の通り、世界は終わりませんでした。 [6:0.30s]
2000年1月1日、世界は何事もなく新しい千年紀を迎えました。 [7:0.30s]
それ以来、彼の大予言は、単なる過去のオカルトブームとして、忘れ去られようとしています。 [8:0.30s]
「なんだ、結局何も起きなかったじゃないか」と。 [9:0.30s]
しかし、もし、私たちが読み解いた予言が、全体のほんの一部に過ぎなかったとしたら。 [10:0.30s]
そして、最も恐るべきシナリオが、1999年ではなく、2025年以降の未来に設定されていたとしたら。 [11:0.30s]
彼が見ていた終わりは、もっと先にあるのかもしれません。 [12:0.30s]
ノストラダムスの予言書『諸世紀』には、942編の四行詩が収められています。 [13:0.30s]
その大半は、今も未解読のままです。 [14:0.30s]
私たちは、そのうちのほんのわずかしか理解していないのかもしれません。 [15:0.30s]
彼の言葉の真の意味は、まだ闇の中に隠されているのです。 [16:0.30s]
今夜は、恐怖の大王の影に隠された、ノストラダムスの本当の予言と、現代に忍び寄るその兆候について、改めて解読を試みます。 [17:1.00s]
第1章：ノストラダムスという男 [18:1.00s]
ミシェル・ド・ノストラダムスは、1503年12月14日、フランス南部のサン＝レミ＝ド＝プロヴァンスに生まれました。 [19:0.30s]
彼の家系はユダヤ系で、祖父は医師であり、カバラ（ユダヤ教神秘主義）にも精通していたと言われています。 [20:0.30s]
当時のユダヤ人は迫害を受けており、彼の家族もキリスト教に改宗を余儀なくされましたが、家庭内ではユダヤの伝統が密かに受け継がれていた可能性があります。 [21:0.30s]
彼はアヴィニョン大学で教養を学び、その後モンペリエ大学医学部に入学しました。 [22:0.30s]
医師として活動する傍ら、占星術と予言に強い関心を持っていました。 [23:0.30s]
当時のヨーロッパは、ペスト（黒死病）が猛威を振るい、戦争と宗教対立による混乱の時代でした。 [24:0.30s]
死が日常的に存在する中で、人々は救いを求め、未来を知りたがっていたのです。 [25:0.30s]
ノストラダムスは、ペストの治療に独自の工夫を凝らしました。 [26:0.30s]
当時の主流だった瀉血（血を抜く治療）を否定し、清潔な水とバラの実（ローズヒップ）を使った薬を処方しました。 [27:0.30s]
これはビタミンCを豊富に含んでおり、免疫力を高める効果があったと考えられています。 [28:0.30s]
彼は多くの命を救い、奇跡の医師として名声を高めました。 [29:0.30s]
しかし、1534年、悲劇が彼を襲います。 [30:0.30s]
彼自身の妻と二人の子供が、ペストに感染して亡くなってしまったのです。 [31:0.30s]
医師でありながら家族を救えなかった無力感と絶望。 [32:0.30s]
この深い悲しみが、彼を医学から神秘主義、そして予言の世界へと導いたのかもしれません。 [33:0.30s]
その後、彼は放浪の旅に出ます。 [34:0.30s]
イタリアやフランス各地を巡りながら、古代の秘儀や占星術を学んだと言われています。 [35:0.30s]
そして、夜ごと、水盤に映る月や星を凝視し、トランス状態で未来のビジョンを見る「スクライイング（水晶凝視）」という手法で予言を行いました。 [36:0.30s]
ノストラダムスは、1555年に『ミシェル・ノストラダムス師の予言集』（通称『諸世紀』）を出版しました。 [37:0.30s]
この本には、942編の四行詩が収められており、それぞれが未来の出来事を予言しているとされています。 [38:0.30s]
しかし、これらの予言は、すべて暗号のように曖昧で、解釈が非常に困難です。 [39:0.30s]
ノストラダムスは、意図的に予言を曖昧に書いたと考えられています。 [40:0.30s]
当時、予言や魔術は異端視され、カトリック教会から異端審問にかけられる危険がありました。 [41:0.30s]
最悪の場合、火あぶりの刑に処される可能性もあったのです。 [42:0.30s]
そのため、彼はアナグラム（文字の入れ替え）や、ラテン語、ギリシャ語、プロヴァンス語を混ぜ合わせた難解な言葉を使い、真意を隠しました。 [43:0.30s]
「分かる者にしか分からない」ように書くことで、彼は自分自身と、その予言を守ったのかもしれません。 [44:1.00s]
第2章：的中した予言 [45:1.00s]
ノストラダムスの予言の中には、驚くほど正確に歴史的事件を言い当てたとされるものがあります。 [46:0.30s]
その的中率は、偶然の一致で片付けるにはあまりにも不気味です。 [47:0.30s]
最も有名なのが、フランス王アンリ2世の死に関する予言です。 [48:0.30s]
第1巻35番の詩には、こう記されています。 [49:0.30s]
「若い獅子が老いた獅子を倒すだろう、一騎打ちの野において。 [50:0.30s]
黄金の籠の中の目を突き刺し、二つの傷が一つになって、彼は残酷な死を迎える」 [51:0.25s]
1559年、アンリ2世は娘の結婚を祝う祝宴で、近衛隊長モンゴムリ伯爵（若い獅子）と馬上槍試合を行いました。 [52:0.30s]
その際、伯爵の槍が折れ、その破片が王の黄金の兜（黄金の籠）の隙間から目に突き刺さったのです。 [53:0.30s]
王は激痛に苦しみながら、10日後に死亡しました。 [54:0.30s]
黄金の籠目を突き刺す残酷な死。 [55:0.30s]
あまりにも具体的すぎるこの予言は、当時のフランス宮廷を震撼させました。 [56:0.30s]
この一件により、ノストラダムスの名は一躍ヨーロッパ中に知れ渡ることになったのです。 [57:0.30s]
また、1666年のロンドン大火も予言していたとされています。 [58:0.30s]
第2巻51番の詩には、「20と3と6（20×3+6=66）の年に、ロンドンで正義の血が流れる。 [59:0.30s]
