私たち日本人の精神的なルーツ、日本神話。 [1:0.30s]
古事記や日本書紀には、天照大神を筆頭とする、八百万の神々が描かれています。 [2:0.30s]
しかし、その煌びやかな公式の歴史の影に、意図的に塗りつぶされた黒いページが存在することをご存知でしょうか。 [3:0.30s]
そのページに記されていたはずの名前。 [4:0.30s]
それは、アラハバキ。 [5:0.30s]
東北地方の深い森の奥や、関東の古い神社の片隅で、今もひっそりと、しかし執拗に祀られ続けている謎の神。 [6:0.30s]
大和朝廷が編纂した正史には、その名は一行たりとも登場しません。 [7:0.30s]
まるで、最初から存在しなかったかのように。 [8:0.30s]
しかし、歴史の勝者がどれほど消そうとしても、民衆の記憶から完全に消し去ることはできませんでした。 [9:0.30s]
なぜ、時の権力者は、この神をそこまで恐れたのか。 [10:0.30s]
なぜ、この神は「客人（まろうど）」として、主祭神の影に隠れるようにして生き延びねばならなかったのか。 [11:0.30s]
今夜は、日本の歴史が抱える最大のタブー、封印された縄文の古層神、アラハバキの正体に迫ります。 [12:0.30s]
これは単なる神話の話ではありません。 [13:0.30s]
勝者によって書き換えられた歴史の裏側で、敗者たちが守り抜こうとした「もう一つの日本」の物語です。 [14:1.00s]
第1章：歴史から消された神 [15:1.00s]
「歴史とは、勝者が書き残したプロパガンダである」 [16:0.25s]
この言葉通り、私たちが学校で習う日本史は、大和朝廷という勝者の視点で書かれています。 [17:0.30s]
8世紀初頭、天武天皇の命により編纂された『古事記』と『日本書紀』。 [18:0.30s]
これらは、天皇家の支配の正当性を証明するために作られた、国家プロジェクトでした。 [19:0.30s]
そこでは、天照大神が最高神とされ、その子孫である天皇が日本を統治することが神の意志であると定義されました。 [20:0.30s]
このストーリーを完成させるためには、不都合な存在を消す必要がありました。 [21:0.30s]
それが、大和朝廷以前に日本列島で信仰されていた、土着の神々です。 [22:0.30s]
その筆頭が、アラハバキでした。 [23:0.30s]
アラハバキの名は、記紀神話には一切登場しません。 [24:0.30s]
しかし、現場に行けば、その痕跡は歴然としています。 [25:0.30s]
武蔵一宮として知られる大宮の氷川神社。 [26:0.30s]
その摂社である「門客人神社（もんきゃくじんじんじゃ）」には、かつてアラハバキが祀られていました。 [27:0.30s]
客人という名前が付けられていますが、実はこの神こそが、氷川神社が建てられる前からその土地にいた「地主神（じぬしがみ）」だったのです。 [28:0.30s]
後からやってきた大和の神が、元からいた土地の神を追い出し、主人の座に居座る。 [29:0.30s]
そして、元の神を客人として片隅に追いやる。 [30:0.30s]
これは、神社の配置を使った、巧妙な「歴史の書き換え」です。 [31:0.30s]
しかし、完全に排除すると祟りがあるかもしれない。 [32:0.30s]
だから、小さく祀って封印する。 [33:0.30s]
これが、日本各地で行われた「神々の入れ替え」の実態なのです。 [34:1.00s]
第2章：アラハバキの起源 [35:1.00s]
では、アラハバキとは一体どのような神だったのでしょうか。 [36:0.30s]
その正体を知る手がかりは、謎めいた名前に隠されています。 [37:0.30s]
アラハバキという響き。 [38:0.30s]
これには、いくつかの有力な説があります。 [39:0.30s]
一つは、「脛巾（はばき）」説です。 [40:0.30s]
脛巾とは、旅をする時に足のすねに巻く、脚絆（きゃはん）のことです。 [41:0.30s]
ここから、アラハバキは足の神旅の神とされ、健脚を願う人々に信仰されてきました。 [42:0.30s]
実際、わらじを奉納する風習が残っている神社も多くあります。 [43:0.30s]
しかし、これは後世になって付け加えられた、表向きの理由に過ぎないという見方もあります。 [44:0.30s]
