1963年11月22日、午後12時30分。 [1:0.30s]
テキサス州ダラスの乾いた空に、数発の銃声が響き渡りました。 [2:0.30s]
その瞬間、アメリカの、いや世界の歴史が大きく歪められました。 [3:0.30s]
第35代大統領ジョン・F・ケネディの頭部が弾け飛んだあの映像は、世界中の人々の脳裏に焼き付き、「無垢な時代の終わり」を告げる残酷な記憶として刻まれています。 [4:0.30s]
この衝撃的な瞬間を捉えた「ザプルーダー・フィルム」は、史上最も有名なホームムービーと呼ばれています。 [5:0.30s]
しかし、このフィルムが一般大衆の目に触れるまでには、事件から12年もの歳月が必要でした。 [6:0.30s]
1975年にテレビで初公開されるまで、それは一部の研究者だけが見ることを許された禁断の映像だったのです。 [7:0.30s]
なぜ、これほど重要な証拠が隠され続けたのでしょうか？ [8:0.30s]
それは、そこに映っているものが、公式発表である「後方からの単独狙撃」というシナリオを根底から覆すものだったからです。 [9:0.30s]
公式発表では、リー・ハーヴェイ・オズワルドという一人の狂気による単独犯行とされています。 [10:0.30s]
しかし、事件から半世紀以上が過ぎた今なお、この結論を額面通りに受け取る人は、アメリカ国民のわずか3割にも満たないと言われています。 [11:0.30s]
消えた証拠、不自然な弾道、次々と消される目撃者、そして背後に見え隠れする巨大な組織の影。 [12:0.30s]
私たちがこれから目撃するのは、単なる過去の事件の検証ではありません。 [13:0.30s]
それは、現代社会の裏側で今も動き続ける、巨大なシステムの正体を暴く旅なのです。 [14:0.30s]
心の準備はいいですか？ [15:1.00s]
第1章：運命の日 [16:1.00s]
もし、あの日ダラスで起きたことが、単なる悲劇的な事故ではなく、国家の中枢に入り込んだ闇の勢力によるクーデターだったとしたら？ [17:0.30s]
そして、その真実が今もなお、最高機密として封印され続けているとしたら？ [18:0.30s]
ケネディの死は、単なる一人の政治家の死ではありませんでした。 [19:0.30s]
それは、アメリカという国が持っていた理想や希望が、冷酷な暴力によって押し潰された瞬間でもありました。 [20:0.30s]
多くの人々が、あの事件を境に、政府を信じることをやめました。 [21:0.30s]
ベトナム戦争、ウォーターゲート事件、そして現代の分断社会へと続く、長い不信の時代は、あの一発の銃声から始まったのです。 [22:0.30s]
今夜は、現代史最大のミステリー、ケネディ暗殺事件の深淵なる闇に、禁断のメスを入れます。 [23:0.30s]
あの日、ダラスの天気は快晴でした。 [24:0.30s]
ケネディ大統領は、再選に向けた選挙キャンペーンの一環として、妻のジャッキーと共にオープンカーに乗り込み、群衆の歓声に応えていました。 [25:0.30s]
ジャッキーが身にまとっていた鮮やかなピンク色のシャネルのスーツは、数時間後には夫の血と脳漿で無惨に汚されることになります。 [26:0.30s]
車列がディーリープラザのエルム通りに入り、教科書倉庫ビルの前を通過したその時です。 [27:0.30s]
乾いた破裂音が響きました。 [28:0.30s]
最初は爆竹かと思われましたが、すぐにそれが殺意に満ちた銃弾であることが判明します。 [29:0.30s]
一発目が大統領の喉を撃ち抜き、続く致命的な一撃が右側頭部を破壊しました。 [30:0.30s]
有名な「ザプルーダー・フィルム」のフレーム313には、大統領の頭部が砕け散る衝撃的な瞬間が記録されています。 [31:0.30s]
パニックに陥る現場から、一人の男が逮捕されました。 [32:0.30s]
リー・ハーヴェイ・オズワルド。 [33:0.30s]
彼は教科書倉庫ビルの6階からライフルで狙撃したとされましたが、逮捕直後から「私ははめられた」「身代わり（パツィー）だ」と叫び続けました。 [34:0.30s]
しかし、彼の主張が法廷で検証されることはありませんでした。 [35:0.30s]
逮捕からわずか2日後、警察署の地下駐車場で移送中に、ナイトクラブ経営者のジャック・ルビーによって、テレビの生中継中に射殺されてしまったからです。 [36:0.30s]
死人に口なし。 [37:0.30s]
真相を知る鍵となる人物は、あまりにも手際よく消されてしまったのです。 [38:0.30s]
さらに、現場には不可解な人物たちの姿がありました。 [39:0.30s]
快晴のダラスで、なぜか黒い雨傘を広げていた「アンブレラ・マン」。 [40:0.30s]
そして、その隣で無線機のようなものを手にしていた「ダーク・コンプレクテッド・マン（浅黒い男）」。 [41:0.30s]
彼らは、パレードの車列が近づくと、まるで合図を送るかのように傘を高く掲げました。 [42:0.30s]
その直後に銃声が響いたのです。 [43:0.30s]
彼らは一体何者だったのか？ [44:0.30s]
単なる野次馬だったのか、それとも狙撃チームへの実行合図を送る司令塔だったのか。 [45:0.30s]
謎は深まるばかりです。 [46:0.30s]
そして、この謎を解くために政府が提示した答えこそが、歴史上最も物議を醸すことになる魔法の弾丸だったのです。 [47:1.00s]
第2章：魔法の弾丸の嘘 [48:1.00s]
事件後、リンドン・ジョンソン新大統領によって設置された「ウォーレン委員会」は、オズワルドの単独犯行であると結論づけました。 [49:0.30s]
しかし、その報告書の中核をなす理論は、物理法則を無視したあまりにも荒唐無稽なものでした。 [50:0.30s]
それが「魔法の弾丸（マジック・ブレット）理論」です。 [51:0.30s]
オズワルドが撃ったとされる3発のうち、1発は外れ、1発は致命傷となった頭部への一撃です。 [52:0.30s]
問題は残りの1発です。 [53:0.30s]
