あなたが普段何気なく使っているGoogleやYahooなどの検索エンジン。 [1:0.30s]
そこで見つかる情報は、インターネット全体の何パーセントだと思いますか？ [2:0.30s]
答えは、わずか4パーセントです。 [3:0.30s]
残りの96パーセントは、検索エンジンの光が届かない、深く暗い海の底に沈んでいます。 [4:0.30s]
これを「ディープウェブ（深層ウェブ）」と呼びます。 [5:0.30s]
そして、その深淵のさらに奥底、特殊な潜水艇を使わなければ到達できない、絶対零度の闇が存在します。 [6:0.30s]
それがダークウェブです。 [7:0.30s]
あるサイバーセキュリティの専門家はこう言いました。 [8:0.30s]
「インターネットは現代の西部開拓時代だ。 [9:0.30s]
そしてダークウェブは、保安官のいない無法の荒野だ」と。 [10:0.30s]
そこは、法の及ばない無法地帯。 [11:0.30s]
麻薬、武器、偽造パスポート、人身売買、そして殺人請負。 [12:0.30s]
人間の欲望と狂気が、匿名性という仮面の下で、ビットコインを介して取引される場所。 [13:0.30s]
なぜ、人はこれほどまでに禁断の果実に惹かれるのでしょうか。 [14:0.30s]
それは、私たちが普段生活している表の世界の常識や倫理が、そこでは一切通用しないからです。 [15:0.30s]
完全な自由、しかしそれは、弱肉強食の野蛮な自由でもあります。 [16:0.30s]
今夜は、決してアクセスしてはならない、インターネットの最深部に潜む闇の世界へ、あなたをご案内します。 [17:1.00s]
第1章：玉ねぎの皮と海軍の遺産 [18:1.00s]
まず、誤解を解いておきましょう。 [19:0.30s]
「ディープウェブ」とダークウェブは別物です。 [20:0.30s]
これを海に例えるなら、私たちが普段見ているのは、太陽の光が届く「表層（サーフェイス・ウェブ）」だけです。 [21:0.30s]
その下には、光が届きにくい「中層（ディープウェブ）」が広がっています。 [22:0.30s]
ここには、企業のデータベースや学術論文、医療記録など、一般には公開されていない膨大な情報が眠っています。 [23:0.30s]
そして、さらにその下、完全な暗闇に包まれた「深海（ダークウェブ）」が存在します。 [24:0.30s]
そこは、特殊な潜水艇（Torブラウザ）を使わなければ、水圧で押しつぶされてしまうような極限の世界です。 [25:0.30s]
普通のブラウザでアクセスしようとしても、「接続できません」と表示されるだけです。 [26:0.30s]
まるで、最初から存在しないかのように。 [27:0.30s]
Torとは「The Onion Router」の略で、その名の通り、玉ねぎの皮のように何重にも暗号化された通信経路を意味します。 [28:0.30s]
あなたの通信は、世界中に散らばる3つのサーバー（ノード）を経由し、その都度暗号化と復号化を繰り返します。 [29:0.30s]
これにより、発信元を特定することは事実上不可能になります。 [30:0.30s]
皮肉なことに、この技術を開発したのは、犯罪者ではなく、アメリカ海軍調査研究所でした。 [31:0.30s]
軍事通信の機密を守るために作られた技術が、今や世界中の犯罪者たちの最強の盾となっているのです。 [32:0.30s]
しかし、Tor自体は違法なツールではありません。 [33:0.30s]
実際、Facebookやニューヨーク・タイムズ、BBCなどの大手メディアも、検閲を回避して情報を届けるために、専用の「. [34:0.25s]
onion」アドレスを持っています。 [35:0.30s]
道具は使い手次第。 [36:0.30s]
包丁が料理にも殺人にも使われるように、Torもまた、自由を守る盾にもなれば、犯罪を隠す闇の衣にもなるのです。 [37:1.00s]
第2章：シルクロードの帝王 [38:1.00s]
ダークウェブを一躍有名にしたのが、伝説の違法闇市場シルクロードです。 [39:0.30s]
2011年に開設されたこのサイトは、「ドラッグのAmazon」と呼ばれました。 [40:0.30s]
ヘロイン、コカイン、LSDなど、あらゆる違法薬物が、クリック一つで自宅に届くのです。 [41:0.30s]
決済には、当時まだ無名だった仮想通貨ビットコインが使われ、完全な匿名取引を実現していました。 [42:0.30s]
この帝国を築き上げたのは、「ドレッド・パイレート・ロバーツ（恐怖の海賊ロバーツ）」と名乗る人物でした。 [43:0.30s]
彼は単なる犯罪者ではなく、過激なリバタリアン（自由至上主義者）でした。 [44:0.30s]
「国家による規制を排除し、完全な自由市場を作る」 [45:0.25s]
それが彼の歪んだ理想でした。 [46:0.30s]
しかし、2013年、FBIの執念の捜査により、彼はサンフランシスコの図書館で逮捕されました。 [47:0.30s]
その正体は、ロス・ウルブリヒトという、物理学を専攻する29歳の優秀な青年でした。 [48:0.30s]
彼は逮捕の瞬間、証拠隠滅を防ぐためにFBI捜査官によってパソコンを押さえつけられ、ログイン状態のまま身柄を拘束されました。 [49:0.30s]
彼のパソコンからは、運営日誌が見つかりました。 [50:0.30s]
そこには、サイトの成長に対する喜びだけでなく、トラブルへの対処、そして邪魔者を消すための殺害依頼に関する記述まで残されていました。 [51:0.30s]
彼は法廷で「殺人依頼はしていない」と主張しましたが、仮釈放なしの終身刑という極めて重い判決が下されました。 [52:0.30s]
これは、司法当局が「ネット上の犯罪であっても、現実社会と同様、あるいはそれ以上に厳しく罰する」という強い意志を示した見せしめでもありました。 [53:0.30s]
彼は現在も服役中ですが、シルクロードの閉鎖後も、類似サイトは雨後の筍のように次々と現れ続けています。 [54:1.00s]
第3章：闇のデパート [55:1.00s]
ダークウェブの市場は、まるでAmazonや楽天のように洗練されています。 [56:0.30s]
商品には写真と詳細な説明があり、購入者のレビューや、出品者の信頼度ランクまで表示されています。 [57:0.30s]
しかし、売られているのは悪夢のような商品ばかりです。 [58:0.30s]
最も一般的なのは違法薬物ですが、それだけではありません。 [59:0.30s]
「Fullz（フルズ）」と呼ばれる個人情報パッケージは、名前、住所、生年月日、社会保障番号、クレジットカード情報がセットになっており、わずか数ドルで取引されています。 [60:0.30s]
これを購入した犯罪者は、カーディングと呼ばれる手法を使って、他人のクレジットカードで高額な商品を買い漁り、それを転売して現金を手にします。 [61:0.30s]
被害者が気づいた時には、カードの限度額いっぱいまで使われているのです。 [62:0.30s]
また、ハッカーたちは「ランサムウェア・アズ・ア・サービス（RaaS）」を提供しています。 [63:0.30s]
これは、技術的な知識がない人でも、月額料金を払えばサイバー攻撃を行えるという恐ろしいサブスクリプションサービスです。 [64:0.30s]
さらに、まだメーカーも気づいていないセキュリティの欠陥情報（ゼロデイ・エクスプロイト）は、数千万円という高値で取引され、国家レベルのサイバー戦争に使われることもあります。 [65:0.30s]
かつてイランの核施設を破壊したウイルス「スタックスネット」も、こうしたゼロデイ攻撃の一種でした。 [66:0.30s]
取引は「エスクロー（第三者預託）」システムによって守られており、商品が届くまで代金は運営者にプールされるため、詐欺を防ぐ仕組みまで整っているのです。 [67:0.30s]
しかし、最大の詐欺師は運営者自身かもしれません。 [68:0.30s]
ある日突然サイトを閉鎖し、プールされていた巨額のビットコインを持ち逃げする「出口詐欺（エグジット・スカム）」が後を絶たないからです。 [69:0.30s]
エボリューションという巨大市場では、一夜にして約14億円相当のビットコインが持ち逃げされました。 [70:0.30s]
盗っ人猛々しいとはまさにこのことです。 [71:1.00s]
第4章：命の値段 [72:1.00s]
「あなたの嫌いな人間を消します」 [73:0.25s]
ダークウェブには、そんな謳い文句を掲げた「暗殺請負サイト」が実在します。 [74:0.30s]
かつて話題になった「Besa Mafia（ベサ・マフィア）」というサイトは、マフィアのメンバーが殺人を代行すると宣伝し、ターゲットの写真や行動パターンを入力させていました。 [75:0.30s]
このサイトを運営していたのは、「Yura（ユラ）」と名乗る人物でした。 [76:0.30s]
彼は巧みな心理操作で依頼者を信じ込ませ、時には「警察が動いているから、捜査を止めるために追加料金が必要だ」と脅して、さらに金を巻き上げていました。 [77:0.30s]
彼は「我々はアルバニア・マフィアと提携している」と主張していましたが、これもまた、恐怖心を煽って金を騙し取るための常套句でした。 [78:0.30s]
実際には、彼は東欧のどこかにある安アパートの一室で、パソコンに向かってニヤニヤしながら、世界中の殺意を金に変えていたのです。 [79:0.30s]
