2013年、ロシアのチェリャビンスク州に隕石が落下し、世界中を驚かせました。 [1:0.30s]
ドライブレコーダーに記録されたその閃光と衝撃波は、現代人に宇宙の脅威をまざまざと見せつけました。 [2:0.30s]
しかし、今から約100年前、同じロシアの大地で、チェリャビンスクの比ではない、人類史上最大級の爆発事故が起きていたことをご存知でしょうか。 [3:0.30s]
1908年6月30日、午前7時14分。 [4:0.30s]
シベリアの奥地、ポドカメンナヤ・ツングースカ川の上空で、広島型原爆の1000倍とも言われるエネルギーが炸裂しました。 [5:0.30s]
その衝撃は凄まじく、爆心地から1000キロメートル離れた場所でも窓ガラスが割れ、人々は地面に投げ出されました。 [6:0.30s]
地震計の針は振り切れ、その衝撃波は地球を2周したと記録されています。 [7:0.30s]
遠く離れたドイツのポツダムや、アメリカのワシントンD. [8:0.25s]
C. [9:0.25s]
でも、大気の微細な振動が観測されました。 [10:0.30s]
東京都の面積に匹敵する2000平方キロメートルの森林が一瞬にして焼き払われ、8000万本もの木々がマッチ棒のようにへし折られました。 [11:0.30s]
もし、この爆発があと数時間ずれて、地球の自転によってモスクワやロンドンの上空で起きていたら、歴史は大きく変わっていたでしょう。 [12:0.30s]
数百万人の命が奪われ、地図から大都市が消滅していたはずです。 [13:0.30s]
しかし、最も不可解なのは、これほどの破壊をもたらしながら、爆発の中心にはクレーターも、隕石の破片も、何一つとして見つからなかったことです。 [14:0.30s]
まるで、巨大なエネルギーの塊が、何の前触れもなく空間に出現し、そして消え去ったかのように。 [15:0.30s]
この事実は、当時の科学者たちを困惑させ、現代に至るまで数多くの憶測を呼び続けています。 [16:0.30s]
それは単なる自然災害だったのか、それとも未知のテクノロジーによる攻撃だったのか。 [17:0.30s]
あるいは、神の怒りだったのか。 [18:0.30s]
今夜は、20世紀最大のミステリー、ツングースカ大爆発の真相に、科学とオカルト、そして陰謀論の両面から深く切り込んでいきます。 [19:1.00s]
第1章：シベリアの閃光 [20:1.00s]
1908年6月30日の早朝、シベリアの広大なタイガの森に、異変が起こりました。 [21:0.30s]
まず、空に巨大な火球が現れました。 [22:0.30s]
それは、太陽よりも明るく輝き、猛烈な速度で地表に向かって落下していきました。 [23:0.30s]
そして、午前7時14分、火球は地上約5キロメートルから10キロメートルの上空で爆発しました。 [24:0.30s]
その瞬間、強烈な閃光が空を覆い、続いて巨大な衝撃波が地表を襲いました。 [25:0.30s]
爆発の中心から約60キロメートル離れたヴァナワラ交易所。 [26:0.30s]
そこで朝食をとっていたS. [27:0.25s]
B. [28:0.25s]
セメノフという男性は、後にこう証言しています。 [29:0.30s]
「突然、空が二つに割れ、森の上空全体が火に包まれたように見えた。 [30:0.30s]
その熱さは凄まじく、まるで着ているシャツに火がついたかのようだった。 [31:0.30s]
次の瞬間、目に見えない巨大な力で椅子ごと吹き飛ばされ、意識を失った」 [32:0.25s]
彼の証言は、爆発の凄まじさを物語っています。 [33:0.30s]
衝撃波は地球を2周し、遠く離れたロンドンの気圧計さえも振動させました。 [34:0.30s]
また、爆発の直後には黒い雨が降り注ぎ、現地の川や湖を汚染しました。 [35:0.30s]
この雨を浴びた人々の中には、後に原因不明の皮膚病や脱毛に苦しむ者が現れました。 [36:0.30s]
これは、核爆発の後に降る放射能を含んだ雨と酷似しており、後に「古代の核戦争説」が生まれるきっかけの一つとなりました。 [37:0.30s]
さらに、爆発から数日間、シベリアの空は不気味なほど静まり返り、鳥の声さえ聞こえなくなったと言われています。 [38:0.30s]
自然界のすべての生き物が、この異常な出来事に怯え、息を潜めていたのです。 [39:0.30s]
そして、世界中で奇妙な現象が報告されました。 [40:0.30s]
ロンドンやストックホルムでは、真夜中になっても空が明るく、街灯なしで新聞が読めるほどでした。 [41:0.30s]
これは白夜のような現象ですが、通常の白夜とは異なり、空が不気味な銀色に輝いていたと言います。 [42:0.30s]
大気中に巻き上げられた大量の塵や氷の結晶が、太陽光を反射していたのです。 [43:0.30s]
それはまるで、地獄の釜の蓋が開いたかのような、この世の終わりを思わせる光景でした。 [44:1.00s]
第2章：発見の遅れ [45:1.00s]
不思議なことに、この大爆発は、すぐには科学的な調査が行われませんでした。 [46:0.30s]
なぜなら、当時のロシア帝国は、日露戦争の敗北、第一次世界大戦への参戦、そしてロシア革命という激動の時代にあり、シベリアの奥地で起きた爆発事故にかまっている余裕などなかったからです。 [47:0.30s]
また、現地に住む先住民族エヴェンキの人々は、この爆発を「雷神オグディの怒り」だと信じ、恐れおののいていました。 [48:0.30s]
彼らの伝承によれば、オグディは鉄の鳥に乗って空を飛び、地上に災いをもたらす神です。 [49:0.30s]
彼らは、部族間の争いやシャーマンの呪いが、この神の怒りを招いたのだと考えました。 [50:0.30s]
「火のついた鳥が森に落ち、すべてを焼き尽くした」 [51:0.25s]
「大地が裂け、そこから悪魔の煙が立ち上った」 [52:0.25s]
彼らは呪われた地として爆心地に近づくことを拒み、外部の人間を案内することさえ拒絶しました。 [53:0.30s]
そのため、正確な場所さえ特定できない状態が続いたのです。 [54:0.30s]
最初の本格的な調査隊が現地に入ったのは、爆発から19年後の1927年。 [55:0.30s]
ソ連科学アカデミーの鉱物学者、レオニード・クーリック率いる探検隊でした。 [56:0.30s]
彼は「巨大な鉄隕石が落下したはずだ」と確信し、それを回収してソ連の産業に役立てようという野心を持っていました。 [57:0.30s]
しかし、彼がそこで見たものは、予想を遥かに超える異様な光景でした。 [58:1.00s]
第3章：信じがたい光景 [59:1.00s]
クーリックが見たのは、信じがたい光景でした。 [60:0.30s]
爆発の中心から半径約30キロメートルにわたって、森林が完全に破壊されていました。 [61:0.30s]
約8000万本の木々が、まるで巨人が手でなぎ払ったかのように、爆心地から外側に向かって放射状に倒れていたのです。 [62:0.30s]
上空から見ると、それは巨大な蝶のような形をしていました。 [63:0.30s]
しかし、最も奇妙だったのは、爆発の正確な中心地点（グラウンド・ゼロ）にある木々だけが、倒れずに直立していたことです。 [64:0.30s]
ただし、その姿は異様でした。 [65:0.30s]
枝や葉はすべて吹き飛ばされ、樹皮も剥がれ落ち、まるで黒焦げになった電信柱のように立っていたのです。 [66:0.30s]
その光景は、あまりにも異様で、自然界のものとは思えませんでした。 [67:0.30s]
クーリックは日記にこう記しています。 [68:0.30s]
「まるで、巨大なバーナーで森全体を焼き払ったようだ」と。 [69:0.30s]
これは、爆発が地表ではなく、真上で起こったことを意味します。 [70:0.30s]
真上からの衝撃波が、木を垂直に押し潰したため、倒れることなく枝だけが削ぎ落とされたのです。 [71:0.30s]
そして、クーリックが必死に探したクレーターも、隕石の破片も、そこには一切存在しませんでした。 [72:0.30s]
あるのは、泥炭層の底なし沼だけでした。 [73:0.30s]
この不可解な状況を説明するために、近年注目されているのが「地球物理学的仮説」です。 [74:0.30s]
これは、地下から噴出した大量のメタンガスが爆発の原因だとする説です。 [75:0.30s]
シベリアの永久凍土の下には、膨大な量のメタンガスが閉じ込められています。 [76:0.30s]
