2012年12月21日。 [1:0.30s]
この日付を覚えているでしょうか。 [2:0.30s]
世界中の人々が固唾を呑んで見守った運命の日です。 [3:0.30s]
マヤ文明の長期暦が終わりを迎え、人類は滅亡する。 [4:0.30s]
そんな予言がまことしやかに囁かれ、ハリウッド映画『2012』がその恐怖を煽りました。 [5:0.30s]
フランスのブガラッシュ山には「UFOに救済される」と信じた人々が押し寄せ、中国では箱舟を作ろうとした男が逮捕され、NASAには問い合わせの電話が殺到しました。 [6:0.30s]
アメリカでは、地下シェルターの売上が急増し、「ドゥームズデイ・プレッパーズ（終末への備えをする人々）」と呼ばれる集団がメディアの注目を集めました。 [7:0.30s]
彼らは、食糧や武器を備蓄し、文明崩壊後のサバイバル術を真剣に訓練していました。 [8:0.30s]
しかし、ご存知の通り、世界は終わりませんでした。 [9:0.30s]
太陽はまた昇り、私たちは今もこうして生きています。 [10:0.30s]
あの日、シェルターの中で震えていた人々は、翌朝、どのような顔をして地上に出てきたのでしょうか。 [11:0.30s]
おそらく、安堵と同時に、少しの気まずさを感じていたに違いありません。 [12:0.30s]
しかし、この騒動は、現代人がいかに終わりという概念に囚われているかを浮き彫りにしました。 [13:0.30s]
私たちは心のどこかで、今の行き詰まった社会が一度リセットされることを望んでいるのかもしれません。 [14:0.30s]
では、マヤの予言は、単なる古代人の妄想、あるいは現代人の集団ヒステリーだったのでしょうか。 [15:0.30s]
いいえ、そう結論づけるのは早計です。 [16:0.30s]
マヤ人が予言していたのは、世界の物理的な死ではなく、もっと深遠な精神的な再生だったのかもしれません。 [17:0.30s]
彼らは、星々の運行の中に、宇宙の巨大なリズムを読み取っていました。 [18:0.30s]
そのリズムは、数千年単位で刻まれる、壮大な交響曲のようなものです。 [19:0.30s]
今夜は、マヤ文明が残した驚異的な天文学的知識と、彼らが本当に伝えたかった人類の大転換について、改めて深く考察します。 [20:1.00s]
第1章：マヤ文明の謎 [21:1.00s]
マヤ文明は、紀元前2000年頃から16世紀まで、現在のアメリカ大陸、メキシコ南東部からグアテマラにかけての地域で栄えた高度な文明です。 [22:0.30s]
彼らは金属器を持たず、車輪の実用化もしませんでしたが、数学と天文学においては、同時代のヨーロッパを遥かに凌駕していました。 [23:0.30s]
特筆すべきはゼロの概念の発見です。 [24:0.30s]
インドでゼロが発見されるよりも数百年早く、マヤ人は貝殻の記号を使ってゼロを表し、20進法という複雑な計算システムを駆使していました。 [25:0.30s]
また、彼らは独自の文字システムマヤ文字を持っていました。 [26:0.30s]
これは、漢字のような表意文字と、アルファベットのような表音文字を組み合わせた、極めて複雑なシステムです。 [27:0.30s]
長らく解読不能とされていましたが、ソ連の言語学者ユーリー・クノロゾフの天才的なひらめきによって、20世紀後半にようやく解読が進みました。 [28:0.30s]
その結果、石碑に刻まれていたのは、単なる暦や神話だけでなく、王たちの血塗られた戦争の歴史であることも判明しました。 [29:0.30s]
彼らは、星の動きに合わせて戦争を始め、捕虜を生贄に捧げていました。 [30:0.30s]
天文学は、彼らにとって単なる科学ではなく、政治や宗教と密接に結びついた、統治のための強力なツールだったのです。 [31:0.30s]
