「我は死なり、世界の破壊者なり」 [1:0.25s]
1945年7月16日、ニューメキシコ州アラモゴード。 [2:0.30s]
人類初の原爆実験トリニティが成功した瞬間、開発責任者のロバート・オッペンハイマーは、ある古代の聖典の一節を口ずさみました。 [3:0.30s]
それは、古代インドの聖典『バガヴァッド・ギーター』の言葉です。 [4:0.30s]
オッペンハイマーは、単なる物理学者ではなく、サンスクリット語を原書で読むほどの東洋哲学愛好家でした。 [5:0.30s]
彼は、核兵器の破壊力を目の当たりにした時、即座に古代インドの神々の怒りを連想したのです。 [6:0.30s]
彼は後に、学生から「あれは人類最初の核爆発だったのですか？ [7:0.30s]
」と問われ、こう答えたと言われています。 [8:0.30s]
「近代においては、そうだ」と。 [9:0.30s]
この謎めいた言葉は、何を意味しているのでしょうか。 [10:0.30s]
古代インドの時間的宇宙論によれば、世界は4つの時代（ユガ）を繰り返すとされています。 [11:0.30s]
黄金の時代「サティヤ・ユガ」、銀の時代「トレーター・ユガ」、銅の時代「ドヴァーパラ・ユガ」、そして鉄と争いの時代カリ・ユガです。 [12:0.30s]
私たちは現在、最も道徳が低下し、争いが絶えないカリ・ユガの時代を生きています。 [13:0.30s]
しかし、オッペンハイマーが恐れたのは、前の時代の終わりにも、現代と同じような核の火が燃え上がったのではないか、という可能性でした。 [14:0.30s]
もし、私たちが最初ではなかったとしたら？ [15:0.30s]
遥か太古の昔、現代文明を凌駕する超古代文明が存在し、核戦争によって滅び去っていたとしたら？ [16:0.30s]
今夜は、古代インドの叙事詩に記された戦慄の記録と、世界各地に残る古代核戦争の痕跡を徹底的に検証します。 [17:1.00s]
第1章：マハーバーラタの記述 [18:1.00s]
『マハーバーラタ』は、紀元前4世紀から紀元後4世紀にかけて成立したとされる、古代インドの壮大な叙事詩です。 [19:0.30s]
全18巻、10万詩節にも及ぶこの物語は、単なる神話ではなく、実際に起きた「バーラタ族の戦争」を記録したものだと言われています。 [20:0.30s]
この戦争の規模は凄まじく、両軍合わせて18の「アクシャウヒニー（軍団）」が激突しました。 [21:0.30s]
1つのアクシャウヒニーは、戦車21,870両、象21,870頭、騎馬65,610頭、歩兵109,350人で構成されます。 [22:0.30s]
つまり、数百万の兵士がクルクシェートラの平原で戦ったのです。 [23:0.30s]
そして、この戦争のクライマックスで投入されたのが、神々の力を宿した超兵器でした。 [24:0.30s]
特に注目すべきは、第7巻「ドローナ・パルヴァ」に記されたアグネイヤと呼ばれる兵器の描写です。 [25:0.30s]
「それは、太陽が一万個集まったほどの輝きを放ち、煙と炎の巨大な柱となって立ち昇った」 [26:0.25s]
「死の使者であるその鉄の雷は、ヴリシュニ族とアンダカ族を灰へと変えた」 [27:0.25s]
「死体は誰のものか判別できないほど焼けただれ、鳥たちは白く変色した」 [28:0.25s]
「数時間後、すべての食料は毒され、生き残った兵士たちは水の中に飛び込み、装備を洗い流そうとした」 [29:0.25s]
また、別の箇所では巨大な鉄の矢についてこう記されています。 [30:0.30s]
「それは、雲ひとつない空から放たれ、大地を揺るがした」 [31:0.25s]
「象たちは炎に包まれて逃げ惑い、水は沸騰して生き物を殺した」 [32:0.25s]
これらは、現代の私たちが知る核爆発の特徴そのものです。 [33:0.30s]
強烈な閃光、キノコ雲、熱線による焼死、そして放射能汚染による食品の汚染と除染作業。 [34:0.30s]
古代の詩人が、見たこともない現象をこれほど正確に想像で書くことができるでしょうか。 [35:1.00s]
第2章：ブラフマーストラという兵器 [36:1.00s]
さらに恐ろしい兵器として登場するのが「ブラフマーストラ」です。 [37:0.30s]
これは創造神ブラフマーの力を宿した究極の兵器であり、現代で言えば「戦略核ミサイル」に相当します。 [38:0.30s]
物語の中で、アシュヴァッターマンという戦士が、この禁断の兵器を使用する場面があります。 [39:0.30s]
彼が呪文を唱えて草の茎（あるいは鉄の棒）を投げると、それは「宇宙を焼き尽くすほどの炎」となって敵を襲いました。 [40:0.30s]
これに対抗して、英雄アルジュナもまた、同じブラフマーストラを放ちました。 [41:0.30s]
二つの炎が空中で衝突し、世界が滅びそうになったその時、賢者たちが仲裁に入りました。 [42:0.30s]
「この兵器を収めよ。 [43:0.30s]
さもなくば世界は終わる」 [44:0.25s]
アルジュナは精神統一して兵器を回収しましたが、アシュヴァッターマンにはそれができませんでした。 [45:0.30s]
彼は制御を失った兵器を、敵の王女の胎内に向けたのです。 [46:0.30s]
クリシュナ神は、この兵器の使用を激しく非難し、こう言いました。 [47:0.30s]
「この兵器は、胎児さえも殺す」 [48:0.25s]
実際、アシュヴァッターマンが放ったブラフマーストラは、敵の王女の胎内にいた子供を殺してしまいました。 [49:0.30s]
これは、放射線が細胞分裂の活発な胎児に最も深刻な影響を与えるという、現代医学の知識と完全に一致します。 [50:0.30s]
また、ブラフマーストラが使用された土地は、その後12年間（あるいは数世代）にわたって草木が生えず、不毛の地になると警告されています。 [51:0.30s]
これは、残留放射能による土壌汚染を示唆しているのではないでしょうか。 [52:0.30s]
古代の人々は、目に見えない毒の存在を知っていたのです。 [53:1.00s]
第3章：モヘンジョダロの謎 [54:1.00s]
古代核戦争説を裏付けるかのような考古学的証拠が、インドの遺跡から発見されています。 [55:0.30s]
その代表が、モヘンジョダロ遺跡です。 [56:0.30s]
死の丘を意味するモヘンジョダロ。 [57:0.30s]
この遺跡で発見された不可解な遺体は、考古学者たちを悩ませ続けています。 [58:0.30s]
この都市は、現代の都市計画にも匹敵する高度な技術で作られていました。 [59:0.30s]
碁盤の目状に整備された道路、完備された上下水道、そして規格化されたレンガ。 [60:0.30s]
彼らは平和で豊かな生活を送っていました。 [61:0.30s]
通常、古代の都市が滅びる場合、遺体は埋葬されるか、あるいは戦死者として武器と共に発見されるはずです。 [62:0.30s]
しかし、ここで見つかった46体の遺体は、井戸のそばで水を汲もうとしたり、通りで手をつないで歩いていたり、あるいは家の中でくつろいでいたりと、日常生活の真っ只中で突然死したような状態で発見されました。 [63:0.30s]
彼らには外傷がなく、武器も持っていませんでした。 [64:0.30s]
まるで、瞬きする間もないほどの速さで、何らかの衝撃波や熱線に襲われたかのようです。 [65:0.30s]
また、モヘンジョダロには大浴場と呼ばれる巨大な水槽施設が存在します。 [66:0.30s]
これは宗教的な沐浴に使われたとされていますが、一部の研究者は、これが放射能汚染を洗い流すための除染施設だったのではないかと推測しています。 [67:0.30s]
もしそうなら、彼らは目に見えない死の灰と戦っていたことになります。 [68:0.30s]
さらに、遺跡の一部では、レンガや土器がドロドロに溶けてガラス化したトリニタイトのような物質が発見されています。 [69:0.30s]
分析の結果、これらは1500度以上の超高温に短時間で晒されたことが判明しました。 [70:0.30s]
当時の技術で、これほどの高温を作り出すことは不可能です。 [71:0.30s]
火山の噴火も、隕石の衝突も、この地域では記録されていません。 [72:0.30s]
では、一体何が彼らを一瞬で焼き尽くしたのでしょうか。 [73:1.00s]
第4章：高濃度の放射線 [74:1.00s]
さらに衝撃的な証拠があります。 [75:0.30s]
モヘンジョダロの遺跡から発見された人骨の一部から、通常よりも高濃度の放射線が検出されたというのです。 [76:0.30s]
1979年、イギリスの研究者デヴィッド・ダヴェンポートとイタリアのエットーレ・ヴィンセンティは、モヘンジョダロで徹底的な現地調査を行いました。 [77:0.30s]
