1万2000年前、人類はまだ狩猟採集民でした。 [1:0.30s]
農業も、都市も、文明も存在しない時代です。 [2:0.30s]
少なくとも、私たちはそう教わってきました。 [3:0.30s]
しかし、1995年にトルコ南東部で発見された遺跡が、この常識を根底から覆しました。 [4:0.30s]
その名は、ギョベクリ・テペ。 [5:0.30s]
トルコ語で太鼓腹の丘を意味するこの場所には、ピラミッドよりも7000年も古い、人類最古の神殿が眠っていたのです。 [6:0.30s]
高さ5メートル、重さ50トンを超える巨大なT字型の石柱が、円形に並べられている。 [7:0.30s]
石柱には精巧な動物の彫刻が刻まれている。 [8:0.30s]
そして最も衝撃的なのは、この巨大構造物を作ったのが、農業も車輪も金属も持たない狩猟採集民だったということです。 [9:0.30s]
考古学者たちは困惑しました。 [10:0.30s]
なぜなら、これまでの定説では、人類は農業を発明して定住し、余剰の食料を得てから初めて、神殿のような複雑な建造物を作れるようになったとされていたからです。 [11:0.30s]
しかし、ギョベクリ・テペはその順序を逆転させました。 [12:0.30s]
神殿が先で、農業は後だったのかもしれないのです。 [13:0.30s]
今夜は、人類史を書き換えるこの謎の遺跡と、そこに隠された古代の秘密に迫ります。 [14:1.00s]
第1章：発見の経緯 [15:1.00s]
ギョベクリ・テペは、トルコ南東部、シリア国境からわずか50キロメートルの丘の上にあります。 [16:0.30s]
実は、この遺跡は1963年にアメリカとトルコの合同調査チームによって一度発見されていました。 [17:0.30s]
しかし当時の考古学者たちは、散らばっていた石を中世の墓地の残骸だと判断し、それ以上の調査は行われませんでした。 [18:0.30s]
30年後の1994年、ドイツの考古学者クラウス・シュミットがこの場所を訪れました。 [19:0.30s]
彼は地表に露出していた石の配置を見て、すぐにこれが単なる墓地ではないことに気づきました。 [20:0.30s]
翌1995年から本格的な発掘が始まり、地中から次々と巨大な石柱が現れました。 [21:0.30s]
そして、放射性炭素年代測定の結果、この遺跡が紀元前9500年から紀元前8000年頃のものであることが判明したのです。 [22:0.30s]
これはエジプトのピラミッドよりも約7000年、イギリスのストーンヘンジよりも約6000年も古い時代です。 [23:0.30s]
シュミットは自らの発見について、こう語っています。 [24:0.30s]
「私たちが知っている人類史は、完全に書き換えられなければならない」 [25:1.00s]
第2章：謎のT字型石柱 [26:1.00s]
ギョベクリ・テペで最も印象的なのは、高さ3メートルから5メートルを超える巨大なT字型の石柱です。 [27:0.30s]
これまでに200基以上の石柱が確認されており、まだ地中に埋まっているものを含めると、最終的には1000基に達すると推定されています。 [28:0.30s]
最大の石柱は高さ5.5メートル、重さ50トン以上。 [29:0.30s]
これらの石は、丘のふもとの石切り場から運ばれてきました。 [30:0.30s]
