朝のデスクに座った瞬間から、決めることが山のように積み上がる。 [1:0.30s]
メールの返信順、会議資料の仕上げ、突然の依頼、家族からの連絡。 [2:0.30s]
頭は忙しくても心は散っていき、気づけば午前だけで体力が削られる。 [3:0.30s]
そんな朝に三分だけ、自分の軸を一行で書く時間を取ってほしい。 [4:0.30s]
今日だけ譲れない一つを書く。 [5:0.30s]
そのたった一行が一日の揺れを止める。 [6:0.30s]
決断疲れの正体は、毎回ゼロから考えていることにある。 [7:0.30s]
人は一日に数千回の小さな選択をする。 [8:0.30s]
都度考えるたびに脳は燃料を使い、感情は摩耗する。 [9:0.30s]
だから賢い人ほど、判断の起点を外に置く。 [10:0.30s]
紙に「今日の譲れない一つ」を書くことは、迷いを紙に預ける行為だ。 [11:0.30s]
頭の中で渦巻く優先順位を、見える場所に一度だけ据える。 [12:0.30s]
これだけで朝からの焦燥が静まる。 [13:0.30s]
三分でできる。 [14:0.30s]
ペンを持ち、タイマーをセットし、今日だけ守りたい一つを書く。 [15:0.30s]
仕事なら「午後の企画書の質を守る」、家庭なら「夕食は家族と食べる」、健康なら「夕方に十分歩く」。 [16:0.30s]
飾らず短く、一行で十分。 [17:0.30s]
机の脇やノートの一番上、スマホのロック画面に置く。 [18:0.30s]
迷った瞬間に目に入る位置が大事だ。 [19:0.30s]
書いた瞬間、脳は「今日はこれを軸に動く」と決め、余計な分岐を減らし始める。 [20:0.30s]
試してほしい。 [21:0.30s]
タイマーを三分にセットし、席を立たずに書き切る。 [22:0.30s]
途中で文言を整えすぎない。 [23:0.30s]
勢いで書いた一行が、その日の本音を映す。 [24:0.30s]
日中に迷いが出たら、即座に一行を読む。 [25:0.30s]
上司から急な依頼が来ても、取引先から変更が飛んでも、まず目を落とす。 [26:0.30s]
「今日の軸は何か」を一秒で思い出すだけで、反射的なYESを止められる。 [27:0.30s]
軸と合わなければ、代替案を静かに返す。 [28:0.30s]
「午後は企画書に集中する日なので、夕方以降に対応します」「先に概要だけ共有いただければ、夜に仕上げます」。 [29:0.30s]
軸があると断り方まで整い、罪悪感に流されにくくなる。 [30:0.30s]
会議前にこそ効く。 [31:0.30s]
資料が足りない、議題が増えた、時間が押している。 [32:0.30s]
