会議の五分前に議題が増え、資料が足りず、時間も押している。 [1:0.30s]
誰かの強い意見に流されそうになり、反射で「賛成です」と言いそうになる。 [2:0.30s]
そんな場面こそ、即席のミニ原則が効きます。 [3:0.30s]
反射的なYESを止め、目的に戻り、短時間で決めるための三行を持ち歩く。 [4:0.30s]
三行だけの「携帯用の軸」があれば、声の大きさや空気に飲まれずに済みます。 [5:0.30s]
今日はミニ原則の作り方と、朝・会議前・会議中・会議後、メールや家庭での使い方まで、具体的に整えます。 [6:0.30s]
聞き終わるころには、会議前の数分で軸を準備し、反射を止め、静かに決められる自分がイメージできているはずです。 [7:0.30s]
ミニ原則は三行で作ります。 [8:0.30s]
一行目は今日の目的。 [9:0.30s]
「提案Aの質を守る」「リスクを三つ洗い出す」「合意条件を決める」。 [10:0.30s]
二行目は判断の基準。 [11:0.30s]
「長期の影響を優先」「担当のリソースを確保」「顧客体験を下げない」「安全第一」。 [12:0.30s]
三行目は言わないフレーズ。 [13:0.30s]
「急いで決めましょう」「とりあえず進めます」「みんなやっている」「あなたのせい」。 [14:0.30s]
五行目を足したくなっても、あえて三行に絞ります。 [15:0.30s]
短いほど思い出せ、思い出せるほど反射が止まります。 [16:0.30s]
朝の静けさでミニ原則のベースを一度作ります。 [17:0.30s]
紙かメモアプリにテンプレを書き、今日の会議に合わせて具体語だけ差し替えます。 [18:0.30s]
目的、基準、言わないこと。 [19:0.30s]
差し替えは三分で終えるのがコツです。 [20:0.30s]
長く考えすぎると、会議前に見返す気力が落ちます。 [21:0.30s]
三分で作り、机の端とロック画面に置き、会議室に入る前に目でなぞれるようにします。 [22:0.30s]
朝に一度声に出して読むと、体に入り、反射が止まりやすくなります。 [23:0.30s]
会議室に入る前の五分が勝負です。 [24:0.30s]
扉の前か席につく前に、三行を見て深呼吸を一度。 [25:0.30s]
「今日の目的はこれ」「基準はこれ」「言わないのはこれ」。 [26:0.30s]
足の裏を床に押し、三秒で吸って六秒で吐く。 [27:0.30s]
体を止めてから入ると、空気に飲まれにくくなります。 [28:0.30s]
席に座ったら、ノートの一番上に三行を書き写し、見えるところに置きます。 [29:0.30s]
三行が視界にあるだけで、脱線しそうなときに戻れます。 [30:0.30s]
会議中は、話が逸れた瞬間に一行目に戻ります。 [31:0.30s]
「今日の目的はこれでしたよね」と静かに言う。 [32:0.30s]
声が大きい意見に引っ張られそうになったら、二行目の基準を使って問い直します。 [33:0.30s]
「この案は長期の影響をどう見ていますか」「顧客体験はどうなりますか」。 [34:0.30s]
時間が押し始めたら、三行目の「言わないフレーズ」を思い出し、拙速を止めます。 [35:0.30s]
「急いで決めましょう」が出たら、「影響とリスクだけ確認してからにしましょう」と返す。 [36:0.30s]
三行があると、反射ではなく基準で返せます。 [37:0.30s]
反射的なYESを止めるには、体の動きもセットにします。 [38:0.30s]
意見を求められたら、すぐに口を開かず、ペンを持つ手を一度膝に置き、深く座り直します。 [39:0.30s]
その間に三行を見る。 [40:0.30s]
体を止めると、反射が止まります。 [41:0.30s]
止まった隙間に基準が入り、言葉が選べます。 [42:0.30s]
体と三行をセットにすると、慣れていない人でも反射を止めやすくなります。 [43:0.30s]
会議後の三分で、ミニ原則を振り返ります。 [44:0.30s]
「守れた」「流された」「次はこう書く」を一行ずつ。 [45:0.30s]
流された理由を短く書く。 [46:0.30s]
「時間が足りなかった」「資料不足」「声が大きい意見に押された」。 [47:0.30s]
理由を書き、対策を次のテンプレに足します。 [48:0.30s]
「時間を十五分短く設定」「会議前に目的を全員に送る」「基準の一文を冒頭で共有」。 [49:0.30s]
三行の質は回数で磨かれます。 [50:0.30s]
磨くために、会議後三分をルール化してください。 [51:0.30s]
メールやチャットでもミニ原則は使えます。 [52:0.30s]
返信を書く前に三行を見て、目的と基準を一文で書き、言わないフレーズを避けます。 [53:0.30s]
「目的は〇〇」「基準は〇〇」「拙速は避け、明日〇時までに決めます」。 [54:0.30s]
短い三行を頭に置いておくだけで、感情的な返信や拙速な約束を減らせます。 [55:0.30s]
テンプレとしてメールの下書きに三行を入れておくと、即答圧を下げられます。 [56:0.30s]
家庭でも使えます。 [57:0.30s]
家族の話し合いで意見がぶつかりそうなとき、三行を書く。 [58:0.30s]
「今日決めるのは週末の予定」「基準は家族全員が休めること」「言わないのは『どっちでもいい』」。 [59:0.30s]
三分で枠を作り、テーブルに置く。 [60:0.30s]
感情が高ぶったら、問いで戻す。 [61:0.30s]
「今日決めるのは何？ [62:0.30s]
」「いつまでに？ [63:0.30s]
」「誰が？ [64:0.30s]
」。 [65:0.30s]
枠に戻すと、幼稚な応酬を避けられます。 [66:0.30s]
三行を支えるのはデジタルの設計です。 [67:0.30s]
ロック画面に三行の写真を置き、会議前に必ず見る習慣を入れる。 [68:0.30s]
通知を切って会議に入る。 [69:0.30s]
会議の議事録テンプレに「目的・基準・やらないこと」を入れておく。 [70:0.30s]
環境を先に整えると、意志力に頼らずに三行が使えます。 [71:0.30s]
三行は意志ではなく設計で守るものです。 [72:0.30s]
体調も反射に直結します。 [73:0.30s]
寝不足や空腹では、三行を思い出す前に反射で答えがちです。 [74:0.30s]
