一度裏切られた人を、もう一度信じたいと思う自分を責める必要はありません。 [1:0.30s]
ただ、同じ痛みを繰り返さない仕組みは持っておきたい。 [2:0.30s]
怒りで距離を取るのではなく、静かな基準で線を引く。 [3:0.30s]
その基準を紙に置いておけば、感情が揺れたときでも落ち着いて判断できます。 [4:0.30s]
今日は線引きメモを作り、朝・昼・夜で使いこなす流れをお伝えします。 [5:0.30s]
聞き終わるころには、許すかどうかではなく、自分をどう守るかに意識が移り、心拍が少し落ち着いているはずです。 [6:0.30s]
線引きメモは、三つの質問に答えるだけで作れます。 [7:0.30s]
何をされたら距離を置くのか。 [8:0.30s]
距離を置くときどう動くのか。 [9:0.30s]
その理由は何か。 [10:0.30s]
この三つを短く書きます。 [11:0.30s]
約束を二度破ったら返事を翌日に回す。 [12:0.30s]
嘘をつかれたら会う頻度を半分にする。 [13:0.30s]
他人を軽んじる発言をされたら仕事はメールだけにする。 [14:0.30s]
理由は自分の時間と信頼を守るため。 [15:0.30s]
感情的な反撃ではなく、行動の選択肢として書くことがポイントです。 [16:0.30s]
朝は線引きメモを読む時間を一分だけ作ります。 [17:0.30s]
スマホを開く前に、紙に書いた基準を目でなぞるだけで構いません。 [18:0.30s]
「約束を二度破られたら距離を置く」「嘘には返事を遅らせる」「境界を越えられたら頻度を減らす」。 [19:0.30s]
目でなぞり、深呼吸を一度入れる。 [20:0.30s]
朝に基準を思い出しておくと、日中に揺れたとき、反射的なYESや感情的なNOを避けやすくなります。 [21:0.30s]
線引きメモは厳しいルールではなく、落ち着くためのガイドです。 [22:0.30s]
日中は「反射を止める一言」とセットで使います。 [23:0.30s]
裏切った相手から連絡が来たとき、謝罪の言葉を聞いたとき、期待を持たせるような言い回しをされたとき。 [24:0.30s]
すぐに答えず「少し考えさせてください」「一度持ち帰ります」「明日お返事します」と伝え、足の裏を床に押して息を吐きます。 [25:0.30s]
その間に線引きメモを思い出し、今の言動が基準に照らしてどうかを見ます。 [26:0.30s]
即答を止める一言があると、メモを開く時間を稼げます。 [27:0.30s]
謝罪を受け取ったときほど、基準が役に立ちます。 [28:0.30s]
謝罪の言葉は感情を揺らしますが、信頼を作り直すには時間と行動が必要です。 [29:0.30s]
線引きメモを開き、約束が守られる行動が続いているかを事実で見る。 [30:0.30s]
ここで感情ではなく行動の履歴を見る習慣をつくります。 [31:0.30s]
守られていなければ、距離を置く行動に移す。 [32:0.30s]
守られているなら、少し関係を戻す。 [33:0.30s]
白黒ではなく、段階で決める。 [34:0.30s]
段階を紙に書いておけば、揺れたときでも落ち着けます。 [35:0.30s]
距離を置くと決めたときの伝え方も、事前に言葉を用意しておくとぶれません。 [36:0.30s]
「今は距離を置きたいです」「連絡は業務に限らせてください」「会う頻度を減らしたいです」。 [37:0.30s]
短く、感情を混ぜず、事実だけ伝えます。 [38:0.30s]
緊張するなら、メモの文面をそのまま読む。 [39:0.30s]
伝える前に深呼吸をして、足を床に押すと声が安定します。 [40:0.30s]
境界を伝えるのは攻撃ではなく、予告と共有です。 [41:0.30s]
