口癖は、その人の軸を映します。 [1:0.30s]
危険な口癖を持つ人に近づくと、決断が雑になり、時間と信頼が削られます。 [2:0.30s]
反対に、危険な口癖から距離を取り、自分の口癖を整えると、心拍が落ち着き、即答の後悔が減ります。 [3:0.30s]
今日は「関わらない口癖」を朝に覚え、日中はセルフトークで軸を合わせ、夜に三行で締める流れを作ります。 [4:0.30s]
これを回すだけで、口癖に振り回されない一日が始まります。 [5:0.30s]
関わらない口癖の例を五つ挙げます。 [6:0.30s]
「別にいいじゃん」「どうでもいい」。 [7:0.30s]
責任を放棄し、品質を下げる口癖。 [8:0.30s]
「みんなやってる」「前例がない」。 [9:0.30s]
思考停止を促し、リスクを増やす口癖。 [10:0.30s]
「責任取れないけど」。 [11:0.30s]
結果を他人に押しつける口癖。 [12:0.30s]
「急いで決めよう」。 [13:0.30s]
拙速を強要し、後悔を増やす口癖。 [14:0.30s]
「あなたのせい」。 [15:0.30s]
原因を外に置き、自分を変えない口癖。 [16:0.30s]
これらを聞いたら、距離を置くサインだと紙に書きます。 [17:0.30s]
朝の三分で、鏡に向かってセルフトークをします。 [18:0.30s]
「この口癖を聞いたら一度距離を置く」「急いで決めない」「責任は共有で持つ」「思考停止の言葉に乗らない」。 [19:0.30s]
声に出すと、軸が体に入ります。 [20:0.30s]
声に出せないときは心で唱え、深呼吸を一度入れます。 [21:0.30s]
朝に体と声で軸をセットすると、日中の揺れが小さくなります。 [22:0.30s]
日中に危険な口癖に出会ったら、反射を止める一言と呼吸を使います。 [23:0.30s]
足の裏を床に押し、三秒で吸って六秒で吐く。 [24:0.30s]
その間に「少し考えさせてください」「事実を整理させてください」と一言添えます。 [25:0.30s]
時間を作り、思考停止の空気に乗らないようにします。 [26:0.30s]
止まった間に、朝のセルフトークを思い出します。 [27:0.30s]
「急いで決めない」「責任を共有で持つ」。 [28:0.30s]
思い出せれば、感情に流されずに基準で答えられます。 [29:0.30s]
危険な口癖から距離を取るための定型も用意します。 [30:0.30s]
「その言い方だと判断しにくいので、事実を教えてください」「急ぎなら影響と期限を確認したいです」「責任の範囲を確認させてください」。 [31:0.30s]
短く、感情を混ぜず、事実に戻す言葉です。 [32:0.30s]
定型があると、攻撃的にも迎合的にもならずに済みます。 [33:0.30s]
自分の口癖も整えます。 [34:0.30s]
朝のセルフトークに、使いたい言葉を一つ入れます。 [35:0.30s]
「少し考えます」「目的に戻ります」「影響と納得で見ます」「今日は決めない」。 [36:0.30s]
口癖は意志ではなく習慣で作るものです。 [37:0.30s]
声に出す回数を増やすと、体に染み込みます。 [38:0.30s]
染み込むと、反射が変わります。 [39:0.30s]
昼には三十秒のリセットを入れます。 [40:0.30s]
背筋を伸ばし、足の裏を床に押し、三秒で吸って六秒で吐く。 [41:0.30s]
その間に危険な口癖と、自分のセルフトークを心で唱えます。 [42:0.30s]
午後の決断が静かになり、午前に聞いた口癖の影響を流せます。 [43:0.30s]
昼のリセットが、後半の後悔を減らします。 [44:0.30s]
夕方には五分歩きながら、今日出会った口癖を思い返します。 [45:0.30s]
危険な口癖は何だったか。 [46:0.30s]
距離を置けたか。 [47:0.30s]
自分の口癖は出せたか。 [48:0.30s]
分かったことを短く紙に書き、明日のセルフトークに一つ足します。 [49:0.30s]
「急いで決めよう」に弱かったなら、「今日は決めない」を足す。 [50:0.30s]
「責任取れないけど」に弱かったなら、「責任の範囲を聞く」を足す。 [51:0.30s]
日々少しずつ言葉を磨くことで、軸が太くなります。 [52:0.30s]
夜は三行レビューで口癖を区切ります。 [53:0.30s]
「守れた言葉」「揺れた口癖」「明日のセルフトーク」を一行ずつ書きます。 [54:0.30s]
「考えさせてくださいと言えた」「急いで決めように流されそうになった」「明日は影響と期限を聞く」。 [55:0.30s]
三行で反芻が止まり、眠りに向かえます。 [56:0.30s]
眠りが深まれば、翌朝のセルフトークが体に入りやすくなります。 [57:0.30s]
週に一度、口癖の棚卸しをします。 [58:0.30s]
危険な口癖を三つ、自分の使いたい口癖を三つ書き直し、理由を一つずつ添えます。 [59:0.30s]
生活が変われば、口癖も変えます。 [60:0.30s]
変える理由を書くと、更新に納得が生まれます。 [61:0.30s]
納得があれば、続きます。 [62:0.30s]
