眠れない夜、天井の暗がりに「意味」という言葉が浮かんでは消える。 [1:0.30s]
今日やったことに意味があったのか、明日も同じ意味のない日が続くのか。 [2:0.30s]
そんな夜は、アルベール・カミュの反逆する静けさを借りる。 [3:0.30s]
彼は「人生に意味がなくても、美しい瞬間は存在する」と言い切った。 [4:0.30s]
意味のない世界でも、あなたの呼吸は続く。 [5:0.30s]
今夜は、意味を探す手を止め、ただ生きていることの温度だけを感じる時間だ。 [6:0.30s]
カミュはアルジェリアの太陽の下で育った。 [7:0.30s]
貧しい家、病弱な体、孤独な少年時代。 [8:0.30s]
結核でサッカーを諦め、図書館に逃げ込み、夕方の光の中で哲学書を読み漁った。 [9:0.30s]
後に、レジスタンスの新聞を作り、命を賭けて言葉を書いた。 [10:0.30s]
夜の印刷所で回る輪転機の音を聞きながら、彼は「不条理」を撫でた。 [11:0.30s]
不条理な世界の中で、彼は日差し、海、煙草の火、友の笑いといった小さな実感だけを信じた。 [12:0.30s]
彼は、アルジェの港で夕暮れを眺め、波に浮かぶ油膜の虹を「無意味の中の色」と呼んだ。 [13:0.30s]
あなたの夜にも虹がある。 [14:0.30s]
スマートフォンの光を消し、布をかけて遮断し、部屋の灯りを一つに絞る。 [15:0.30s]
光の輪の外は暗い海。 [16:0.30s]
輪の中に手を差し入れ、手の影の輪郭を眺める。 [17:0.30s]
影が揺れるたび、四拍で吸い、四拍で止め、六拍で吐く。 [18:0.30s]
止める四拍で、意味という名の雑音が一度凍る。 [19:0.30s]
あなたも今夜、実感だけを信じる。 [20:0.30s]
部屋の灯りを落とし、光を一つに絞る。 [21:0.30s]
光の輪の外にある暗がりに、意味のないものをすべて置く。 [22:0.30s]
仕事の肩書き、今日の評価、明日の予定。 [23:0.30s]
暗がりは巨大な海だと思えばいい。 [24:0.30s]
光の輪の中には、あなたの呼吸だけがある。 [25:0.30s]
四拍で吸い、四拍で止め、六拍で吐く。 [26:0.30s]
止める四拍が、意味を一度凍らせる時間になる。 [27:0.30s]
カミュは「シーシュポスの神話」で、岩を押し上げ続ける男を「幸福だ」と書いた。 [28:0.30s]
理由は単純だった。 [29:0.30s]
岩を押すことそれ自体が、男の生だと認めたから。 [30:0.30s]
あなたの岩は何か。 [31:0.30s]
今日一番重かったことを一つ思い浮かべる。 [32:0.30s]
それを両手で抱えるように胸に当て、息を吐く。 [33:0.30s]
吐く息と一緒に、岩が少しだけ軽くなるイメージを持つ。 [34:0.30s]
岩は消えないが、手の温度で形を変える。 [35:0.30s]
岩を抱えたまま、足を布団に軽く押し付ける。 [36:0.30s]
足裏が地面を感じた瞬間、岩に支点ができる。 [37:0.30s]
支点ができると、岩は少しだけ動く。 [38:0.30s]
動かなくてもいい。 [39:0.30s]
支点があるとわかるだけで、岩の重さは変わる。 [40:0.30s]
カミュは海を愛した。 [41:0.30s]
波の音を「不条理の子守唄」と呼び、岸辺の石を拾ってはポケットに入れた。 [42:0.30s]
あなたも、ポケットの代わりに枕元に小石を一つ置く。 [43:0.30s]
小石がなければ、コインやボタンでもいい。 [44:0.30s]
手に持って、冷たさと重さを感じる。 [45:0.30s]
冷たさは世界の無関心、重さはあなたの実在。 [46:0.30s]
冷たさと重さを同時に感じると、意味がなくても存在していることがわかる。 [47:0.30s]
彼は夜、窓辺で煙草に火をつけ、煙が月光で薄く光るのを眺めた。 [48:0.30s]
火の点滅を「生の証拠」と呼んだ。 [49:0.30s]
あなたも火の代わりに、胸の鼓動を光として感じる。 [50:0.30s]
右手を胸に置き、鼓動が指を押し返すのを感じる。 [51:0.30s]
鼓動は意味のあるなしに関係なく動く。 [52:0.30s]
鼓動を数える代わりに、「生きてる」を心で繰り返す。 [53:0.30s]
意味より先にある言葉だ。 [54:0.30s]
鼓動が速い夜は、舌先を歯の裏に当て、唇を閉じ、鼻から長く吐く。 [55:0.30s]
吐く息に合わせて鼓動が少し遅くなるのを感じる。 [56:0.30s]
遅くならなくても構わない。 [57:0.30s]
鼓動を眺めること自体が、意味を脱ぐ所作になる。 [58:0.30s]
カミュは「反抗するとは、はいと言わないことだ」と言った。 [59:0.30s]
今夜だけは、頭の中で「意味は？ [60:0.30s]
」と問いかけてくる声に「今は答えない」と告げる。 [61:0.30s]
布団の上で、手のひらを上に向け、「今は答えない」と心で三回唱える。 [62:0.30s]
答えないことが反抗だ。 [63:0.30s]
反抗が終わると、静けさが始まる。 [64:0.30s]
彼は孤独を恐れなかった。 [65:0.30s]
孤独の海に浮かぶために、「夜の友」を作った。 [66:0.30s]
お気に入りのフレーズを一つ選び、繰り返す。 [67:0.30s]
「たとえ意味がなくても、息は続く」「私はここにいる」。 [68:0.30s]
あなたも、フレーズを一つ選び、呼吸に合わせて小さく唱える。 [69:0.30s]
フレーズは魔法ではない。 [70:0.30s]
ただ、夜の浮輪になる。 [71:0.30s]
フレーズを唱えながら、指先で枕の縁をなぞる。 [72:0.30s]
縁のカーブは岸辺の形だ。 [73:0.30s]
岸辺があると、海に浮かぶ安心が生まれる。 [74:0.30s]
縁を一周したら、指を止め、浮輪に身を預ける。 [75:0.30s]
カミュは「夕暮れの光は、誰のものでもない」と書いた。 [76:0.30s]
あなたも、光を誰のものでもなくする。 [77:0.30s]
スマートフォンを伏せて布をかける。 [78:0.30s]
布の向こうは外界、布のこちらはあなたの砂漠。 [79:0.30s]
砂漠に座り、遠くの蜃気楼を眺めるように天井を見る。 [80:0.30s]
蜃気楼に近づかない。 [81:0.30s]
見るだけ。 [82:0.30s]
見るだけで十分だ。 [83:0.30s]
砂漠の夜は冷たい。 [84:0.30s]
冷たさを作るため、手の甲を頬に当てる。 [85:0.30s]
頬の温度と手の冷たさが混ざり、砂漠の夜風になる。 [86:0.30s]
夜風を吸って、背中に流す。 [87:0.30s]
背中が少し冷えたら、意味はさらに遠のく。 [88:0.30s]
カミュは小さなカフェで一人、壁のひび割れをじっと眺めて「ひびも景色だ」と笑った。 [89:0.30s]
あなたの部屋にも、壁や天井の細かな傷や影がある。 [90:0.30s]
