眠れない夜、頭の中で「やらなきゃ」が渦巻く。 [1:0.30s]
何かを成さねばと肩に力が入る。 [2:0.30s]
そんな夜は、老子の「無為」を借りよう。 [3:0.30s]
老子は「何もしない人が、すべてを成す」と言った。 [4:0.30s]
無為とはサボりではない。 [5:0.30s]
流れに身を置き、余計な力を抜き、自然に委ねること。 [6:0.30s]
今夜は、あなたの「何もしない」を許可する時間だ。 [7:0.30s]
老子は紀元前の中国、周の時代に生まれたと伝わる。 [8:0.30s]
史書では、都の図書館の守り人として、静かに書を読んでいたと言う。 [9:0.30s]
孔子が訪れたとき、老子は「礼や仁を飾るな、自然に戻れ」と諭した。 [10:0.30s]
やがて、都を離れ、青い牛にまたがって西へ消えた。 [11:0.30s]
彼が残した「道徳経」は、わずか五千字。 [12:0.30s]
余白と沈黙の書だ。 [13:0.30s]
あなたの夜にも余白を作る。 [14:0.30s]
部屋の灯りを一つだけ残し、他を消す。 [15:0.30s]
暗さを水と見立て、あなたはその水面に浮かぶ葉だと思う。 [16:0.30s]
四拍で吸い、四拍で止め、八拍で吐く。 [17:0.30s]
吐く息で葉が揺れ、止める息で水が静まる。 [18:0.30s]
揺れと静けさを往復する。 [19:0.30s]
老子は「道は空の器」と書いた。 [20:0.30s]
空の器は、何かを入れても満ちない。 [21:0.30s]
枕元に空のコップを置き、何も入れずに指で縁を一度なぞる。 [22:0.30s]
空の冷たさを指に感じたら、コップの中に今日のやらねばを見送る。 [23:0.30s]
入れたまま蓋をしない。 [24:0.30s]
空っぽでいい。 [25:0.30s]
彼は「上善は水の如し」とも書いた。 [26:0.30s]
水は争わず、低いところへ流れる。 [27:0.30s]
あなたも低いところを探す。 [28:0.30s]
布団の上で一番へこんでいる場所に背中を預ける。 [29:0.30s]
へこみに体を合わせると、力が勝手に抜けていく。 [30:0.30s]
水は形を気にしない。 [31:0.30s]
あなたの体も、形にこだわらない。 [32:0.30s]
老子は「足るを知る者は富む」と言った。 [33:0.30s]
足りないときほど、眠れなくなる。 [34:0.30s]
今夜、足りているものを一つだけ数える。 [35:0.30s]
枕の柔らかさ、布団の重さ、呼吸のあること。 [36:0.30s]
数えたら、それ以上は数えない。 [37:0.30s]
足りている数は、一で充分だ。 [38:0.30s]
彼は「大器晩成」と言った。 [39:0.30s]
大きな器ほど、ゆっくり満ちる。 [40:0.30s]
あなたの夜も、ゆっくりでいい。 [41:0.30s]
天井を見上げ、ゆっくり瞬きをする。 [42:0.30s]
瞬きのたびに、器に一滴ずつ水が落ちると想像する。 [43:0.30s]
水音は聞こえなくていい。 [44:0.30s]
落ちていると信じるだけで、器は満ちていく。 [45:0.30s]
老子は「柔弱は剛強に勝る」と説いた。 [46:0.30s]
柔らかい草が風に折れず、硬い木が折れるのを見ていた。 [47:0.30s]
あなたの体も草になる。 [48:0.30s]
首を左右にゆっくり倒し、草が風にしなるイメージを持つ。 [49:0.30s]
しなるたびに、首の筋が緩む。 [50:0.30s]
緩んだ筋は、眠りを通す管になる。 [51:0.30s]
彼は「深根固柢（根を深く、柢を固く）」と書いた。 [52:0.30s]
根は見えないところにある。 [53:0.30s]
あなたも根を思う。 [54:0.30s]
足裏を布団に押し付け、足指をゆっくり開く。 [55:0.30s]
足指の間に空気が入ると、根が土に触れる感覚が生まれる。 [56:0.30s]
根を感じたら、足をゆるめる。 [57:0.30s]
