No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
1,CH20,001,CH20-001,CH20-001,眠れる雑学｜宇宙の静けさをゆったり,topic_research: pending,,workspaces/scripts/CH20/001/content/assembled.md,未完了,,2025-12-23 23:43:33,宇宙の静けさ,寝落ちへ,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「宇宙の静けさ」を入口に、リラックス方向へ静かに運びます。最後は 息を長く吐く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 宇宙の小ネタを一つだけ残す。
今夜の一手: 息を長く吐く
締め: 静かにおやすみへ。",,,,,,,,宇宙の静けさ 寝落ちへ,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Night sky, stars, cozy desk silhouette, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 宇宙の小ネタを一つだけ残す。
今夜の一手: 息を長く吐く
締め: 静かにおやすみへ。",,眠れる雑学｜宇宙の静けさをゆったり,workspaces/scripts/CH20/001/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,宇宙,リラックス,星,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
2,CH20,002,CH20-002,CH20-002,月の満ち欠け｜夜に聞く小話,topic_research: pending,,workspaces/scripts/CH20/002/content/assembled.md,未完了,,2025-12-23 23:43:33,月の話,静かに眠る,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「月の話」を入口に、落ち着く方向へ静かに運びます。最後は 窓の外を一度見る を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 月の小ネタを一つだけ残す。
今夜の一手: 窓の外を一度見る
締め: 静かにおやすみへ。",,,,,,,,月の話 静かに眠る,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Window with moonlight, calm night, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 月の小ネタを一つだけ残す。
今夜の一手: 窓の外を一度見る
締め: 静かにおやすみへ。",,月の満ち欠け｜夜に聞く小話,workspaces/scripts/CH20/002/content/assembled.md,,,,考えすぎ,頭が冴える,夜の窓辺,月,落ち着く,月光,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
3,CH20,003,CH20-003,CH20-003,星座の由来｜眠くなる夜空の話,topic_research: pending,,workspaces/scripts/CH20/003/content/assembled.md,未完了,,2025-12-23 23:43:33,星座,夜空の余韻,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「星座」を入口に、眠くなる方向へ静かに運びます。最後は 目を閉じて聞き流す を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 星座の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,,,,,,,星座 夜空の余韻,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Star map on desk, soft lamp, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 星座の小ネタを一つだけ残す。
今夜の一手: 目を閉じて聞き流す
締め: 静かにおやすみへ。",,星座の由来｜眠くなる夜空の話,workspaces/scripts/CH20/003/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,星座,眠くなる,星図,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
4,CH20,004,CH20-004,CH20-004,深海の世界｜暗い海のやさしい雑学,topic_research: pending,,workspaces/scripts/CH20/004/content/assembled.md,未完了,,2025-12-23 23:43:33,深海,やさしい雑学,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「深海」を入口に、落ち着く方向へ静かに運びます。最後は 吐く息を少し長く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 深海の小ネタを一つだけ残す。
今夜の一手: 吐く息を少し長く
締め: 静かにおやすみへ。",,,,,,,,深海 やさしい雑学,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Deep sea silhouette, calm dark blue, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 深海の小ネタを一つだけ残す。
今夜の一手: 吐く息を少し長く
締め: 静かにおやすみへ。",,深海の世界｜暗い海のやさしい雑学,workspaces/scripts/CH20/004/content/assembled.md,,,,考えすぎ,頭が冴える,夜更け,深海,落ち着く,波,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
5,CH20,005,CH20-005,CH20-005,動物たちの眠り方｜静かなトリビア,topic_research: pending,,workspaces/scripts/CH20/005/content/assembled.md,未完了,,2025-12-23 23:43:33,動物の眠り,静かな話,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「動物の眠り」を入口に、眠くなる方向へ静かに運びます。最後は まぶたをゆるめる を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 動物の小ネタを一つだけ残す。
今夜の一手: まぶたをゆるめる
締め: 静かにおやすみへ。",,,,,,,,動物の眠り 静かな話,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Cozy desk, animal silhouettes, soft, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 動物の小ネタを一つだけ残す。
今夜の一手: まぶたをゆるめる
締め: 静かにおやすみへ。",,動物たちの眠り方｜静かなトリビア,workspaces/scripts/CH20/005/content/assembled.md,,,,考えすぎ,頭が冴える,布団の中,動物,眠くなる,まどろみ,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
6,CH20,006,CH20-006,CH20-006,鳥の渡り｜空の旅を聞き流す,topic_research: pending,,workspaces/scripts/CH20/006/content/assembled.md,未完了,,2025-12-23 23:43:33,鳥の旅,聞き流す,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「鳥の旅」を入口に、リラックス方向へ静かに運びます。最後は 肩の力を抜く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 渡りの小ネタを一つだけ残す。
今夜の一手: 肩の力を抜く
締め: 静かにおやすみへ。",,,,,,,,鳥の旅 聞き流す,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Night sky, small birds silhouette, gentle wind, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 渡りの小ネタを一つだけ残す。
今夜の一手: 肩の力を抜く
締め: 静かにおやすみへ。",,鳥の渡り｜空の旅を聞き流す,workspaces/scripts/CH20/006/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,渡り,リラックス,風,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
7,CH20,007,CH20-007,CH20-007,植物は夜に何をしている？｜やさしい雑学,topic_research: pending,,workspaces/scripts/CH20/007/content/assembled.md,未完了,,2025-12-23 23:43:33,植物の夜,やさしい話,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「植物の夜」を入口に、落ち着く方向へ静かに運びます。最後は 深呼吸を3回 を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 植物の小ネタを一つだけ残す。
今夜の一手: 深呼吸を3回
締め: 静かにおやすみへ。",,,,,,,,植物の夜 やさしい話,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Houseplant by window, soft lamp, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 植物の小ネタを一つだけ残す。
今夜の一手: 深呼吸を3回
締め: 静かにおやすみへ。",,植物は夜に何をしている？｜やさしい雑学,workspaces/scripts/CH20/007/content/assembled.md,,,,考えすぎ,頭が冴える,夜の部屋,植物,落ち着く,葉,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
8,CH20,008,CH20-008,CH20-008,雨と雲のしくみ｜窓辺で眠るために,topic_research: pending,,workspaces/scripts/CH20/008/content/assembled.md,未完了,,2025-12-23 23:43:33,雨と雲,窓辺で眠る,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「雨と雲」を入口に、眠くなる方向へ静かに運びます。最後は 吐く息を長く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 天気の小ネタを一つだけ残す。
今夜の一手: 吐く息を長く
締め: 静かにおやすみへ。",,,,,,,,雨と雲 窓辺で眠る,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Rainy window, soft bokeh, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 天気の小ネタを一つだけ残す。
今夜の一手: 吐く息を長く
締め: 静かにおやすみへ。",,雨と雲のしくみ｜窓辺で眠るために,workspaces/scripts/CH20/008/content/assembled.md,,,,考えすぎ,頭が冴える,夜の窓辺,天気,眠くなる,雨音,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
9,CH20,009,CH20-009,CH20-009,風の名前｜そよぎの雑学,topic_research: pending,,workspaces/scripts/CH20/009/content/assembled.md,未完了,,2025-12-23 23:43:33,風の名前,そよぎ,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「風の名前」を入口に、ゆるむ方向へ静かに運びます。最後は 手を開いて息を吐く を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 風の小ネタを一つだけ残す。
今夜の一手: 手を開いて息を吐く
締め: 静かにおやすみへ。",,,,,,,,風の名前 そよぎ,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Soft wind lines, dark gradient, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 風の小ネタを一つだけ残す。
今夜の一手: 手を開いて息を吐く
締め: 静かにおやすみへ。",,風の名前｜そよぎの雑学,workspaces/scripts/CH20/009/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,風,ゆるむ,そよぎ,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
10,CH20,010,CH20-010,CH20-010,音が伝わる不思議｜静かな科学,topic_research: pending,,workspaces/scripts/CH20/010/content/assembled.md,未完了,,2025-12-23 23:43:33,音の不思議,静かな科学,,驚かせない雑学を聞き流して、頭をほどく深夜ラジオ。 「音の不思議」を入口に、落ち着く方向へ静かに運びます。最後は 音量を一段下げる を一手だけ残して、安心で終えます。,20〜60代中心。雑学を聞き流して頭をほどき、自然に眠りに落ちたい人。,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 音の小ネタを一つだけ残す。
今夜の一手: 音量を一段下げる
締め: 静かにおやすみへ。",,,,,,,,音の不思議 静かな科学,"16:9, high resolution, calm night radio mood, cozy desk, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Minimal waveform abstract, soft, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 眠りを邪魔しないトーンで開始。
本編: 小テーマをゆるく連ね、深追いしすぎない。
余韻: 音の小ネタを一つだけ残す。
今夜の一手: 音量を一段下げる
締め: 静かにおやすみへ。",,音が伝わる不思議｜静かな科学,workspaces/scripts/CH20/010/content/assembled.md,,,,考えすぎ,頭が冴える,深夜,音,落ち着く,波形,眠れない夜に、ほどよい雑学を。,・聞き流せる小ネタ<br>・安心の締め
